timestamp_utc,generation,cached_evaluations,evaluated_count,population_size,current_mutation_prob,current_mutation_sigma,mutation_decay_trigger,mutation_decay_active,mutation_decay_trigger_generation,effective_mutation_prob_decay,effective_mutation_sigma_decay,dist_avg,dist_best_gen,dist_best_global,time_avg,time_best_gen,time_best_global,finish_count,crash_count,timeout_count,finish_rate,crash_rate,timeout_rate,best_finished,best_crashes,best_progress,best_block_progress,best_ranking_progress,best_ranking_key,mean_progress,mean_block_progress,mean_ranking_progress,std_progress,std_ranking_progress,best_distance,best_time,best_reward,best_fitness,selection_mode,front0_size,best_selection_rank,best_selection_crowding,best_selection_objectives,selection_objective_names,virtual_time_sum,virtual_distance_sum,evaluation_steps_sum
2026-05-07T07:09:25Z,1,0,48,48,0.15,0.3,first_finish,0,,1.0,1.0,23.358713150024414,45.95528627053285,45.95528627053285,45.0,45.0,45.0,0,48,0,0.0,1.0,0.0,0,1,45.95528627053285,43.58974358974359,45.95528627053285,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]",23.358713150024414,21.901708602905273,23.358713150024414,14.699037551879883,14.699037551879883,666.8963623046875,13.720000267028809,45955272550531.586,45955272550531.586,lexicographic,,0,0.0,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",342.66998291015625,15141.6337890625,34775
2026-05-07T07:12:16Z,2,2,46,48,0.15,0.3,first_finish,0,,1.0,1.0,5.34332799911499,45.95528627053285,45.95528627053285,45.0,45.0,45.0,0,48,0,0.0,1.0,0.0,0,1,45.95528627053285,43.58974358974359,45.95528627053285,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]",5.34332799911499,3.6858971118927,5.34332799911499,7.962678909301758,7.962678909301758,666.8963623046875,13.720000267028809,45955272550531.586,45955272550531.586,lexicographic,,0,0.0,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",122.37999725341797,2786.96630859375,12633
2026-05-07T07:15:18Z,3,2,46,48,0.15,0.3,first_finish,0,,1.0,1.0,6.208333492279053,45.95528627053285,45.95528627053285,45.0,45.0,45.0,0,48,0,0.0,1.0,0.0,0,1,45.95528627053285,43.58974358974359,45.95528627053285,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]",6.208333492279053,4.754273891448975,6.208333492279053,8.237327575683594,8.237327575683594,666.8963623046875,13.720000267028809,45955272550531.586,45955272550531.586,lexicographic,,0,0.0,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",133.38999938964844,3217.97265625,13618
2026-05-07T07:18:23Z,4,2,46,48,0.15,0.3,first_finish,0,,1.0,1.0,6.275859355926514,45.95528627053285,45.95528627053285,45.0,45.0,45.0,0,48,0,0.0,1.0,0.0,0,1,45.95528627053285,43.58974358974359,45.95528627053285,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]",6.275859355926514,4.861111164093018,6.275859355926514,8.156648635864258,8.156648635864258,666.8963623046875,13.720000267028809,45955272550531.586,45955272550531.586,lexicographic,,0,0.0,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",135.66000366210938,3274.4404296875,13704
2026-05-07T07:21:30Z,5,2,46,48,0.15,0.3,first_finish,0,,1.0,1.0,6.378260135650635,45.95528627053285,45.95528627053285,45.0,45.0,45.0,0,48,0,0.0,1.0,0.0,0,1,45.95528627053285,43.58974358974359,45.95528627053285,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]",6.378260135650635,5.07478666305542,6.378260135650635,7.955404758453369,7.955404758453369,666.8963623046875,13.720000267028809,45955272550531.586,45955272550531.586,lexicographic,,0,0.0,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",137.72000122070312,3315.0341796875,14176
2026-05-07T07:24:31Z,6,2,46,48,0.15,0.3,first_finish,0,,1.0,1.0,6.03024435043335,45.95528627053285,45.95528627053285,45.0,45.0,45.0,0,48,0,0.0,1.0,0.0,0,1,45.95528627053285,43.58974358974359,45.95528627053285,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]",6.03024435043335,4.594017028808594,6.03024435043335,8.00022029876709,8.00022029876709,666.8963623046875,13.720000267028809,45955272550531.586,45955272550531.586,lexicographic,,0,0.0,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",132.67999267578125,3131.919189453125,13508
2026-05-07T07:27:27Z,7,2,46,48,0.15,0.3,first_finish,0,,1.0,1.0,5.585331439971924,45.95528627053285,45.95528627053285,45.0,45.0,45.0,0,48,0,0.0,1.0,0.0,0,1,45.95528627053285,43.58974358974359,45.95528627053285,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]",5.585331439971924,4.059829235076904,5.585331439971924,7.97357177734375,7.97357177734375,666.8963623046875,13.720000267028809,45955272550531.586,45955272550531.586,lexicographic,,0,0.0,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",126.0199966430664,2902.716796875,12879
2026-05-07T07:30:26Z,8,2,46,48,0.15,0.3,first_finish,0,,1.0,1.0,5.949277400970459,45.95528627053285,45.95528627053285,45.0,45.0,45.0,0,48,0,0.0,1.0,0.0,0,1,45.95528627053285,43.58974358974359,45.95528627053285,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]",5.949277400970459,4.433760166168213,5.949277400970459,8.124543190002441,8.124543190002441,666.8963623046875,13.720000267028809,45955272550531.586,45955272550531.586,lexicographic,,0,0.0,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",130.5399932861328,3071.07568359375,13241
2026-05-07T07:33:27Z,9,2,46,48,0.15,0.3,first_finish,0,,1.0,1.0,5.821529388427734,45.95528627053285,45.95528627053285,45.0,45.0,45.0,0,48,0,0.0,1.0,0.0,0,1,45.95528627053285,43.58974358974359,45.95528627053285,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]",5.821529388427734,4.166666507720947,5.821529388427734,7.93215799331665,7.93215799331665,666.8963623046875,13.720000267028809,45955272550531.586,45955272550531.586,lexicographic,,0,0.0,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",131.16000366210938,3064.0009765625,13330
2026-05-07T07:36:22Z,10,2,46,48,0.15,0.3,first_finish,0,,1.0,1.0,5.71188497543335,45.95528627053285,45.95528627053285,45.0,45.0,45.0,0,48,0,0.0,1.0,0.0,0,1,45.95528627053285,43.58974358974359,45.95528627053285,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]",5.71188497543335,4.166666507720947,5.71188497543335,8.128992080688477,8.128992080688477,666.8963623046875,13.720000267028809,45955272550531.586,45955272550531.586,lexicographic,,0,0.0,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",127.18000793457031,2981.032958984375,13071
