map_name,run_dir,best_model_path,loss_curve_path,epochs,best_epoch,best_train_loss,obs_dim,hidden_dims,hidden_activations,vertical_mode,multi_surface_mode
multi_surface_flat,logs\supervised_runs_map_specialists_20260505\multi_surface_flat\20260505_142330_v3d_surface_target_supervised,logs\supervised_runs_map_specialists_20260505\multi_surface_flat\20260505_142330_v3d_surface_target_supervised\best_model.pt,logs\supervised_runs_map_specialists_20260505\multi_surface_flat\20260505_142330_v3d_surface_target_supervised\loss_curve.png,150,150,0.05313445840775057,53,"48,24","relu,tanh",True,True
single_surface_flat,logs\supervised_runs_map_specialists_20260505\single_surface_flat\20260505_142227_v3d_surface_target_supervised,logs\supervised_runs_map_specialists_20260505\single_surface_flat\20260505_142227_v3d_surface_target_supervised\best_model.pt,logs\supervised_runs_map_specialists_20260505\single_surface_flat\20260505_142227_v3d_surface_target_supervised\loss_curve.png,150,150,0.03516158500410203,53,"48,24","relu,tanh",True,True
single_surface_height,logs\supervised_runs_map_specialists_20260505\single_surface_height\20260505_142438_v3d_surface_target_supervised,logs\supervised_runs_map_specialists_20260505\single_surface_height\20260505_142438_v3d_surface_target_supervised\best_model.pt,logs\supervised_runs_map_specialists_20260505\single_surface_height\20260505_142438_v3d_surface_target_supervised\loss_curve.png,150,150,0.061333152690320594,53,"48,24","relu,tanh",True,True
