role,run_tag,mutation_prob,mutation_sigma,first_finish_generation,best_finish_time,last50_finish_rate,last50_mean_dense_progress,last50_crash_rate,last50_timeout_rate,last50_penalized_mean_time,compromise_score
fast_exploration_first_finish,prob_0100_sigma_0250,0.1,0.25,132.0,18.80000000000014,0.27625,53.18277025293994,0.695,0.02875,28.13255833333356,0.1058902025293994
fast_exploration_first_finish,prob_0100_sigma_0275,0.1,0.275,132.0,21.61000000000058,0.2,46.27299090698202,0.7454166666666666,0.0545833333333333,29.02335416666689,-0.0963325909301797
fast_exploration_first_finish,prob_0100_sigma_0300,0.1,0.3,138.0,19.97000000000032,0.1591666666666666,42.61694905922084,0.815,0.0258333333333333,28.981641666666807,-0.2361221760744581
fast_exploration_first_finish,prob_0125_sigma_0300,0.125,0.3,146.0,20.180000000000355,0.12125,39.35168746592156,0.86625,0.0125,29.39090833333347,-0.3546081253407844
fast_exploration_first_finish,prob_0075_sigma_0300,0.075,0.3,148.0,19.020000000000174,0.2595833333333333,48.93882504177207,0.6970833333333334,0.0433333333333333,28.38133333333357,0.0410549170843872
fast_exploration_first_finish,prob_0050_sigma_0325,0.05,0.325,154.0,18.700000000000124,0.27375,57.43785744154831,0.72375,0.0025,28.050504166666883,0.1237535744154831
fast_exploration_first_finish,prob_0125_sigma_0225,0.125,0.225,155.0,21.520000000000564,0.1766666666666666,48.11126907574517,0.79,0.0333333333333333,29.1005125000002,-0.1405539759092149
fast_exploration_first_finish,prob_0150_sigma_0300,0.15,0.3,155.0,21.060000000000493,0.1083333333333333,33.31759250829331,0.86375,0.0279166666666666,29.453220833333454,-0.4292199082504002
best_base_compromise,prob_0050_sigma_0325,0.05,0.325,154.0,18.700000000000124,0.27375,57.43785744154831,0.72375,0.0025,28.050504166666883,0.1237535744154831
best_base_compromise,prob_0100_sigma_0250,0.1,0.25,132.0,18.80000000000014,0.27625,53.18277025293994,0.695,0.02875,28.13255833333356,0.1058902025293994
best_base_compromise,prob_0075_sigma_0300,0.075,0.3,148.0,19.020000000000174,0.2595833333333333,48.93882504177207,0.6970833333333334,0.0433333333333333,28.38133333333357,0.0410549170843872
best_base_compromise,prob_0075_sigma_0275,0.075,0.275,161.0,21.890000000000622,0.2158333333333333,52.48077791761818,0.7541666666666667,0.03,28.970187500000247,-0.0210255541571515
best_base_compromise,prob_0100_sigma_0275,0.1,0.275,132.0,21.61000000000058,0.2,46.27299090698202,0.7454166666666666,0.0545833333333333,29.02335416666689,-0.0963325909301797
best_base_compromise,prob_0125_sigma_0225,0.125,0.225,155.0,21.520000000000564,0.1766666666666666,48.11126907574517,0.79,0.0333333333333333,29.1005125000002,-0.1405539759092149
best_base_compromise,prob_0100_sigma_0300,0.1,0.3,138.0,19.97000000000032,0.1591666666666666,42.61694905922084,0.815,0.0258333333333333,28.981641666666807,-0.2361221760744581
best_base_compromise,prob_0125_sigma_0300,0.125,0.3,146.0,20.180000000000355,0.12125,39.35168746592156,0.86625,0.0125,29.39090833333347,-0.3546081253407844
best_late_progress,prob_0050_sigma_0325,0.05,0.325,154.0,18.700000000000124,0.27375,57.43785744154831,0.72375,0.0025,28.050504166666883,0.1237535744154831
best_late_progress,prob_0100_sigma_0250,0.1,0.25,132.0,18.80000000000014,0.27625,53.18277025293994,0.695,0.02875,28.13255833333356,0.1058902025293994
best_late_progress,prob_0075_sigma_0275,0.075,0.275,161.0,21.890000000000622,0.2158333333333333,52.48077791761818,0.7541666666666667,0.03,28.970187500000247,-0.0210255541571515
best_late_progress,prob_0075_sigma_0300,0.075,0.3,148.0,19.020000000000174,0.2595833333333333,48.93882504177207,0.6970833333333334,0.0433333333333333,28.38133333333357,0.0410549170843872
best_late_progress,prob_0125_sigma_0225,0.125,0.225,155.0,21.520000000000564,0.1766666666666666,48.11126907574517,0.79,0.0333333333333333,29.1005125000002,-0.1405539759092149
best_late_progress,prob_0100_sigma_0275,0.1,0.275,132.0,21.61000000000058,0.2,46.27299090698202,0.7454166666666666,0.0545833333333333,29.02335416666689,-0.0963325909301797
best_late_progress,prob_0100_sigma_0300,0.1,0.3,138.0,19.97000000000032,0.1591666666666666,42.61694905922084,0.815,0.0258333333333333,28.981641666666807,-0.2361221760744581
best_late_progress,prob_0075_sigma_0325,0.075,0.325,156.0,21.830000000000613,0.0966666666666666,41.964273082484944,0.895,0.0083333333333333,29.57157500000012,-0.3807739358418173
lowest_crash_among_finishers,prob_0100_sigma_0250,0.1,0.25,132.0,18.80000000000014,0.27625,53.18277025293994,0.695,0.02875,28.13255833333356,0.1058902025293994
lowest_crash_among_finishers,prob_0075_sigma_0300,0.075,0.3,148.0,19.020000000000174,0.2595833333333333,48.93882504177207,0.6970833333333334,0.0433333333333333,28.38133333333357,0.0410549170843872
lowest_crash_among_finishers,prob_0050_sigma_0325,0.05,0.325,154.0,18.700000000000124,0.27375,57.43785744154831,0.72375,0.0025,28.050504166666883,0.1237535744154831
lowest_crash_among_finishers,prob_0100_sigma_0275,0.1,0.275,132.0,21.61000000000058,0.2,46.27299090698202,0.7454166666666666,0.0545833333333333,29.02335416666689,-0.0963325909301797
lowest_crash_among_finishers,prob_0075_sigma_0275,0.075,0.275,161.0,21.890000000000622,0.2158333333333333,52.48077791761818,0.7541666666666667,0.03,28.970187500000247,-0.0210255541571515
