candidate_id,epoch,train_loss,val_loss,val_steer_mae,val_gas_accuracy,val_brake_accuracy,val_gas_bce,val_brake_bce
c001_arch_8_act_relu,1,0.4193706428905821,0.3962488494309784,0.7145640720515691,0.13234481488303554,0.5081046233192117,0.7184108945629086,0.6942697504998835
c002_arch_8_act_tanh,1,0.3785342033362681,0.33493434896476143,0.6584915945292353,0.8601031497513354,0.8739178485909007,0.6028929180061648,0.6256042497332396
c003_arch_8_act_sigmoid,1,0.4111831959105661,0.40019793270766835,0.7352138792618705,0.8621293055811383,0.874194142567692,0.6107677910116677,0.6248395677033567
c004_arch_16x8_act_relu_relu,1,0.41456462476480427,0.4052539032826131,0.7371251796090728,0.8621293055811383,0.874194142567692,0.6254566478606284,0.6487121610137326
c005_arch_16x8_act_relu_tanh,1,0.413626200151072,0.38780737503454554,0.7167109996931266,0.8403020814146251,0.874194142567692,0.684448259051146,0.5952893726336932
c006_arch_16x8_act_tanh_tanh,1,0.40686478798218567,0.36082931834813925,0.6788140811804229,0.8619451095966107,0.125805857432308,0.653241902167109,0.7118596941051529
c007_arch_16x8_act_sigmoid_sigmoid,1,0.409358587984485,0.4052201692659259,0.7514032071237078,0.8621293055811383,0.874194142567692,0.5840824089956714,0.5250295827700127
c008_arch_32x16x8_act_relu_relu_relu,1,0.40119862321694133,0.35921487567898625,0.6825715572844115,0.8621293055811383,0.874194142567692,0.6361710637462009,0.6557268081920804
c009_arch_32x16x8_act_tanh_tanh_tanh,1,0.39762676777402556,0.33132644296570757,0.6501295560849791,0.8621293055811383,0.8682077730705471,0.6297899303481952,0.6560894749533034
c010_arch_32x16x8_act_relu_relu_tanh,1,0.4080510507333718,0.36113984113482617,0.6841313152555647,0.8621293055811383,0.5659421624608584,0.6366599970571813,0.6880839149867177
c011_arch_32x16x8_act_sigmoid_sigmoid_sigmoid,1,0.42186094369235044,0.4165423437802035,0.7528556111241423,0.8621293055811383,0.874194142567692,0.6007336349332721,0.6337194943388516
