timestamp_utc,episode,term,progress,time,distance,fitness,pace_target_time,pace_expected_progress,pace_score,delta_score,terminal_fitness_score,episode_reward,timesteps
2026-04-29T17:08:58Z,1,-1,2.857142857142857,6.480000019073486,22.19342041015625,-997142857.1428572,22.5,28.80000008477105,-25.942857227628192,-23.085714370485334,-997.1428571428572,-23.085714,603
2026-04-29T17:09:02Z,2,-1,0.0,2.4800000190734863,7.944698810577393,-1000000000.0,22.5,11.022222306993273,-11.022222306993273,-11.022222306993273,-1000.0,-11.022222,935
2026-04-29T17:09:06Z,3,-1,0.0,2.009999990463257,1.1880816221237183,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,1237
2026-04-29T17:09:15Z,4,-1,2.857142857142857,7.710000038146973,28.32558250427246,-997142857.1428572,22.5,34.26666683620877,-31.409523979065913,-28.552381121923055,-997.1428571428572,-28.552381,1857
2026-04-29T17:09:19Z,5,-1,0.0,2.0899999141693115,2.7509257793426514,-1000000000.0,22.5,9.288888507419163,-9.288888507419163,-9.288888507419163,-1000.0,-9.288889,1962
2026-04-29T17:09:24Z,6,-1,0.0,3.700000047683716,8.487520217895508,-1000000000.0,22.5,16.44444465637207,-16.44444465637207,-16.44444465637207,-1000.0,-16.444445,2225
2026-04-29T17:09:28Z,7,-1,0.0,2.009999990463257,2.053565740585327,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,2341
2026-04-29T17:09:31Z,8,-1,0.0,2.0199999809265137,1.064852237701416,-1000000000.0,22.5,8.977777693006727,-8.977777693006727,-8.977777693006727,-1000.0,-8.977778,2407
2026-04-29T17:09:35Z,9,-1,0.0,2.009999990463257,0.9956228137016296,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,2461
2026-04-29T17:09:39Z,10,-1,0.0,2.009999990463257,2.077364444732666,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,2621
2026-04-29T17:09:42Z,11,-1,0.0,2.009999990463257,1.840497374534607,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,2760
2026-04-29T17:09:55Z,12,-1,5.714285714285714,11.710000038146973,56.86175537109375,-994285714.2857143,22.5,52.04444461398654,-46.33015889970083,-40.61587318541511,-994.2857142857142,-40.615873,3851
2026-04-29T17:09:59Z,13,-1,0.0,2.009999990463257,1.9004697799682617,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,3999
2026-04-29T17:10:03Z,14,-1,0.0,2.009999990463257,2.268928289413452,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,4157
2026-04-29T17:10:06Z,15,-1,0.0,2.0199999809265137,3.1430416107177734,-1000000000.0,22.5,8.977777693006727,-8.977777693006727,-8.977777693006727,-1000.0,-8.977778,4312
2026-04-29T17:10:10Z,16,-1,0.0,2.009999990463257,0.9771617650985718,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,4446
2026-04-29T17:10:25Z,17,-1,5.714285714285714,13.180000305175781,61.03494644165039,-994285714.2857143,22.5,58.577779134114586,-52.86349341982887,-47.149207705543155,-994.2857142857142,-47.149208,5671
2026-04-29T17:10:29Z,18,-1,0.0,3.2100000381469727,7.573275089263916,-1000000000.0,22.5,14.266666836208767,-14.266666836208767,-14.266666836208767,-1000.0,-14.266667,5928
2026-04-29T17:10:33Z,19,-1,0.0,2.009999990463257,2.230102062225342,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,6073
2026-04-29T17:10:37Z,20,-1,0.0,2.0199999809265137,1.6611229181289673,-1000000000.0,22.5,8.977777693006727,-8.977777693006727,-8.977777693006727,-1000.0,-8.977778,6217
2026-04-29T17:10:51Z,21,-1,5.714285714285714,12.869999885559082,56.43971252441406,-994285714.2857143,22.5,57.199999491373696,-51.48571377708798,-45.771428062802265,-994.2857142857142,-45.771428,7373
2026-04-29T17:10:56Z,22,-1,0.0,3.4600000381469727,9.340219497680664,-1000000000.0,22.5,15.377777947319878,-15.377777947319878,-15.377777947319878,-1000.0,-15.377778,7664
2026-04-29T17:11:00Z,23,-1,0.0,2.009999990463257,1.8151675462722778,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,7803
2026-04-29T17:11:03Z,24,-1,0.0,2.009999990463257,1.8285093307495117,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,7945
2026-04-29T17:11:07Z,25,-1,0.0,2.009999990463257,2.4100964069366455,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,8086
2026-04-29T17:11:11Z,26,-1,0.0,2.190000057220459,2.4801552295684814,-1000000000.0,22.5,9.733333587646484,-9.733333587646484,-9.733333587646484,-1000.0,-9.733334,8230
2026-04-29T17:11:14Z,27,-1,0.0,2.009999990463257,2.4198083877563477,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,8372
2026-04-29T17:11:31Z,28,-1,5.714285714285714,14.710000038146973,66.13382720947266,-994285714.2857143,22.5,65.37777794731988,-59.66349223303417,-53.949206518748454,-994.2857142857142,-53.949207,9708
2026-04-29T17:11:34Z,29,-1,0.0,2.009999990463257,2.0069222450256348,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,9843
2026-04-29T17:11:38Z,30,-1,0.0,2.0399999618530273,2.1294338703155518,-1000000000.0,22.5,9.066666497124565,-9.066666497124565,-9.066666497124565,-1000.0,-9.066666,9977
2026-04-29T17:11:43Z,31,-1,0.0,3.1600000858306885,7.11433219909668,-1000000000.0,22.5,14.044444825914171,-14.044444825914171,-14.044444825914171,-1000.0,-14.044445,10218
2026-04-29T17:11:46Z,32,-1,0.0,2.0199999809265137,0.9642601609230042,-1000000000.0,22.5,8.977777693006727,-8.977777693006727,-8.977777693006727,-1000.0,-8.977778,10338
2026-04-29T17:11:50Z,33,-1,0.0,2.009999990463257,0.8728197813034058,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,10457
2026-04-29T17:11:53Z,34,-1,0.0,2.0199999809265137,1.758002519607544,-1000000000.0,22.5,8.977777693006727,-8.977777693006727,-8.977777693006727,-1000.0,-8.977778,10592
2026-04-29T17:11:57Z,35,-1,0.0,2.009999990463257,2.105534791946411,-1000000000.0,22.5,8.933333290947807,-8.933333290947807,-8.933333290947807,-1000.0,-8.933333,10667
