timestamp_utc,episode,term,progress,time,distance,fitness,pace_target_time,pace_expected_progress,pace_score,delta_score,lexicographic_score,terminal_fitness_score,episode_reward,timesteps
2026-04-29T23:56:07Z,1,-1,5.714285714285714,12.100000381469727,54.94939422607422,-994285714.2857143,0.0,0.0,0.0,0.0788080217412733,0.0788080217412733,-994.2857142857142,0.04942,1225
2026-04-29T23:56:11Z,2,-1,0.0,2.0199999809265137,2.109513998031616,-1000000000.0,0.0,0.0,0.0,0.02810367788496549,0.02810367788496549,-1000.0,-0.001284,1368
2026-04-29T23:56:15Z,3,-1,0.0,2.759999990463257,6.779065132141113,-1000000000.0,0.0,0.0,0.0,0.027630433146143406,0.027630433146143406,-1000.0,-0.001757,1598
2026-04-29T23:56:19Z,4,-1,0.0,2.009999990463257,2.9698679447174072,-1000000000.0,0.0,0.0,0.0,0.028109400005123547,0.028109400005123547,-1000.0,-0.001278,1750
2026-04-29T23:56:25Z,5,-1,0.0,4.650000095367432,13.868914604187012,-1000000000.0,0.0,0.0,0.0,0.02642526555076787,0.02642526555076787,-1000.0,-0.002962,2159
2026-04-29T23:56:44Z,6,-1,5.714285714285714,17.459999084472656,75.86404418945312,-994285714.2857143,0.0,0.0,0.0,0.07538960404762142,0.07538960404762142,-994.2857142857142,0.046002,3794
2026-04-29T23:56:48Z,7,-1,0.0,2.009999990463257,1.5222008228302002,-1000000000.0,0.0,0.0,0.0,0.028110455156087025,0.028110455156087025,-1000.0,-0.001277,3954
2026-04-29T23:56:51Z,8,-1,0.0,2.009999990463257,2.9895997047424316,-1000000000.0,0.0,0.0,0.0,0.02810938562337426,0.02810938562337426,-1000.0,-0.001278,4115
2026-04-29T23:57:01Z,9,-1,2.857142857142857,8.390000343322754,35.95130157470703,-997142857.1428572,0.0,0.0,0.0,0.052605995755926234,0.052605995755926234,-997.1428571428572,0.023218,4782
2026-04-29T23:57:16Z,10,-1,5.714285714285714,13.210000038146973,52.65557861328125,-994285714.2857143,0.0,0.0,0.0,0.07810493193176289,0.07810493193176289,-994.2857142857142,0.048717,5938
2026-04-29T23:57:20Z,11,-1,0.0,2.2699999809265137,3.706355094909668,-1000000000.0,0.0,0.0,0.0,0.027943783847884835,0.027943783847884835,-1000.0,-0.001444,6103
2026-04-29T23:57:24Z,12,-1,0.0,2.009999990463257,2.4249815940856934,-1000000000.0,0.0,0.0,0.0,0.02810979715260943,0.02810979715260943,-1000.0,-0.001278,6265
2026-04-29T23:57:30Z,13,-1,0.0,5.0,14.985063552856445,-1000000000.0,0.0,0.0,0.0,0.026202229869454505,0.026202229869454505,-1000.0,-0.003186,6691
2026-04-29T23:57:34Z,14,-1,0.0,2.009999990463257,2.9181418418884277,-1000000000.0,0.0,0.0,0.0,0.028109437706364676,0.028109437706364676,-1000.0,-0.001278,6835
2026-04-29T23:57:37Z,15,-1,0.0,2.009999990463257,1.250669002532959,-1000000000.0,0.0,0.0,0.0,0.028110653065577036,0.028110653065577036,-1000.0,-0.001277,6972
2026-04-29T23:57:41Z,16,-1,0.0,2.0199999809265137,1.4499497413635254,-1000000000.0,0.0,0.0,0.0,0.02810415861693099,0.02810415861693099,-1000.0,-0.001284,7114
2026-04-29T23:57:45Z,17,-1,0.0,2.130000114440918,2.4487991333007812,-1000000000.0,0.0,0.0,0.0,0.028033589237980522,0.028033589237980522,-1000.0,-0.001354,7257
2026-04-29T23:57:56Z,18,-1,2.857142857142857,9.779999732971191,40.88664627075195,-997142857.1428572,0.0,0.0,0.0,0.051719859270899664,0.051719859270899664,-997.1428571428572,0.022332,8130
2026-04-29T23:58:00Z,19,-1,0.0,2.009999990463257,2.4600579738616943,-1000000000.0,0.0,0.0,0.0,0.028109771586734958,0.028109771586734958,-1000.0,-0.001278,8267
2026-04-29T23:58:03Z,20,-1,0.0,2.009999990463257,1.3589283227920532,-1000000000.0,0.0,0.0,0.0,0.028110574159366936,0.028110574159366936,-1000.0,-0.001277,8399
2026-04-29T23:58:07Z,21,-1,0.0,2.009999990463257,1.7376153469085693,-1000000000.0,0.0,0.0,0.0,0.028110298148416413,0.028110298148416413,-1000.0,-0.001277,8538
2026-04-29T23:58:11Z,22,-1,0.0,2.2200000286102295,2.8694210052490234,-1000000000.0,0.0,0.0,0.0,0.027976139859624924,0.027976139859624924,-1000.0,-0.001412,8684
2026-04-29T23:58:14Z,23,-1,0.0,2.0199999809265137,3.0280864238739014,-1000000000.0,0.0,0.0,0.0,0.028103008371535575,0.028103008371535575,-1000.0,-0.001285,8824
2026-04-29T23:58:18Z,24,-1,0.0,2.200000047683716,2.7248897552490234,-1000000000.0,0.0,0.0,0.0,0.02798894360368986,0.02798894360368986,-1000.0,-0.001399,8969
2026-04-29T23:58:22Z,25,-1,0.0,2.0399999618530273,1.371773362159729,-1000000000.0,0.0,0.0,0.0,0.02809151719621095,0.02809151719621095,-1000.0,-0.001296,9094
2026-04-29T23:58:25Z,26,-1,0.0,2.009999990463257,1.2177802324295044,-1000000000.0,0.0,0.0,0.0,0.028110677036983816,0.028110677036983816,-1000.0,-0.001277,9227
2026-04-29T23:58:31Z,27,-1,0.0,4.019999980926514,10.924211502075195,-1000000000.0,0.0,0.0,0.0,0.026827411908488617,0.026827411908488617,-1000.0,-0.00256,9556
2026-04-29T23:58:35Z,28,-1,0.0,2.25,3.946810722351074,-1000000000.0,0.0,0.0,0.0,0.027956306989269424,0.027956306989269424,-1000.0,-0.001431,9703
2026-04-29T23:58:38Z,29,-1,0.0,2.009999990463257,1.3869619369506836,-1000000000.0,0.0,0.0,0.0,0.028110553726703555,0.028110553726703555,-1000.0,-0.001277,9838
2026-04-29T23:58:42Z,30,-1,0.0,2.009999990463257,1.5161484479904175,-1000000000.0,0.0,0.0,0.0,0.028110459567438947,0.028110459567438947,-1000.0,-0.001277,9963
2026-04-29T23:58:46Z,31,-1,0.0,2.009999990463257,1.427996277809143,-1000000000.0,0.0,0.0,0.0,0.02811052381829185,0.02811052381829185,-1000.0,-0.001277,10099
2026-04-29T23:58:49Z,32,-1,0.0,2.009999990463257,2.099372386932373,-1000000000.0,0.0,0.0,0.0,0.028110034477104442,0.028110034477104442,-1000.0,-0.001278,10226
2026-04-29T23:59:01Z,33,-1,2.857142857142857,9.970000267028809,44.719871520996094,-997142857.1428572,0.0,0.0,0.0,0.05159643011522556,0.05159643011522556,-997.1428571428572,0.022209,11127
2026-04-29T23:59:04Z,34,-1,0.0,2.0399999618530273,2.190356731414795,-1000000000.0,0.0,0.0,0.0,0.028090920561102163,0.028090920561102163,-1000.0,-0.001297,11259
2026-04-29T23:59:08Z,35,-1,0.0,2.0199999809265137,1.2899032831192017,-1000000000.0,0.0,0.0,0.0,0.028104275268868488,0.028104275268868488,-1000.0,-0.001283,11372
2026-04-29T23:59:12Z,36,-1,0.0,2.009999990463257,1.8145614862442017,-1000000000.0,0.0,0.0,0.0,0.028110242065224476,0.028110242065224476,-1000.0,-0.001278,11488
2026-04-29T23:59:15Z,37,-1,0.0,2.0199999809265137,1.778128981590271,-1000000000.0,0.0,0.0,0.0,0.02810391941923403,0.02810391941923403,-1000.0,-0.001284,11621
2026-04-29T23:59:19Z,38,-1,0.0,2.130000114440918,3.4810543060302734,-1000000000.0,0.0,0.0,0.0,0.028032836865405645,0.028032836865405645,-1000.0,-0.001355,11756
2026-04-29T23:59:24Z,39,-1,0.0,3.680000066757202,8.883747100830078,-1000000000.0,0.0,0.0,0.0,0.027044772088817302,0.027044772088817302,-1000.0,-0.002343,12046
2026-04-29T23:59:31Z,40,-1,0.0,4.909999847412109,12.371538162231445,-1000000000.0,0.0,0.0,0.0,0.026261277725366777,0.026261277725366777,-1000.0,-0.003126,12465
2026-04-29T23:59:34Z,41,-1,0.0,2.009999990463257,0.8492883443832397,-1000000000.0,0.0,0.0,0.0,0.028110945617077145,0.028110945617077145,-1000.0,-0.001277,12585
2026-04-29T23:59:38Z,42,-1,0.0,2.0199999809265137,1.4429574012756348,-1000000000.0,0.0,0.0,0.0,0.02810416371338878,0.02810416371338878,-1000.0,-0.001284,12706
2026-04-29T23:59:47Z,43,-1,2.857142857142857,7.690000057220459,30.35306739807129,-997142857.1428572,0.0,0.0,0.0,0.05305452072763273,0.05305452072763273,-997.1428571428572,0.023667,13386
