#{"t_start": 1777980156.7762928, "env_id": "None"}
r,l,t,episode_metrics
4.040649,675,21.280667,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.2906494140625, 'block_progress': 5.714285714285714, 'time': 6.7499999999999005, 'distance': 69.67027215659618, 'reward': -1.0029355149042036, 'reward_score': 4.040649414062534, 'fitness': 7213079.743790344}"
2.340366,1141,22.65122,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.143699101039341, 'block_progress': 5.714285714285714, 'time': 11.409999999999801, 'distance': 68.51297463942319, 'reward': -1.0034968203590031, 'reward_score': 2.340365767706074, 'fitness': 7019530.588064703}"
3.455637,842,23.673308,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.262303488595146, 'block_progress': 5.714285714285714, 'time': 8.419999999999865, 'distance': 69.45811550691724, 'reward': -1.0029818362281429, 'reward_score': 3.4556368219285236, 'fitness': 7168034.03047964}"
3.082857,918,24.84832,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.142857142857142, 'block_progress': 5.714285714285714, 'time': 9.179999999999849, 'distance': 68.38653983920813, 'reward': -1.003333333333332, 'reward_score': 3.0828571428571934, 'fitness': 7040988.756317305}"
2.20893,1183,26.396703,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.15226309640067, 'block_progress': 5.714285714285714, 'time': 11.829999999999792, 'distance': 68.61685715429485, 'reward': -1.0035485912504645, 'reward_score': 2.208929763067406, 'fitness': 7023894.479543517}"
0.701905,934,27.544159,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 4.815237862723214, 'block_progress': 2.857142857142857, 'time': 9.339999999999845, 'distance': 37.96217552947928, 'reward': -1.0020962815057666, 'reward_score': 0.7019045293899326, 'fitness': 4711799.900547687}"
1.662857,1344,29.14254,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.142857142857142, 'block_progress': 5.714285714285714, 'time': 13.439999999999758, 'distance': 68.14313939679414, 'reward': -1.003333333333333, 'reward_score': 1.6628571428572236, 'fitness': 6998388.999717749}"
1.277159,715,30.018319,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 4.660491943359375, 'block_progress': 2.857142857142857, 'time': 7.149999999999892, 'distance': 36.23902934975922, 'reward': -1.003284287225633, 'reward_score': 1.2771586100260777, 'fitness': 4578955.704330026}"
3.047915,938,31.199957,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.174581800188337, 'block_progress': 5.714285714285714, 'time': 9.379999999999844, 'distance': 68.78437976166606, 'reward': -1.0033960033598417, 'reward_score': 3.0479151335217214, 'fitness': 7070713.015808577}"
1.010016,676,32.105177,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 4.263349260602679, 'block_progress': 2.857142857142857, 'time': 6.7599999999999, 'distance': 31.860539257584605, 'reward': -1.0034477742513013, 'reward_score': 1.0100159272693787, 'fitness': 4185717.4000634225}"
1.173579,972,33.284921,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 5.413578578404018, 'block_progress': 2.857142857142857, 'time': 9.719999999999837, 'distance': 44.670269141264725, 'reward': -1.0033442324683772, 'reward_score': 1.1735785784040726, 'fitness': 5306333.90813488}"
0.664652,659,34.087463,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.86131831577846, 'block_progress': 2.857142857142857, 'time': 6.589999999999904, 'distance': 27.304040398448706, 'reward': -1.0031044514973955, 'reward_score': 0.6646516491118257, 'fitness': 3785391.0117380624}"
0.850572,676,34.95411,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 4.103905814034598, 'block_progress': 2.857142857142857, 'time': 6.7599999999999, 'distance': 30.029633051424753, 'reward': -1.0031643967401416, 'reward_score': 0.850572480701298, 'fitness': 4026275.7844015476}"
0.743555,610,35.743381,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.7768881661551337, 'block_progress': 2.857142857142857, 'time': 6.099999999999914, 'distance': 26.350037605967373, 'reward': -1.0032515898204988, 'reward_score': 0.7435548328218289, 'fitness': 3705861.816117529}"
0.464833,620,36.601953,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.5314995901925226, 'block_progress': 2.857142857142857, 'time': 6.199999999999912, 'distance': 23.60674467042554, 'reward': -1.0033605811709445, 'reward_score': 0.464832923525885, 'fitness': 3459475.983447853}"
0.551545,610,37.415807,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.5848781040736606, 'block_progress': 2.857142857142857, 'time': 6.099999999999914, 'distance': 24.255911628366448, 'reward': -1.0031480480375743, 'reward_score': 0.5515447707403558, 'fitness': 3513853.848162033}"
0.284143,618,38.186586,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.344143458775112, 'block_progress': 2.857142857142857, 'time': 6.179999999999913, 'distance': 21.539589963271283, 'reward': -1.0033496820359002, 'reward_score': 0.2841434587751408, 'fitness': 3272321.9191851495}"
0.419106,587,38.926296,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.375772748674665, 'block_progress': 2.857142857142857, 'time': 5.869999999999919, 'distance': 21.894120349606965, 'reward': -1.003142598470052, 'reward_score': 0.41910608200802524, 'fitness': 3307050.8545543165}"
0.229547,656,39.72965,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.4162139892578125, 'block_progress': 2.857142857142857, 'time': 6.559999999999905, 'distance': 22.413462477794383, 'reward': -1.0031589471726194, 'reward_score': 0.2295473225911775, 'fitness': 3340591.5757953357}"
0.473033,583,40.495512,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.416366577148437, 'block_progress': 2.857142857142857, 'time': 5.82999999999992, 'distance': 22.40136170166079, 'reward': -1.0031752958751863, 'reward_score': 0.47303324381513034, 'fitness': 3348044.1757867364}"
0.40554,592,41.249989,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.378873552594866, 'block_progress': 2.857142857142857, 'time': 5.919999999999918, 'distance': 22.005929765990004, 'reward': -1.0036003621419274, 'reward_score': 0.4055402192615598, 'fitness': 3309651.5466651004}"
0.448373,625,42.037335,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.53170667375837, 'block_progress': 2.857142857142857, 'time': 6.249999999999911, 'distance': 23.604206949734362, 'reward': -1.0031208001999632, 'reward_score': 0.4483733404250665, 'fitness': 3459183.0695514213}"
0.270583,638,42.930866,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.3972494942801337, 'block_progress': 2.857142857142857, 'time': 6.379999999999908, 'distance': 22.186462246405426, 'reward': -1.0030172584170391, 'reward_score': 0.2705828276134974, 'fitness': 3323427.3078178884}"
0.145366,625,43.716146,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.228699820382255, 'block_progress': 2.857142857142857, 'time': 6.249999999999911, 'distance': 20.291831138456473, 'reward': -1.0033278837658108, 'reward_score': 0.14536648704895105, 'fitness': 3156179.528551117}"
0.46875,580,44.461198,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.402083260672433, 'block_progress': 2.857142857142857, 'time': 5.799999999999921, 'distance': 22.225347725732718, 'reward': -1.0028646705264135, 'reward_score': 0.46874992733912624, 'fitness': 3334061.0353247086}"
0.34004,594,45.233241,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.3200400216238837, 'block_progress': 2.857142857142857, 'time': 5.939999999999918, 'distance': 21.272694215906085, 'reward': -1.0033442324683783, 'reward_score': 0.340040021623911, 'fitness': 3250618.7489296687}"
0.028558,566,45.972672,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.9152243477957587, 'block_progress': 2.857142857142857, 'time': 5.659999999999924, 'distance': 16.762097757367883, 'reward': -1.0032297915504091, 'reward_score': 0.028557681129117496, 'fitness': 2848607.5856980025}"
0.25371,565,46.699101,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.1370435442243307, 'block_progress': 2.857142857142857, 'time': 5.649999999999924, 'distance': 19.26784300644067, 'reward': -1.0032897367931544, 'reward_score': 0.25371021089102275, 'fitness': 3070524.276381325}"
0.117138,501,47.358193,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.787137712751116, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 15.24362403471605, 'reward': -1.0030063592819938, 'reward_score': 0.1171377127511366, 'fitness': 2727022.4691270813}"
0.246116,539,48.060339,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.042782374790737, 'block_progress': 2.857142857142857, 'time': 5.3899999999999295, 'distance': 18.189652782544727, 'reward': -1.0033115350632438, 'reward_score': 0.2461157081240939, 'fitness': 2978864.1851379555}"
0.216512,559,48.780251,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.0798448835100447, 'block_progress': 2.857142857142857, 'time': 5.589999999999925, 'distance': 18.702405073971022, 'reward': -1.0031534976050966, 'reward_score': 0.2165115501767363, 'fitness': 3013926.1811049716}"
0.364487,555,49.481909,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.2144873482840404, 'block_progress': 2.857142857142857, 'time': 5.549999999999926, 'distance': 20.15233015458216, 'reward': -1.003197094145275, 'reward_score': 0.36448734828406515, 'fitness': 3148967.195953887}"
0.188719,562,50.205845,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.0620520455496654, 'block_progress': 2.857142857142857, 'time': 5.619999999999925, 'distance': 18.383678307989612, 'reward': -1.0033060854957216, 'reward_score': 0.18871871221635717, 'fitness': 2995833.6618713588}"
-0.386114,682,51.078567,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.887219020298549, 'block_progress': 2.857142857142857, 'time': 6.819999999999899, 'distance': 16.442446122673573, 'reward': -1.0033496820358998, 'reward_score': -0.38611431303475063, 'fitness': 2809002.577852427}"
0.033853,586,51.81527,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.9871858869280135, 'block_progress': 2.857142857142857, 'time': 5.8599999999999195, 'distance': 17.58329947065795, 'reward': -1.0032134428478425, 'reward_score': 0.03385255359470696, 'fitness': 2918568.303628544}"
