#{"t_start": 1777981751.9467845, "env_id": "None"}
r,l,t,episode_metrics
-0.81118,461,17.231158,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.8588202340262279, 'block_progress': 0.0, 'time': 5.009999999999945, 'distance': 5.5101332434569485, 'reward': -1.0033169846307661, 'reward_score': -0.8111797659737536, 'fitness': 1798714.723892985}"
-0.555699,472,17.906607,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.1143014090401784, 'block_progress': 0.0, 'time': 5.009999999999941, 'distance': 8.19057214919303, 'reward': -1.003327883765811, 'reward_score': -0.555698590959802, 'fitness': 2054193.2184680298}"
-0.840139,467,18.571897,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.8298612322126115, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 5.279307474535017, 'reward': -1.003327883765811, 'reward_score': -0.8401387677873691, 'fitness': 1769755.9529051373}"
-0.898791,464,19.224967,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.774542672293527, 'block_progress': 0.0, 'time': 5.0199999999999445, 'distance': 4.8476109989132965, 'reward': -1.0069554937453493, 'reward_score': -0.8987906610397878, 'fitness': 1714337.8246825284}"
-0.587551,471,19.902208,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.0824486868722096, 'block_progress': 0.0, 'time': 5.009999999999944, 'distance': 7.81270324595971, 'reward': -1.0030118088495166, 'reward_score': -0.5875513131277716, 'fitness': 2022340.874168964}"
-0.780095,466,20.583888,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.889904567173549, 'block_progress': 0.0, 'time': 5.00999999999994, 'distance': 5.809609357078443, 'reward': -1.0039709327334447, 'reward_score': -0.7800954328264311, 'fitness': 1829798.7575641926}"
-0.821946,476,21.254515,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.8513870239257812, 'block_progress': 0.0, 'time': 5.019999999999941, 'distance': 5.280035751522519, 'reward': -1.0066666666666664, 'reward_score': -0.8219463094075323, 'fitness': 1791181.7438900303}"
-0.841327,466,21.913482,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.8286732264927454, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 5.139315594198706, 'reward': -1.006388738723028, 'reward_score': -0.8413267735072352, 'fitness': 1768568.0871771516}"
0.075389,465,22.602838,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.7453885759626115, 'block_progress': 0.0, 'time': 5.009999999999945, 'distance': 15.213034638538375, 'reward': -1.0033878290085563, 'reward_score': 0.07538857596263004, 'fitness': 2685273.3629279733}"
-0.405078,477,23.322442,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.2649220057896207, 'block_progress': 0.0, 'time': 5.009999999999941, 'distance': 10.104641744736, 'reward': -1.0034586733863466, 'reward_score': -0.4050779942103597, 'fitness': 2204811.9011478764}"
