timestamp_utc,episode,finished,crashes,timeout,progress,block_progress,time,distance,fitness,reward_score,episode_reward,timesteps
2026-05-05T11:49:13Z,1,0,1,0,2.2660773141043524,0.0,5.009999999999941,9.600107333768392,2205967.7139970195,-0.40392268589562796,-0.403923,483
2026-05-05T11:49:15Z,2,0,1,0,2.33635493687221,0.0,5.009999999999943,10.298768816079246,2276244.6381033943,-0.33364506312777076,-0.333645,955
2026-05-05T11:49:16Z,3,0,1,0,2.0935767037527904,0.0,5.009999999999943,8.161418960764422,2033468.5423338301,-0.5764232962471905,-0.576423,1426
2026-05-05T11:49:16Z,4,0,1,0,1.880340576171875,0.0,5.009999999999945,5.927033042171388,1820234.6491388334,-0.7896594238281065,-0.789659,1889
2026-05-05T11:49:17Z,5,0,1,0,1.9301005772181918,0.0,5.009999999999942,6.16506081087573,1869994.4121573817,-0.7398994227817888,-0.739899,2362
2026-05-05T11:49:18Z,6,0,1,0,1.8212618146623882,0.0,5.009999999999943,5.494634283313644,1761156.3200281055,-0.8487381853375926,-0.848738,2833
2026-05-05T11:49:18Z,7,0,1,0,1.9517844063895091,0.0,5.009999999999943,6.393097282882081,1891678.0132922267,-0.7182155936104717,-0.718216,3307
2026-05-05T11:49:19Z,8,0,1,0,1.8572889055524553,0.0,5.009999999999943,5.776836971344892,1797183.1287154844,-0.8127110944475255,-0.812711,3778
2026-05-05T11:49:20Z,9,0,1,0,2.0363071986607144,0.0,5.009999999999944,7.642271067306865,1976199.5563896475,-0.6336928013392669,-0.633693,4248
2026-05-05T11:49:21Z,10,0,1,0,1.8417249407087055,0.0,5.009999999999943,5.5731709835527,1781619.3675377225,-0.8282750592912753,-0.828275,4721
2026-05-05T11:49:21Z,11,0,1,0,1.7811911446707591,0.0,5.009999999999942,5.052376516250661,1721086.0922942436,-0.8888088553292215,-0.888809,5196
2026-05-05T11:49:22Z,12,0,1,0,1.9603674752371654,0.0,5.009999999999943,6.701773151551606,1900260.7734640143,-0.7096325247628155,-0.709633,5667
2026-05-05T11:49:23Z,13,0,1,0,1.8363734654017856,0.0,5.009999999999942,5.262094707410142,1776268.203307079,-0.833626534598195,-0.833627,6139
2026-05-05T11:49:23Z,14,0,1,0,2.062465122767857,0.0,5.009999999999942,7.6854606173728826,2002357.4373072404,-0.6075348772321234,-0.607535,6606
2026-05-05T11:49:24Z,15,0,1,0,1.8792506626674106,0.0,5.019999999999942,6.101724690626725,1819044.5609427209,-0.7940826706659032,-0.794083,7078
2026-05-05T11:49:25Z,16,0,1,0,1.8023463657924108,0.0,5.009999999999943,4.863219014951028,1742241.5025733965,-0.86765363420757,-0.867654,7552
2026-05-05T11:49:25Z,17,0,1,0,2.0463126046316966,0.0,5.009999999999941,7.686864081857493,1986204.9177676155,-0.6236873953682838,-0.623687,8025
2026-05-05T11:49:26Z,18,0,1,0,1.797060285295759,0.0,5.009999999999943,4.672193850783515,1736955.6131019085,-0.8729397147042219,-0.87294,8497
2026-05-05T11:49:27Z,19,0,1,0,1.777223859514509,0.0,5.009999999999946,4.468093136922107,1717119.3914213723,-0.8927761404854728,-0.892776,8966
2026-05-05T11:49:27Z,20,0,1,0,1.999004908970424,0.0,5.009999999999941,7.036619984988647,1938897.8723504397,-0.6709950910295563,-0.670995,9439
2026-05-05T11:49:28Z,21,0,1,0,1.7049789428710938,0.0,5.009999999999943,4.251154505385784,1644874.6917165888,-0.9650210571288871,-0.965021,9920
