timestamp_utc,generation,cached_evaluations,evaluated_count,population_size,current_mutation_prob,current_mutation_sigma,mutation_decay_trigger,mutation_decay_active,mutation_decay_trigger_generation,effective_mutation_prob_decay,effective_mutation_sigma_decay,dist_avg,dist_best_gen,dist_best_global,time_avg,time_best_gen,time_best_global,finish_count,crash_count,timeout_count,finish_rate,crash_rate,timeout_rate,best_finished,best_crashes,best_progress,best_dense_progress,best_ranking_progress,best_ranking_key,mean_discrete_progress,mean_dense_progress,mean_ranking_progress,std_dense_progress,std_ranking_progress,best_distance,best_time,best_reward,best_fitness,selection_mode,front0_size,best_selection_rank,best_selection_crowding,best_selection_objectives,selection_objective_names,virtual_time_sum,virtual_distance_sum,evaluation_steps_sum
2026-05-04T23:30:23Z,1,0,32,32,0.15,0.3,first_finish,0,,1.0,1.0,3.3261635303497314,7.970384870256697,7.970384870256697,30.0,30.0,30.0,0,32,0,0.0,1.0,0.0,0,1,5.714285714285714,7.970384870256697,7.970384870256697,"[0.0, 7.970384870256697, -3.2799999713897705, -1.0]",2.232142925262451,3.3261635303497314,3.3261635303497314,3.156837224960327,3.156837224960327,73.752197265625,3.2799999713897705,7970381590255.726,7970381590255.726,lexicographic,,0,0.0,"[0.0, 7.970384870256697, -3.2799999713897705, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",100.6500015258789,1058.766845703125,11386
2026-05-04T23:32:55Z,2,2,30,32,0.15,0.3,first_finish,0,,1.0,1.0,5.445953369140625,9.085581643240792,9.085581643240792,30.0,30.0,30.0,0,32,0,0.0,1.0,0.0,0,1,8.571428571428571,9.085581643240792,9.085581643240792,"[0.0, 9.085581643240792, -4.5, -1.0]",3.9285717010498047,5.445953369140625,5.445953369140625,2.7836251258850098,2.7836251258850098,77.6061782836914,4.5,9085577143239.791,9085577143239.791,lexicographic,,0,0.0,"[0.0, 9.085581643240792, -4.5, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",108.77000427246094,1557.8695068359375,10391
2026-05-04T23:35:27Z,3,2,30,32,0.15,0.3,first_finish,0,,1.0,1.0,5.847960948944092,9.085581643240792,9.085581643240792,30.0,30.0,30.0,0,32,0,0.0,1.0,0.0,0,1,8.571428571428571,9.085581643240792,9.085581643240792,"[0.0, 9.085581643240792, -4.5, -1.0]",4.1964287757873535,5.847960948944092,5.847960948944092,2.369295835494995,2.369295835494995,77.6061782836914,4.5,9085577143239.791,9085577143239.791,lexicographic,,0,0.0,"[0.0, 9.085581643240792, -4.5, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",114.94000244140625,1631.345458984375,11979
2026-05-04T23:38:01Z,4,2,30,32,0.15,0.3,first_finish,0,,1.0,1.0,5.352317810058594,9.290744236537389,9.290744236537389,30.0,30.0,30.0,0,32,0,0.0,1.0,0.0,0,1,8.571428571428571,9.290744236537389,9.290744236537389,"[0.0, 9.290744236537389, -3.7799999713897705, -1.0]",4.107142925262451,5.352317810058594,5.352317810058594,2.4690141677856445,2.4690141677856445,79.18115997314453,3.7799999713897705,9290740456536.418,9290740456536.418,lexicographic,,0,0.0,"[0.0, 9.290744236537389, -3.7799999713897705, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",117.38999938964844,1485.8681640625,14026
2026-05-04T23:40:46Z,5,2,30,32,0.15,0.3,first_finish,0,,1.0,1.0,5.987159729003906,14.808872767857142,14.808872767857142,30.0,30.0,30.0,0,32,0,0.0,1.0,0.0,0,1,14.285714285714285,14.808872767857142,14.808872767857142,"[0.0, 14.808872767857142, -9.789999961853027, -1.0]",4.464285850524902,5.987159729003906,5.987159729003906,2.8251655101776123,2.8251655101776123,126.70294952392578,9.789999961853027,14808862977856.182,14808862977856.182,lexicographic,,0,0.0,"[0.0, 14.808872767857142, -9.789999961853027, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",125.80999755859375,1670.875732421875,15316
2026-05-04T23:43:37Z,6,2,30,32,0.15,0.3,first_finish,0,,1.0,1.0,5.3515214920043945,14.808872767857142,14.808872767857142,30.0,30.0,30.0,0,32,0,0.0,1.0,0.0,0,1,14.285714285714285,14.808872767857142,14.808872767857142,"[0.0, 14.808872767857142, -9.789999961853027, -1.0]",3.8392858505249023,5.3515214920043945,5.3515214920043945,3.129284381866455,3.129284381866455,126.70294952392578,9.789999961853027,14808862977856.182,14808862977856.182,lexicographic,,0,0.0,"[0.0, 14.808872767857142, -9.789999961853027, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",136.6699981689453,1422.1910400390625,16593
2026-05-04T23:46:15Z,7,2,30,32,0.15,0.3,first_finish,0,,1.0,1.0,6.478638648986816,14.808872767857142,14.808872767857142,30.0,30.0,30.0,0,32,0,0.0,1.0,0.0,0,1,14.285714285714285,14.808872767857142,14.808872767857142,"[0.0, 14.808872767857142, -9.789999961853027, -1.0]",5.0,6.478638648986816,6.478638648986816,3.089322805404663,3.089322805404663,126.70294952392578,9.789999961853027,14808862977856.182,14808862977856.182,lexicographic,,0,0.0,"[0.0, 14.808872767857142, -9.789999961853027, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",135.83999633789062,1827.990234375,16559
2026-05-04T23:48:50Z,8,2,30,32,0.15,0.3,first_finish,0,,1.0,1.0,5.647252559661865,14.808872767857142,14.808872767857142,30.0,30.0,30.0,0,32,0,0.0,1.0,0.0,0,1,14.285714285714285,14.808872767857142,14.808872767857142,"[0.0, 14.808872767857142, -9.789999961853027, -1.0]",4.017857074737549,5.647252559661865,5.647252559661865,3.1645355224609375,3.1645355224609375,126.70294952392578,9.789999961853027,14808862977856.182,14808862977856.182,lexicographic,,0,0.0,"[0.0, 14.808872767857142, -9.789999961853027, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",132.82998657226562,1514.8468017578125,16099
2026-05-04T23:51:30Z,9,2,30,32,0.15,0.3,first_finish,0,,1.0,1.0,6.069188594818115,14.808872767857142,14.808872767857142,30.0,30.0,30.0,0,32,0,0.0,1.0,0.0,0,1,14.285714285714285,14.808872767857142,14.808872767857142,"[0.0, 14.808872767857142, -9.789999961853027, -1.0]",4.732142925262451,6.069188594818115,6.069188594818115,2.811737298965454,2.811737298965454,126.70294952392578,9.789999961853027,14808862977856.182,14808862977856.182,lexicographic,,0,0.0,"[0.0, 14.808872767857142, -9.789999961853027, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",138.3800048828125,1691.466552734375,16763
2026-05-04T23:54:11Z,10,2,30,32,0.15,0.3,first_finish,0,,1.0,1.0,5.924228668212891,14.808872767857142,14.808872767857142,30.0,30.0,30.0,0,32,0,0.0,1.0,0.0,0,1,14.285714285714285,14.808872767857142,14.808872767857142,"[0.0, 14.808872767857142, -9.789999961853027, -1.0]",4.285714149475098,5.924228668212891,5.924228668212891,2.7334482669830322,2.7334482669830322,126.70294952392578,9.789999961853027,14808862977856.182,14808862977856.182,lexicographic,,0,0.0,"[0.0, 14.808872767857142, -9.789999961853027, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",138.69000244140625,1629.27587890625,16842
