#{"t_start": 1777460341.1536112, "env_id": "None"}
r,l,t,episode_metrics
-997.142857,545,13.741263,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 8.449999809265137, 'distance': 33.98882293701172, 'fitness': -997142857.1428572, 'fitness_delta_score': -997.1428571428572, 'last_fitness_delta_score': -997.1428571428572, 'last_fitness_delta_progress': 2.857142857142857, 'reward': -1000.0000000000001}"
-997.142857,312,19.744804,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.449999809265137, 'distance': 16.987478256225586, 'fitness': -997142857.1428572, 'fitness_delta_score': -997.1428571428572, 'last_fitness_delta_score': -997.1428571428572, 'last_fitness_delta_progress': 2.857142857142857, 'reward': -1000.0000000000001}"
-997.142857,419,28.248493,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 6.849999904632568, 'distance': 25.76966094970703, 'fitness': -997142857.1428572, 'fitness_delta_score': -997.1428571428572, 'last_fitness_delta_score': -997.1428571428572, 'last_fitness_delta_progress': 2.857142857142857, 'reward': -1000.0000000000001}"
-1000.0,84,31.926467,"{'term': -1.0, 'progress': 0.0, 'time': 2.0299999713897705, 'distance': 2.1739022731781006, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,79,35.503658,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.8315353393554688, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,74,39.10419,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.7568728923797607, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,50,42.761597,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 1.1845697164535522, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,91,46.472671,"{'term': -1.0, 'progress': 0.0, 'time': 2.0799999237060547, 'distance': 3.767038106918335, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,55,50.105085,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.7867894172668457, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-997.142857,292,57.407424,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.710000038146973, 'distance': 25.50068473815918, 'fitness': -997142857.1428572, 'fitness_delta_score': -997.1428571428572, 'last_fitness_delta_score': -997.1428571428572, 'last_fitness_delta_progress': 2.857142857142857, 'reward': -1000.0000000000001}"
-997.142857,277,64.666114,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.639999866485596, 'distance': 23.11041259765625, 'fitness': -997142857.1428572, 'fitness_delta_score': -997.1428571428572, 'last_fitness_delta_score': -997.1428571428572, 'last_fitness_delta_progress': 2.857142857142857, 'reward': -1000.0000000000001}"
-1000.0,188,69.96103,"{'term': -1.0, 'progress': 0.0, 'time': 3.6700000762939453, 'distance': 19.23534393310547, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,162,74.870355,"{'term': -1.0, 'progress': 0.0, 'time': 3.2799999713897705, 'distance': 18.19119644165039, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,150,80.027517,"{'term': -1.0, 'progress': 0.0, 'time': 3.5399999618530273, 'distance': 20.37176513671875, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,15,83.620889,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 0.21591106057167053, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-997.142857,180,89.402969,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.199999809265137, 'distance': 23.215251922607422, 'fitness': -997142857.1428572, 'fitness_delta_score': -997.1428571428572, 'last_fitness_delta_score': -997.1428571428572, 'last_fitness_delta_progress': 2.857142857142857, 'reward': -1000.0000000000001}"
-1000.0,183,94.875155,"{'term': -1.0, 'progress': 0.0, 'time': 3.880000114440918, 'distance': 18.145326614379883, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,193,100.818903,"{'term': -1.0, 'progress': 0.0, 'time': 4.329999923706055, 'distance': 15.990857124328613, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,29,104.420437,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 1.022947907447815, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,76,108.014571,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 6.574164390563965, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
