timestamp_utc,generation,individual_index,finished,crashes,timeout,progress,discrete_progress,dense_progress,ranking_progress,distance,time,reward,fitness,ranking_key,selection_mode,selection_rank,selection_crowding,selection_objectives,selection_objective_names,evaluation_steps,evaluation_terminated,evaluation_truncated,evaluation_valid
2026-05-04T00:25:20Z,1,0,0,1,0,5.714285714285714,5.714285714285714,8.420865195138113,8.420865195138113,75.74728393554688,10.40999984741211,8420854785137.266,8420854785137.266,"[0.0, 8.420865195138113, -10.40999984741211, -1.0]",lexicographic,0,0.0,"[0.0, 8.420865195138113, -10.40999984741211, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1159,1,0,1
2026-05-04T00:25:20Z,1,1,0,1,0,5.714285714285714,5.714285714285714,8.005357469831194,8.005357469831194,74.28504180908203,3.8499999046325684,8005353619830.29,8005353619830.29,"[0.0, 8.005357469831194, -3.8499999046325684, -1.0]",lexicographic,1,0.0,"[0.0, 8.005357469831194, -3.8499999046325684, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",444,1,0,1
2026-05-04T00:25:20Z,1,2,0,1,0,5.714285714285714,5.714285714285714,7.44309561593192,7.44309561593192,71.33992004394531,4.179999828338623,7443091435931.092,7443091435931.092,"[0.0, 7.44309561593192, -4.179999828338623, -1.0]",lexicographic,2,0.0,"[0.0, 7.44309561593192, -4.179999828338623, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",480,1,0,1
2026-05-04T00:25:20Z,1,3,0,1,0,5.714285714285714,5.714285714285714,7.145625523158482,7.145625523158482,68.8670654296875,3.369999885559082,7145622153157.596,7145622153157.596,"[0.0, 7.145625523158482, -3.369999885559082, -1.0]",lexicographic,3,0.0,"[0.0, 7.145625523158482, -3.369999885559082, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",394,1,0,1
2026-05-04T00:25:20Z,1,4,0,1,0,5.714285714285714,5.714285714285714,7.142857142857142,7.142857142857142,66.0114517211914,3.0899999141693115,7142854052856.229,7142854052856.229,"[0.0, 7.142857142857142, -3.0899999141693115, -1.0]",lexicographic,4,0.0,"[0.0, 7.142857142857142, -3.0899999141693115, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",356,1,0,1
2026-05-04T00:25:20Z,1,5,0,1,0,5.714285714285714,5.714285714285714,7.142857142857142,7.142857142857142,66.78325653076172,3.130000114440918,7142854012856.028,7142854012856.028,"[0.0, 7.142857142857142, -3.130000114440918, -1.0]",lexicographic,5,0.0,"[0.0, 7.142857142857142, -3.130000114440918, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",365,1,0,1
2026-05-04T00:25:20Z,1,6,0,1,0,5.714285714285714,5.714285714285714,7.142857142857142,7.142857142857142,66.66316986083984,3.7699999809265137,7142853372856.162,7142853372856.162,"[0.0, 7.142857142857142, -3.7699999809265137, -1.0]",lexicographic,6,0.0,"[0.0, 7.142857142857142, -3.7699999809265137, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",428,1,0,1
2026-05-04T00:25:20Z,1,7,0,1,0,5.714285714285714,5.714285714285714,7.142857142857142,7.142857142857142,68.81163024902344,4.090000152587891,7142853052855.99,7142853052855.99,"[0.0, 7.142857142857142, -4.090000152587891, -1.0]",lexicographic,7,0.0,"[0.0, 7.142857142857142, -4.090000152587891, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",476,1,0,1
2026-05-04T00:25:20Z,1,8,0,1,0,5.714285714285714,5.714285714285714,7.142857142857142,7.142857142857142,68.3518295288086,5.949999809265137,7142851192856.333,7142851192856.333,"[0.0, 7.142857142857142, -5.949999809265137, -1.0]",lexicographic,8,0.0,"[0.0, 7.142857142857142, -5.949999809265137, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",666,1,0,1
2026-05-04T00:25:20Z,1,9,0,1,0,5.714285714285714,5.714285714285714,7.142857142857142,7.142857142857142,68.83641052246094,8.800000190734863,7142848342855.952,7142848342855.952,"[0.0, 7.142857142857142, -8.800000190734863, -1.0]",lexicographic,9,0.0,"[0.0, 7.142857142857142, -8.800000190734863, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1024,1,0,1
