laser_index,angle_deg,aabb_offset,raw_min,raw_q001,raw_q01,raw_q05,raw_median,sym_min,sym_q001,sym_q01,sym_q05,sym_median,sym_min_minus_aabb,sym_q01_minus_aabb
0,-90.0,1.100000023841858,1.4721919298171997,1.5289881725311278,1.5883503401279448,1.8882877826690674,23.774089813232422,1.423750638961792,1.4403523745536804,1.55800852060318,1.8262705028057098,21.89524269104004,0.3237506151199341,0.45800849676132205
1,-77.14286041259766,1.1282886266708374,1.5140819549560547,1.568309614419937,1.6189984571933747,1.932302963733673,20.771203994750977,1.454775094985962,1.472257750749588,1.595740704536438,1.8696175873279572,17.72238540649414,0.3264864683151245,0.4674520778656006
2,-64.28571319580078,1.2209079265594482,1.6270496845245361,1.6933511124849319,1.7355756783485412,2.0596827983856203,15.104278564453125,1.5609493255615234,1.5829303061962128,1.7232050848007203,1.9954903423786163,15.104278564453125,0.3400413990020752,0.5022971582412721
3,-51.42856979370117,1.4069528579711914,1.8560645580291748,1.903520154953003,1.976786105632782,2.2928091764450076,14.190354347229004,1.7734127044677734,1.8011520886421204,1.9760628628730774,2.2329264998435976,14.190354347229004,0.36645984649658203,0.569110004901886
4,-38.57143020629883,1.7642629146575928,2.228317975997925,2.2385683708190918,2.3758114552497864,2.690389120578766,13.687898635864258,2.1741349697113037,2.198120254039764,2.3758114552497864,2.5541088700294496,13.687898635864258,0.40987205505371094,0.6115485405921937
5,-25.71428871154785,2.386320114135742,2.6400065422058105,2.6843832619190215,2.7414392971992494,2.92322256565094,14.239455223083496,2.602069139480591,2.6843832619190215,2.7414392971992494,2.92322256565094,14.239455223083496,0.21574902534484863,0.3551191830635072
6,-12.85714054107666,2.205291271209717,2.523040294647217,2.5621925055980683,2.6575283765792848,2.8217148423194884,15.797661781311035,2.520897388458252,2.540945630788803,2.6420387744903566,2.8217148423194884,15.797661781311035,0.31560611724853516,0.4367475032806398
7,0.0,2.1500000953674316,2.458932876586914,2.505014344215393,2.5521452593803406,2.9018780112266542,16.60065460205078,2.458932876586914,2.505014344215393,2.5521452593803406,2.9018780112266542,16.60065460205078,0.3089327812194824,0.402145164012909
8,12.85714054107666,2.205291271209717,2.520897388458252,2.540945630788803,2.6420387744903566,2.9713279485702513,17.090835571289062,2.520897388458252,2.540945630788803,2.6420387744903566,2.8217148423194884,15.797661781311035,0.31560611724853516,0.4367475032806398
9,25.71428871154785,2.386320114135742,2.602069139480591,2.6845384368896483,2.7952923703193666,2.931177854537964,17.361927032470703,2.602069139480591,2.6843832619190215,2.7414392971992494,2.92322256565094,14.239455223083496,0.21574902534484863,0.3551191830635072
10,38.5714225769043,1.7642632722854614,2.1741349697113037,2.198120254039764,2.3980965662002562,2.5541088700294496,16.856264114379883,2.1741349697113037,2.198120254039764,2.3758114552497864,2.5541088700294496,13.687898635864258,0.4098716974258423,0.611548182964325
11,51.42856979370117,1.4069528579711914,1.7734127044677734,1.8011520886421204,1.9760628628730774,2.2329264998435976,16.6015682220459,1.7734127044677734,1.8011520886421204,1.9760628628730774,2.2329264998435976,14.190354347229004,0.36645984649658203,0.569110004901886
12,64.28571319580078,1.2209078073501587,1.5609493255615234,1.5829303061962128,1.7232050848007203,1.9954903423786163,15.865514755249023,1.5609493255615234,1.5829303061962128,1.7232050848007203,1.9954903423786163,15.104278564453125,0.34004151821136475,0.5022972774505616
13,77.14285278320312,1.1282886266708374,1.454775094985962,1.472257750749588,1.595740704536438,1.8696175873279572,17.72238540649414,1.454775094985962,1.472257750749588,1.595740704536438,1.8696175873279572,17.72238540649414,0.3264864683151245,0.4674520778656006
14,90.0,1.100000023841858,1.423750638961792,1.4403523745536804,1.55800852060318,1.8262705028057098,21.89524269104004,1.423750638961792,1.4403523745536804,1.55800852060318,1.8262705028057098,21.89524269104004,0.3237506151199341,0.45800849676132205
