timestamp_utc,generation,individual_index,finished,crashes,timeout,progress,block_progress,ranking_progress,distance,time,reward,fitness,ranking_key,selection_mode,selection_rank,selection_crowding,selection_objectives,selection_objective_names,evaluation_steps,evaluation_terminated,evaluation_truncated,evaluation_valid
2026-05-06T14:05:41Z,1,0,0,1,0,22.592362490567293,20.454545454545457,22.592362490567293,301.21295166015625,6.900000095367432,22592355590566.2,22592355590566.2,"[0.0, 22.592362490567293, -6.900000095367432, -1.0]",lexicographic,0,0.0,"[0.0, 22.592362490567293, -6.900000095367432, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",629,1,0,1
2026-05-06T14:05:41Z,1,1,0,1,0,22.202357378872957,20.454545454545457,22.202357378872957,275.8974914550781,7.130000114440918,22202350248871.844,22202350248871.844,"[0.0, 22.202357378872957, -7.130000114440918, -1.0]",lexicographic,1,0.0,"[0.0, 22.202357378872957, -7.130000114440918, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",595,1,0,1
2026-05-06T14:05:41Z,1,2,0,1,0,21.935254877263848,20.454545454545457,21.935254877263848,291.2566223144531,6.699999809265137,21935248177263.04,21935248177263.04,"[0.0, 21.935254877263848, -6.699999809265137, -1.0]",lexicographic,2,0.0,"[0.0, 21.935254877263848, -6.699999809265137, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",620,1,0,1
2026-05-06T14:05:41Z,1,3,0,1,0,21.87976837158203,20.454545454545457,21.87976837158203,285.8209533691406,6.619999885559082,21879761751581.145,21879761751581.145,"[0.0, 21.87976837158203, -6.619999885559082, -1.0]",lexicographic,3,0.0,"[0.0, 21.87976837158203, -6.619999885559082, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",562,1,0,1
2026-05-06T14:05:41Z,1,4,0,1,0,21.717496351762254,20.454545454545457,21.717496351762254,286.1380615234375,6.610000133514404,21717489741761.12,21717489741761.12,"[0.0, 21.717496351762254, -6.610000133514404, -1.0]",lexicographic,4,0.0,"[0.0, 21.717496351762254, -6.610000133514404, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",584,1,0,1
2026-05-06T14:05:41Z,1,5,0,1,0,21.649490703235973,20.454545454545457,21.649490703235973,292.0967102050781,6.829999923706055,21649483873235.05,21649483873235.05,"[0.0, 21.649490703235973, -6.829999923706055, -1.0]",lexicographic,5,0.0,"[0.0, 21.649490703235973, -6.829999923706055, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",579,1,0,1
2026-05-06T14:05:41Z,1,6,0,1,0,21.59090909090909,20.454545454545457,21.59090909090909,284.19549560546875,6.539999961853027,21590902550908.13,21590902550908.13,"[0.0, 21.59090909090909, -6.539999961853027, -1.0]",lexicographic,6,0.0,"[0.0, 21.59090909090909, -6.539999961853027, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",607,1,0,1
2026-05-06T14:05:41Z,1,7,0,1,0,21.59090909090909,20.454545454545457,21.59090909090909,284.94189453125,6.599999904632568,21590902490908.184,21590902490908.184,"[0.0, 21.59090909090909, -6.599999904632568, -1.0]",lexicographic,7,0.0,"[0.0, 21.59090909090909, -6.599999904632568, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",610,1,0,1
2026-05-06T14:05:41Z,1,8,0,1,0,21.59090909090909,20.454545454545457,21.59090909090909,293.2830810546875,6.760000228881836,21590902330907.86,21590902330907.86,"[0.0, 21.59090909090909, -6.760000228881836, -1.0]",lexicographic,8,0.0,"[0.0, 21.59090909090909, -6.760000228881836, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",622,1,0,1
2026-05-06T14:05:41Z,1,9,0,1,0,21.15591989679786,20.454545454545457,21.15591989679786,273.1932067871094,6.320000171661377,21155913576796.69,21155913576796.69,"[0.0, 21.15591989679786, -6.320000171661377, -1.0]",lexicographic,9,0.0,"[0.0, 21.15591989679786, -6.320000171661377, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",532,1,0,1
