generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,40,0,1,1,8551194212000.953,"[0.0, 8.551197052001953, -2.8399999999999834, -1.0]",8.551197052001953,5.714285714285714,8.551197052001953,2.8399999999999834,0,1,0,77.02086375653744,8551194.212000953,284,1,0
1,2,28,0,1,1,8490663140746.768,"[0.0, 8.490665980747767, -2.8399999999999834, -1.0]",8.490665980747767,5.714285714285714,8.490665980747767,2.8399999999999834,0,1,0,77.02125460654497,8490663.140746767,284,1,0
1,3,26,0,1,1,7630653356130.417,"[0.0, 7.630656106131417, -2.7499999999999853, -1.0]",7.630656106131417,5.714285714285714,7.630656106131417,2.7499999999999853,0,1,0,73.12587001919746,7630653.356130417,275,1,0
1,4,25,0,1,1,7148745455347.772,"[0.0, 7.148748125348773, -2.669999999999987, -1.0]",7.148748125348773,5.714285714285714,7.148748125348773,2.669999999999987,0,1,0,69.73373092710972,7148745.455347773,267,1,0
1,5,12,0,0,1,7142854572856.143,"[0.0, 7.142857142857142, -2.569999999999989, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.569999999999989,0,1,0,65.58699671924114,7142854.572856142,257,1,0
1,6,33,0,0,1,6707183587716.634,"[0.0, 6.707186017717634, -2.429999999999992, -1.0]",6.707186017717634,5.714285714285714,6.707186017717634,2.429999999999992,0,1,0,59.95971188694239,6707183.587716633,243,1,0
1,7,41,0,0,1,6579467533263.51,"[0.0, 6.57946995326451, -2.4199999999999924, -1.0]",6.57946995326451,5.714285714285714,6.57946995326451,2.4199999999999924,0,1,0,58.68141706287861,6579467.53326351,242,1,0
1,8,42,0,0,1,6362694716360.607,"[0.0, 6.362697056361608, -2.339999999999994, -1.0]",6.362697056361608,5.714285714285714,6.362697056361608,2.339999999999994,0,1,0,56.45269553363323,6362694.716360607,234,1,0
1,9,17,0,0,1,5852131654329.356,"[0.0, 5.852137974330357, -6.31999999999991, -1.0]",5.852137974330357,5.714285714285714,5.852137974330357,6.31999999999991,0,1,0,49.55925218272023,5852131.654329357,632,1,0
1,10,39,0,0,1,5729707199940.406,"[0.0, 5.729713439941406, -6.239999999999911, -1.0]",5.729713439941406,5.714285714285714,5.729713439941406,6.239999999999911,0,1,0,48.93225963971781,5729707.199940406,624,1,0
1,11,6,0,0,1,5674850453260.719,"[0.0, 5.674858093261719, -7.6399999999998816, -1.0]",5.674858093261719,2.857142857142857,5.674858093261719,7.6399999999998816,0,1,0,58.1848322303631,5674850.453260719,764,1,0
1,12,22,0,0,1,5668246697423.665,"[0.0, 5.668253217424665, -6.519999999999905, -1.0]",5.668253217424665,2.857142857142857,5.668253217424665,6.519999999999905,0,1,0,49.60534708874184,5668246.697423665,652,1,0
1,13,36,0,0,1,3074493147769.6475,"[0.0, 3.0744988577706476, -5.709999999999923, -1.0]",3.0744988577706476,2.857142857142857,3.0744988577706476,5.709999999999923,0,1,0,18.435235165350605,3074493.1477696477,571,1,0
1,14,47,0,0,1,3074193421555.92,"[0.0, 3.0741991315569197, -5.709999999999923, -1.0]",3.0741991315569197,2.857142857142857,3.0741991315569197,5.709999999999923,0,1,0,18.43465479716542,3074193.42155592,571,1,0
1,15,9,0,0,1,3073948191017.4155,"[0.0, 3.0739539010184154, -5.709999999999923, -1.0]",3.0739539010184154,2.857142857142857,3.0739539010184154,5.709999999999923,0,1,0,18.434810576902237,3073948.1910174154,571,1,0
1,16,4,0,0,1,3073059911511.277,"[0.0, 3.073065621512277, -5.709999999999923, -1.0]",3.073065621512277,2.857142857142857,3.073065621512277,5.709999999999923,0,1,0,18.43587826687144,3073059.911511277,571,1,0
