generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,run_key,run_label
1,1.8354306902204245,0.0,1.8354306902204245,1.8354306902204245,5.002526239948676,0,1,4.7458640184486285,233,1.5178099765728894,"[0.0, 1.8354306902204243]",0,48,48,0,48,0,48,0,240.66113965216528,240.66113965216528,11176,11176,18.571860099999867,18.708954700000504,0.0,1.7318423589070635,1.7318423589070635,1.4135075180973211,5.013773742753443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6590772356305803,1.6887615748814175,1.7055293491908483,1.728646414620536,1.7318423589070635,0.0382254646749524,1.7524228777204245,1.7804805210658483,1.8354306902204245,1.6590772356305803,1.6887615748814175,1.7055293491908483,1.728646414620536,1.7318423589070635,0.0382254646749524,1.7524228777204245,1.7804805210658483,1.8354306902204245,5.002526239948676,5.004359764916831,5.008527139039557,5.014468120891929,5.013773742753443,0.0072610521996655,5.01675125025506,5.024270392196943,5.027859824534212,3.1758928010531235,3.456190151676128,3.598732203061445,3.779210963006335,3.82503695616712,0.3316304508043692,3.991338593310502,4.272972216756171,4.7458640184486285,1.340598321263422,1.3707641865143247,1.3872284856906945,1.4108677068389306,1.4135075180973211,0.0382285895104918,1.4339722336241734,1.4616359404358366,1.5178099765728894,1.6590772356305803,1.6887615748814175,1.7055293491908483,1.728646414620536,1.7318423589070635,0.0382254646749524,1.7524228777204245,1.7804805210658483,1.8354306902204245,223.0,228.0,231.25,233.5,232.83333333333331,4.297932319409209,235.25,238.0,239.0,finished_progress,"(finished, progress)"
2,1.8854795183454245,0.0,1.8854795183454245,1.8854795183454245,5.015132008518647,0,1,5.464448941107548,227,1.5670584384394783,"[0.0, 1.8854795183454243]",4,44,48,0,48,0,48,0,240.51149823569705,481.1726378878623,11102,22278,8.8997631000002,27.82297910000034,0.0,1.766849358876546,1.766849358876546,1.4487124564483755,5.0106562132436885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6622161865234373,1.7120791843959262,1.7318167005266465,1.7710440499441964,1.766849358876546,0.0476084245899014,1.795128413609096,1.833718981061663,1.8854795183454245,1.6622161865234373,1.7120791843959262,1.7318167005266465,1.7710440499441964,1.766849358876546,0.0476084245899014,1.795128413609096,1.833718981061663,1.8854795183454245,5.002070196348256,5.002526239948676,5.003254801852646,5.0070819889921205,5.0106562132436885,0.0090650810111018,5.015132008518647,5.028023869060111,5.028069759169409,3.228051065088948,3.655041076308408,3.836871835606871,4.195318658836186,4.1499227051984535,0.4437036649983663,4.382247259722135,4.740626501091174,5.464448941107548,1.344381708454632,1.3941473660462718,1.4138430863747145,1.452469260799681,1.4487124564483755,0.0475758965801253,1.4761463737792213,1.516106953958898,1.5670584384394783,1.6622161865234373,1.7120791843959262,1.7318167005266465,1.7710440499441964,1.766849358876546,0.0476084245899014,1.795128413609096,1.833718981061663,1.8854795183454245,223.0,225.0,228.0,231.5,231.29166666666663,4.320292878446502,234.0,235.3,240.0,finished_progress,"(finished, progress)"
3,2.0878819056919644,0.0,2.0878819056919644,2.0878819056919644,5.023373459351388,0,1,7.547883075501886,236,1.7689375590664795,"[0.0, 2.0878819056919644]",4,44,48,0,48,0,48,0,240.74211408354395,721.9147519714063,11258,33536,9.896684400000597,38.05426549999993,0.0,1.815495491027832,1.815495491027832,1.4970535411818744,5.015460710073833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.699932643345424,1.7343886239188058,1.7639854976109095,1.8092237200055803,1.815495491027832,0.072223310989021,1.851355688912528,1.8954838344029017,2.0878819056919644,1.699932643345424,1.7343886239188058,1.7639854976109095,1.8092237200055803,1.815495491027832,0.072223310989021,1.851355688912528,1.8954838344029017,2.0878819056919644,5.002526239948676,5.004525489105944,5.007690301880185,5.013605534584871,5.015460710073833,0.0088616646207561,5.023373459351388,5.028862103217157,5.029022493262783,3.4943759654124733,3.846171815518756,4.109542408588823,4.578182862693211,4.629862733543026,0.735539468228128,4.916331043881655,5.550369726203645,7.547883075501886,1.3807263113554809,1.4165975836276925,1.445002741616967,1.4908054046599413,1.4970535411818744,0.0721914165404373,1.5333785135379894,1.5770218496465678,1.7689375590664795,1.699932643345424,1.7343886239188058,1.7639854976109095,1.8092237200055803,1.815495491027832,0.072223310989021,1.851355688912528,1.8954838344029017,2.0878819056919644,225.0,228.7,230.0,234.0,234.54166666666663,5.27951360343819,239.25,242.0,243.0,finished_progress,"(finished, progress)"
4,2.0878819056919644,0.0,2.0878819056919644,2.0878819056919644,5.023373459351388,0,1,7.547883075501886,236,1.7689375590664795,"[0.0, 2.0878819056919644]",4,44,48,0,48,0,48,0,240.6874364896093,962.6021884610155,11143,44679,14.983255500000269,53.33582320000005,0.0,1.846719015212286,1.846719015212286,1.5283493902260306,5.014321593533527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6900580269949776,1.7269101824079245,1.7602797916957311,1.8279566083635603,1.846719015212286,0.0993717873224064,1.903018951416016,1.9949656895228796,2.0878819056919644,1.6900580269949776,1.7269101824079245,1.7602797916957311,1.8279566083635603,1.846719015212286,0.0993717873224064,1.903018951416016,1.9949656895228796,2.0878819056919644,5.000782436721908,5.003998828697484,5.009352769575044,5.016959802942638,5.014321593533527,0.0072112040231731,5.018919379195376,5.023373459351388,5.029022493262783,3.4842650564023643,3.801005968102254,4.093397981456292,4.753720415934367,4.961536147228192,1.001637301017837,5.514874461250656,6.423657288472169,7.547883075501886,1.371501397539287,1.4083455364744857,1.4421925038611934,1.5093237185480306,1.5283493902260306,0.0993904093116116,1.5848275495206572,1.676032680898626,1.7689375590664795,1.6900580269949776,1.7269101824079245,1.7602797916957311,1.8279566083635603,1.846719015212286,0.0993717873224064,1.903018951416016,1.9949656895228796,2.0878819056919644,225.0,228.0,230.0,233.0,232.14583333333331,3.061791301219308,235.0,236.0,236.0,finished_progress,"(finished, progress)"
5,2.371629987444196,0.0,2.371629987444196,2.371629987444196,5.001993130968772,0,1,10.593900328676682,231,2.054043121985861,"[0.0, 2.371629987444196]",4,44,48,0,48,0,48,0,240.5363891551829,1203.1385776161983,11102,55781,13.477825900000424,67.21440100000018,0.0,1.9324719338189984,1.9324719338189984,1.6143021068941537,5.011174774066309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7157799857003349,1.818636213030134,1.8383898053850447,1.9327190944126675,1.9324719338189984,0.1177721636262034,1.9914109366280692,2.0510619027274,2.371629987444196,1.7157799857003349,1.818636213030134,1.8383898053850447,1.9327190944126675,1.9324719338189984,0.1177721636262034,1.9914109366280692,2.0510619027274,2.371629987444196,5.000782436721908,5.002369152828185,5.004031834708042,5.008380304027584,5.011174774066309,0.0084963545608715,5.016958935630897,5.024408193070233,5.029246466440459,3.7595516614310327,4.68154390119671,4.8251522583195765,5.810354253404512,5.853136867182154,1.2479117784152207,6.504783680093169,7.053032530513884,10.593900328676682,1.3972429104221826,1.5002665016551435,1.5207944133539342,1.614697923309297,1.6143021068941537,0.1176948885439844,1.6723668824122486,1.7325889981945055,2.054043121985861,1.7157799857003349,1.818636213030134,1.8383898053850447,1.9327190944126675,1.9324719338189984,0.1177721636262034,1.9914109366280692,2.0510619027274,2.371629987444196,223.0,223.0,229.0,231.0,231.29166666666663,4.945361182180957,235.0,236.9,242.0,finished_progress,"(finished, progress)"
6,2.7641023908342635,0.0,2.7641023908342635,2.7641023908342635,5.006660448087148,0,1,14.984227105247555,223,2.4462191877811112,"[0.0, 2.7641023908342635]",4,44,48,0,48,0,48,0,240.64611517899525,1443.7846927951937,11118,66899,17.74589930000002,85.37026119999973,0.0,2.027147156851632,2.027147156851632,1.7088321896836491,5.013460732895735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7560195922851562,1.8443925040108813,1.9006388528006417,1.9818714686802452,2.027147156851632,0.1998774129479819,2.079944610595703,2.23869868687221,2.7641023908342635,1.7560195922851562,1.8443925040108813,1.9006388528006417,1.9818714686802452,2.027147156851632,0.1998774129479819,2.079944610595703,2.23869868687221,2.7641023908342635,5.001502575738615,5.002369152828185,5.003851779369565,5.010455645915708,5.013460732895735,0.009683190315161,5.020668786186843,5.0285719859105305,5.030632779082591,4.077443109068554,4.873493470582616,5.490583519924257,6.3208348939951975,6.915856985196569,2.235352040034789,7.551573772023403,9.661203348942948,14.984227105247555,1.4366143364703885,1.525507448022889,1.58255539879582,1.663698487348224,1.7088321896836491,0.1999998266408536,1.760654582078256,1.920570515478263,2.4462191877811112,1.7560195922851562,1.8443925040108813,1.9006388528006417,1.9818714686802452,2.027147156851632,0.1998774129479819,2.079944610595703,2.23869868687221,2.7641023908342635,223.0,224.0,229.75,231.0,231.625,4.952377375227646,236.0,236.6,242.0,finished_progress,"(finished, progress)"
7,5.156162806919643,2.857142857142857,5.156162806919643,5.156162806919643,21.167272201435274,0,1,44.72834378803236,973,3.812209016352324,"[0.0, 5.156162806919643]",4,44,48,0,48,0,48,0,319.443048002627,1763.2277407978206,14720,81619,18.07077260000005,104.17141970000011,0.1785714285714285,2.2665342830476307,2.2665342830476307,1.8439905687584417,6.655063500054729,0.0,0.0,0.0,0.0,0.1785714285714285,0.6916041689656102,0.0,0.0,2.857142857142857,1.7725372314453127,1.838199615478516,1.953690392630441,2.1221951075962613,2.2665342830476307,0.5493406664310951,2.3426069532121927,2.784356798444476,5.156162806919643,1.7725372314453127,1.838199615478516,1.953690392630441,2.1221951075962613,2.2665342830476307,0.5493406664310951,2.3426069532121927,2.784356798444476,5.156162806919643,5.001502575738615,5.003132386459206,5.005499776129503,5.0108802819565526,6.655063500054729,6.469930538088055,5.018695189612394,5.021254209939336,36.28086261147133,4.1845759147254284,4.856247070979589,6.251240113151653,7.898805574430298,10.22543024509605,7.551158794262222,10.525836610564513,15.210253713649584,44.72834378803236,0.6353545398947542,1.5119253872572656,1.617268990155593,1.779536611998055,1.8439905687584417,0.4659482605472049,1.9879531254030651,2.3359488640162795,3.812209016352324,1.7725372314453127,1.838199615478516,1.953690392630441,2.1221951075962613,2.2665342830476307,0.5493406664310951,2.3426069532121927,2.784356798444476,5.156162806919643,221.0,224.0,225.0,232.0,306.6666666666667,299.49842329393914,238.0,238.0,1678.0,finished_progress,"(finished, progress)"
8,6.890738351004464,5.714285714285714,6.890738351004464,6.890738351004464,45.01397001982342,0,0,62.367613055655966,2070,5.66050705539279,"[0.0, 6.890738351004464]",4,44,48,0,44,4,44,4,479.5703980332438,2242.7981388310645,22227,103846,29.419112100000348,134.13861390000056,0.7738095238095237,2.753447351001558,2.753447351001558,2.1190949726507062,9.991049959025911,0.0,0.0,0.0,0.0,0.7738095238095237,1.514059207378203,0.0,2.857142857142857,5.714285714285714,1.8880462646484373,1.9980392456054688,2.155223573957171,2.3947906494140625,2.753447351001558,1.030997158879814,2.853935786655971,3.704967498779299,6.890738351004464,1.8880462646484373,1.9980392456054688,2.155223573957171,2.3947906494140625,2.753447351001558,1.030997158879814,2.853935786655971,3.704967498779299,6.890738351004464,2.716151398667007,5.002436027973562,5.006039776134513,5.015518533954841,9.991049959025911,12.397539797725068,5.027321509368634,35.36763892916082,45.02458379841281,5.299426897530793,6.5382257554221725,8.209456377162496,11.218760882155038,16.510261093606612,12.692574401039248,20.97561420332204,33.383719247085544,62.367613055655966,0.1513314437426873,1.5853113399798031,1.71534159614562,1.976799008718563,2.1190949726507062,0.8490583320047034,2.2910148680184657,3.0324128653940168,5.66050705539279,1.8880462646484373,1.9980392456054688,2.155223573957171,2.3947906494140625,2.753447351001558,1.030997158879814,2.853935786655971,3.704967498779299,6.890738351004464,126.0,224.0,228.75,232.0,463.0625,577.3963256958632,241.0,1637.4000000000003,2122.0,finished_progress,"(finished, progress)"
9,8.350661141531807,5.714285714285714,8.350661141531807,8.350661141531807,45.010615375658176,0,0,77.05097563115123,2079,5.66050705539279,"[0.0, 8.350661141531807]",4,44,48,0,44,4,44,4,511.0704671008013,2753.8686059318657,23625,127471,28.793867399999726,163.3396198999999,1.1904761904761905,3.1724491573515388,3.1724491573515388,2.496430020974818,10.64730139793336,0.0,0.0,0.0,0.0,1.1904761904761905,1.828844225683002,2.857142857142857,2.857142857142857,5.714285714285714,1.850062779017857,2.068200247628348,2.2579629080636163,2.641650608607701,3.1724491573515388,1.4088040467073384,3.440311976841518,5.198028564453126,8.350661141531807,1.850062779017857,2.068200247628348,2.2579629080636163,2.641650608607701,3.1724491573515388,1.4088040467073384,3.440311976841518,5.198028564453126,8.350661141531807,2.61058667815266,4.719055616216432,5.002830363556988,5.013527983572345,10.64730139793336,12.35021880371285,7.702902553046191,27.83822645023505,45.01397001982342,4.933574244409101,7.238979864274734,9.724797937102268,15.36126239071018,21.56254989287466,16.29164163632801,29.21013198300534,44.79494021713472,77.05097563115123,0.1290626661389393,1.6735662010705747,1.861958466034583,2.217372160895128,2.496430020974818,1.0272147886541971,2.7284886701208158,3.9558475773113946,5.66050705539279,1.850062779017857,2.068200247628348,2.2579629080636163,2.641650608607701,3.1724491573515388,1.4088040467073384,3.440311976841518,5.198028564453126,8.350661141531807,113.0,211.6,228.75,234.0,492.1875,571.054749865326,356.5,1284.3000000000045,2122.0,finished_progress,"(finished, progress)"
10,9.401016235351562,8.571428571428571,9.401016235351562,9.401016235351562,8.377639082980625,0,1,79.93898203223944,380,8.869102642781364,"[0.0, 9.401016235351562]",4,44,48,0,44,4,44,4,497.7294147249551,3251.5980206568206,22912,150383,22.53340800000024,186.4296529000003,2.142857142857143,3.8563510917481927,3.8563510917481927,3.1979788500485165,10.369362806769898,0.0,0.0,0.0,2.857142857142857,2.142857142857143,2.369017707396714,2.857142857142857,5.714285714285714,8.571428571428571,2.028721400669643,2.304459163120815,2.488722120012556,3.0897058759416858,3.8563510917481927,1.9189701105656995,4.204811368669782,6.840140206473215,9.401016235351562,2.028721400669643,2.304459163120815,2.488722120012556,3.0897058759416858,3.8563510917481927,1.9189701105656995,4.204811368669782,6.840140206473215,9.401016235351562,2.8660277578055786,3.4806670206234505,5.003730449999708,5.016674608024845,10.369362806769898,12.730094861003137,6.013149202101039,32.62331728141092,45.016627299906936,6.80030769619043,9.841177219204836,13.60632357587565,23.08141916245222,28.839929995770035,20.175359887706723,33.49801831319928,60.08832316100598,79.93898203223944,0.2299787135274247,1.819792428998036,2.097646375923365,2.5881407148282163,3.1979788500485165,1.7237540946670882,3.623715277274592,5.6931472800146015,8.869102642781364,2.028721400669643,2.304459163120815,2.488722120012556,3.0897058759416858,3.8563510917481927,1.9189701105656995,4.204811368669782,6.840140206473215,9.401016235351562,129.0,161.8,227.0,233.0,477.3333333333333,586.8937060679917,277.5,1488.700000000003,2095.0,finished_progress,"(finished, progress)"
