#{"t_start": 1777982498.8602817, "env_id": "None"}
r,l,t,episode_metrics
3.861931,406,14.504464,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.305264064243861, 'block_progress': 5.714285714285714, 'time': 4.3299999999999566, 'distance': 55.70034101605415, 'reward': -0.9887775384812141, 'reward_score': 3.861930730910542, 'fitness': 6251908.363902845}"
4.157149,370,15.007439,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.467148917061942, 'block_progress': 5.714285714285714, 'time': 3.929999999999964, 'distance': 57.328891552984715, 'reward': -0.986494169689359, 'reward_score': 4.157148917061954, 'fitness': 6417791.588170389}"
4.204382,367,15.50297,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.497715541294642, 'block_progress': 5.714285714285714, 'time': 3.879999999999966, 'distance': 57.65167113393545, 'reward': -0.9868047950381333, 'reward_score': 4.20438220796132, 'fitness': 6448857.889623509}"
3.978694,391,16.009814,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.342026846749442, 'block_progress': 5.714285714285714, 'time': 4.0899999999999626, 'distance': 56.07189153134823, 'reward': -0.9881126912434892, 'reward_score': 3.978693513416121, 'fitness': 6291070.77485791}"
4.078671,366,16.490824,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.392004830496652, 'block_progress': 5.714285714285714, 'time': 3.939999999999967, 'distance': 56.56561499834061, 'reward': -0.9863851783389137, 'reward_score': 4.078671497163329, 'fitness': 6342548.264881654}"
3.966185,384,17.023715,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.336184910365514, 'block_progress': 5.714285714285714, 'time': 4.10999999999996, 'distance': 56.013409569859505, 'reward': -0.98825437999907, 'reward_score': 3.966184910365527, 'fitness': 6285028.896955944}"
4.0933,379,17.527919,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.469966343470983, 'block_progress': 5.714285714285714, 'time': 4.129999999999964, 'distance': 57.370616883039474, 'reward': -0.9875895327613451, 'reward_score': 4.093299676804328, 'fitness': 6418608.972854099}"
4.140858,361,18.048647,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.417525155203683, 'block_progress': 5.714285714285714, 'time': 3.8299999999999677, 'distance': 56.83346976339817, 'reward': -0.986935584658668, 'reward_score': 4.140858488537027, 'fitness': 6369168.32173392}"
4.286896,327,18.529435,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.463563101632254, 'block_progress': 5.714285714285714, 'time': 3.5299999999999723, 'distance': 57.29727675020695, 'reward': -0.9853988066173738, 'reward_score': 4.2868964349655965, 'fitness': 6418205.804355504}"
4.105513,353,19.021431,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.362179347446986, 'block_progress': 5.714285714285714, 'time': 3.7699999999999694, 'distance': 56.24905401468277, 'reward': -0.9871208699544276, 'reward_score': 4.105512680780329, 'fitness': 6314423.098392972}"
4.00059,371,19.540295,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.33392333984375, 'block_progress': 5.714285714285714, 'time': 3.9999999999999654, 'distance': 55.97177769988775, 'reward': -0.9864560227167036, 'reward_score': 4.0005900065104285, 'fitness': 6283867.36806605}"
4.202246,363,20.03316,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.475579398018973, 'block_progress': 5.714285714285714, 'time': 3.819999999999967, 'distance': 57.47667171061039, 'reward': -0.9735441952659967, 'reward_score': 4.202246064685651, 'fitness': 6427321.921347262}"
4.269614,343,20.516346,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.482947213309152, 'block_progress': 5.714285714285714, 'time': 3.639999999999971, 'distance': 57.51548348367214, 'reward': -0.9856004406156993, 'reward_score': 4.269613879975829, 'fitness': 6436489.697825668}"
4.270173,351,20.990012,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.520173209054129, 'block_progress': 5.714285714285714, 'time': 3.749999999999969, 'distance': 57.91317253559828, 'reward': -0.9852189708891368, 'reward_score': 4.27017320905414, 'fitness': 6472615.295881594}"
