#{"t_start": 1777460467.4057462, "env_id": "None"}
r,l,t,episode_metrics
-957.357057,2170,452.460355,"{'term': -1.0, 'progress': 42.857142857142854, 'time': 21.420000076293945, 'distance': 436.062255859375, 'fitness': -957357057.1436201, 'fitness_delta_score': -957.3570571436202, 'last_fitness_delta_score': -957.3570571436202, 'last_fitness_delta_progress': 42.857142857142854, 'reward': -1000.000900001526}"
-997.142857,427,459.084327,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.050000190734863, 'distance': 49.63631057739258, 'fitness': -997142857.1428572, 'fitness_delta_score': -997.1428571428572, 'last_fitness_delta_score': -997.1428571428572, 'last_fitness_delta_progress': 2.857142857142857, 'reward': -1000.0000000000001}"
-994.285714,409,465.474315,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 4.840000152587891, 'distance': 50.5816535949707, 'fitness': -994285714.2857143, 'fitness_delta_score': -994.2857142857142, 'last_fitness_delta_score': -994.2857142857142, 'last_fitness_delta_progress': 5.714285714285714, 'reward': -999.9999999999999}"
-997.142857,408,471.956745,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.920000076293945, 'distance': 49.6295166015625, 'fitness': -997142857.1428572, 'fitness_delta_score': -997.1428571428572, 'last_fitness_delta_score': -997.1428571428572, 'last_fitness_delta_progress': 2.857142857142857, 'reward': -1000.0000000000001}"
-960.353,3641,508.831978,"{'term': -1.0, 'progress': 40.0, 'time': 35.29999923706055, 'distance': 414.85699462890625, 'fitness': -960352999.9923706, 'fitness_delta_score': -960.3529999923707, 'last_fitness_delta_score': -960.3529999923707, 'last_fitness_delta_progress': 40.0, 'reward': -1000.0339999961853}"
-994.285714,443,515.533937,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 5.099999904632568, 'distance': 49.97116470336914, 'fitness': -994285714.2857143, 'fitness_delta_score': -994.2857142857142, 'last_fitness_delta_score': -994.2857142857142, 'last_fitness_delta_progress': 5.714285714285714, 'reward': -999.9999999999999}"
-974.462314,1721,534.789226,"{'term': -1.0, 'progress': 25.71428571428571, 'time': 17.65999984741211, 'distance': 246.89830017089844, 'fitness': -974462314.2841884, 'fitness_delta_score': -974.4623142841884, 'last_fitness_delta_score': -974.4623142841884, 'last_fitness_delta_progress': 25.71428571428571, 'reward': -1000.0243999958038}"
-960.2821,2880,564.550571,"{'term': -1.0, 'progress': 40.0, 'time': 28.209999084472656, 'distance': 419.3166809082031, 'fitness': -960282099.9908447, 'fitness_delta_score': -960.2820999908447, 'last_fitness_delta_score': -960.2820999908447, 'last_fitness_delta_progress': 40.0, 'reward': -1000.0188999938964}"
-997.142857,492,571.766526,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.630000114440918, 'distance': 48.94691467285156, 'fitness': -997142857.1428572, 'fitness_delta_score': -997.1428571428572, 'last_fitness_delta_score': -997.1428571428572, 'last_fitness_delta_progress': 2.857142857142857, 'reward': -1000.0000000000001}"
-1000.0,124,575.337466,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.4002434313297272, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,122,578.945409,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.36703959107398987, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-974.489814,2009,600.948164,"{'term': -1.0, 'progress': 25.71428571428571, 'time': 20.40999984741211, 'distance': 252.1744842529297, 'fitness': -974489814.2841884, 'fitness_delta_score': -974.4898142841884, 'last_fitness_delta_score': -974.4898142841884, 'last_fitness_delta_progress': 25.71428571428571, 'reward': -1000.0264999961853}"
-997.142857,479,607.98659,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.449999809265137, 'distance': 49.39311218261719, 'fitness': -997142857.1428572, 'fitness_delta_score': -997.1428571428572, 'last_fitness_delta_score': -997.1428571428572, 'last_fitness_delta_progress': 2.857142857142857, 'reward': -1000.0000000000001}"
-974.473814,1843,628.338886,"{'term': -1.0, 'progress': 25.71428571428571, 'time': 18.809999465942383, 'distance': 255.44606018066406, 'fitness': -974473814.2803737, 'fitness_delta_score': -974.4738142803737, 'last_fitness_delta_score': -974.4738142803737, 'last_fitness_delta_progress': 25.71428571428571, 'reward': -1000.0421999931336}"
-1000.0,141,631.942366,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.7363038063049316, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-974.460914,1715,651.048698,"{'term': -1.0, 'progress': 25.71428571428571, 'time': 17.520000457763672, 'distance': 253.06178283691406, 'fitness': -974460914.2902919, 'fitness_delta_score': -974.460914290292, 'last_fitness_delta_score': -974.460914290292, 'last_fitness_delta_progress': 25.71428571428571, 'reward': -1000.0288000011444}"
-971.560671,1270,665.845073,"{'term': -1.0, 'progress': 28.57142857142857, 'time': 13.210000038146973, 'distance': 269.7555236816406, 'fitness': -971560671.4289529, 'fitness_delta_score': -971.5606714289529, 'last_fitness_delta_score': -971.5606714289529, 'last_fitness_delta_progress': 28.57142857142857, 'reward': -1000.0048999977112}"
-980.1259,1201,680.026191,"{'term': -1.0, 'progress': 20.0, 'time': 12.59000015258789, 'distance': 191.7660675048828, 'fitness': -980125900.0015259, 'fitness_delta_score': -980.1259000015259, 'last_fitness_delta_score': -980.1259000015259, 'last_fitness_delta_progress': 20.0, 'reward': -1000.0352000045776}"
-971.589171,1560,697.702002,"{'term': -1.0, 'progress': 28.57142857142857, 'time': 16.059999465942383, 'distance': 269.10888671875, 'fitness': -971589171.4232309, 'fitness_delta_score': -971.5891714232309, 'last_fitness_delta_score': -971.5891714232309, 'last_fitness_delta_progress': 28.57142857142857, 'reward': -1000.0118999958039}"
-960.2895,2966,728.286525,"{'term': -1.0, 'progress': 40.0, 'time': 28.950000762939453, 'distance': 413.0787048339844, 'fitness': -960289500.0076294, 'fitness_delta_score': -960.2895000076294, 'last_fitness_delta_score': -960.2895000076294, 'last_fitness_delta_progress': 40.0, 'reward': -1000.0177000045776}"
-974.460214,1721,747.283895,"{'term': -1.0, 'progress': 25.71428571428571, 'time': 17.450000762939453, 'distance': 253.11407470703125, 'fitness': -974460214.2933437, 'fitness_delta_score': -974.4602142933437, 'last_fitness_delta_score': -974.4602142933437, 'last_fitness_delta_progress': 25.71428571428571, 'reward': -1000.0361000061035}"
