timestamp_utc,generation,individual_index,term,is_finish,total_progress,distance,time,fitness
2026-04-30T22:52:06Z,1,0,-1,0,2.857142857142857,44.63233184814453,6.25,2.857141857136607e+18
2026-04-30T22:52:06Z,1,1,-1,0,0.0,0.07973139733076096,2.009999990463257,-1000002010000.0702
2026-04-30T22:52:06Z,1,2,-1,0,5.714285714285714,69.75695037841797,4.349999904632568,5.714284714281364e+18
2026-04-30T22:52:06Z,1,3,-1,0,5.714285714285714,69.32889556884766,8.90999984741211,5.714284714276805e+18
2026-04-30T22:52:06Z,1,4,-1,0,5.714285714285714,71.70343780517578,3.549999952316284,5.714284714282164e+18
2026-04-30T22:52:06Z,1,5,-1,0,5.714285714285714,52.10110092163086,7.380000114440918,5.714284714278334e+18
2026-04-30T22:52:06Z,1,6,-1,0,5.714285714285714,69.302734375,9.210000038146973,5.714284714276505e+18
2026-04-30T22:52:06Z,1,7,-1,0,5.714285714285714,69.30015563964844,8.890000343322754,5.714284714276824e+18
2026-04-30T22:52:06Z,1,8,-1,0,0.0,3.9445323944091797,2.0199999809265137,-1000002020003.9254
2026-04-30T22:52:06Z,1,9,-1,0,5.714285714285714,70.12952423095703,3.319999933242798,5.714284714282395e+18
2026-04-30T22:52:06Z,1,10,-1,0,0.0,0.025796568021178246,2.009999990463257,-1000002010000.0162
2026-04-30T22:52:06Z,1,11,-1,0,0.0,8.916000366210938,2.009999990463257,-1000002010008.9065
2026-04-30T22:52:06Z,1,12,-1,0,5.714285714285714,62.74580383300781,4.130000114440918,5.714284714281585e+18
2026-04-30T22:52:06Z,1,13,-1,0,5.714285714285714,70.16954040527344,3.3299999237060547,5.714284714282384e+18
2026-04-30T22:52:06Z,1,14,-1,0,0.0,4.724542140960693,2.009999990463257,-1000002010004.715
2026-04-30T22:52:06Z,1,15,-1,0,0.0,0.025982575491070747,2.009999990463257,-1000002010000.0165
2026-04-30T22:52:06Z,1,16,-1,0,5.714285714285714,62.48128128051758,3.059999942779541,5.714284714282655e+18
2026-04-30T22:52:06Z,1,17,-1,0,0.0,20.561309814453125,2.009999990463257,-1000002010020.5518
2026-04-30T22:52:06Z,1,18,-1,0,5.714285714285714,64.87093353271484,10.050000190734863,5.714284714275664e+18
2026-04-30T22:52:06Z,1,19,-1,0,0.0,5.41576623916626,2.0199999809265137,-1000002020005.3967
