generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,1,0,1,1,2230010.065136571,"[0.0, 2.2300120762416293, -2.0111050583565757]",2.2300120762416293,0.0,2.2300120762416293,2.0111050583565757,0,0,1,8.978217286989093,-0.6429951499820503,95,0,1
1,2,0,0,0,1,2048468.6170559889,"[0.0, 2.0484706333705356, -2.0163145467615453]",2.0484706333705356,0.0,2.0484706333705356,2.0163145467615453,0,0,1,6.964541207387811,-0.8319787191459578,92,0,1
1,3,2,0,0,0,2042735.676061694,"[0.0, 2.042737688337054, -2.0122753599373766]",2.042737688337054,0.0,2.042737688337054,2.0122753599373766,0,0,1,6.886620087898336,-0.8319413972877698,96,0,1
1,4,3,0,0,0,2025716.6772431326,"[0.0, 2.0257186889648438, -2.0117217110805212]",2.0257186889648438,0.0,2.0257186889648438,2.0117217110805212,0,0,1,6.698260529257823,-0.8481694697216153,93,0,1
2,1,3,0,1,1,2323878.850096607,"[0.0, 2.3238808768136163, -2.026717009136752]",2.3238808768136163,0.0,2.3238808768136163,2.026717009136752,0,0,1,10.078751266002655,-0.5714291362388866,90,0,1
2,2,0,0,0,1,2230500.524478528,"[0.0, 2.2305025373186385, -2.0128401105717417]",2.2305025373186385,0.0,2.2305025373186385,2.0128401105717417,0,0,1,8.983702564612031,-0.6449833349267071,91,0,1
2,3,2,0,0,0,2220249.893214356,"[0.0, 2.220251900809152, -2.0075947960773117]",2.220251900809152,0.0,2.220251900809152,2.0075947960773117,0,0,1,8.869518171995878,-0.6477406650155793,92,0,1
2,4,1,0,0,0,2123678.10435838,"[0.0, 2.1236801147460938, -2.0103877133961654]",2.1236801147460938,0.0,2.1236801147460938,2.0103877133961654,0,0,1,7.786605715285987,-0.7483023329627141,90,0,1
