generation,rank,original_index,finished,crashes,time,dense_progress,path_file
58,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0058_rank_001_idx_000_finish_0.npz
59,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0059_rank_001_idx_000_finish_0.npz
60,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0060_rank_001_idx_000_finish_0.npz
61,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0061_rank_001_idx_000_finish_0.npz
62,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0062_rank_001_idx_000_finish_0.npz
63,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0063_rank_001_idx_000_finish_0.npz
64,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0064_rank_001_idx_000_finish_0.npz
65,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0065_rank_001_idx_000_finish_0.npz
66,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0066_rank_001_idx_000_finish_0.npz
67,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0067_rank_001_idx_000_finish_0.npz
68,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0068_rank_001_idx_000_finish_0.npz
69,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0069_rank_001_idx_000_finish_0.npz
70,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0070_rank_001_idx_000_finish_0.npz
71,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0071_rank_001_idx_000_finish_0.npz
72,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0072_rank_001_idx_000_finish_0.npz
73,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0073_rank_001_idx_000_finish_0.npz
74,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0074_rank_001_idx_000_finish_0.npz
75,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0075_rank_001_idx_000_finish_0.npz
76,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0076_rank_001_idx_000_finish_0.npz
77,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0077_rank_001_idx_000_finish_0.npz
78,1,3,0,0,30.0,45.49126216343471,trajectories/gen_0078_rank_001_idx_003_finish_0.npz
79,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0079_rank_001_idx_000_finish_0.npz
80,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0080_rank_001_idx_000_finish_0.npz
81,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0081_rank_001_idx_000_finish_0.npz
82,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0082_rank_001_idx_000_finish_0.npz
83,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0083_rank_001_idx_000_finish_0.npz
84,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0084_rank_001_idx_000_finish_0.npz
85,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0085_rank_001_idx_000_finish_0.npz
86,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0086_rank_001_idx_000_finish_0.npz
87,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0087_rank_001_idx_000_finish_0.npz
88,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0088_rank_001_idx_000_finish_0.npz
89,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0089_rank_001_idx_000_finish_0.npz
90,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0090_rank_001_idx_000_finish_0.npz
91,1,0,0,0,30.0,45.49126216343471,trajectories/gen_0091_rank_001_idx_000_finish_0.npz
92,1,22,0,0,30.0,49.31392059462641,trajectories/gen_0092_rank_001_idx_022_finish_0.npz
93,1,0,0,0,30.0,49.31392059462641,trajectories/gen_0093_rank_001_idx_000_finish_0.npz
94,1,0,0,0,30.0,49.31392059462641,trajectories/gen_0094_rank_001_idx_000_finish_0.npz
95,1,0,0,0,30.0,49.31392059462641,trajectories/gen_0095_rank_001_idx_000_finish_0.npz
96,1,0,0,0,30.0,49.31392059462641,trajectories/gen_0096_rank_001_idx_000_finish_0.npz
97,1,0,0,0,30.0,49.31392059462641,trajectories/gen_0097_rank_001_idx_000_finish_0.npz
98,1,0,0,0,30.0,49.31392059462641,trajectories/gen_0098_rank_001_idx_000_finish_0.npz
99,1,0,0,0,30.0,49.31392059462641,trajectories/gen_0099_rank_001_idx_000_finish_0.npz
100,1,0,0,0,30.0,49.31392059462641,trajectories/gen_0100_rank_001_idx_000_finish_0.npz
101,1,0,0,0,30.0,49.31392059462641,trajectories/gen_0101_rank_001_idx_000_finish_0.npz
102,1,0,0,0,30.0,49.31392059462641,trajectories/gen_0102_rank_001_idx_000_finish_0.npz
103,1,0,0,0,30.0,49.31392059462641,trajectories/gen_0103_rank_001_idx_000_finish_0.npz
104,1,0,0,0,30.0,49.31392059462641,trajectories/gen_0104_rank_001_idx_000_finish_0.npz
105,1,12,0,0,30.0,54.586421421595986,trajectories/gen_0105_rank_001_idx_012_finish_0.npz
106,1,21,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0106_rank_001_idx_021_finish_0.npz
107,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0107_rank_001_idx_000_finish_0.npz
108,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0108_rank_001_idx_000_finish_0.npz
109,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0109_rank_001_idx_000_finish_0.npz
110,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0110_rank_001_idx_000_finish_0.npz
111,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0111_rank_001_idx_000_finish_0.npz
112,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0112_rank_001_idx_000_finish_0.npz
113,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0113_rank_001_idx_000_finish_0.npz
114,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0114_rank_001_idx_000_finish_0.npz
115,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0115_rank_001_idx_000_finish_0.npz
116,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0116_rank_001_idx_000_finish_0.npz
117,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0117_rank_001_idx_000_finish_0.npz
118,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0118_rank_001_idx_000_finish_0.npz
119,1,0,0,1,19.760000228881836,66.45482199532645,trajectories/gen_0119_rank_001_idx_000_finish_0.npz
120,1,24,0,1,26.950000762939453,68.55082584281226,trajectories/gen_0120_rank_001_idx_024_finish_0.npz
121,1,0,0,1,26.950000762939453,68.55082584281226,trajectories/gen_0121_rank_001_idx_000_finish_0.npz
122,1,12,0,1,28.06999969482422,75.71428571428571,trajectories/gen_0122_rank_001_idx_012_finish_0.npz
123,1,0,0,1,28.06999969482422,75.71428571428571,trajectories/gen_0123_rank_001_idx_000_finish_0.npz
124,1,0,0,1,28.06999969482422,75.71428571428571,trajectories/gen_0124_rank_001_idx_000_finish_0.npz
125,1,0,0,1,28.06999969482422,75.71428571428571,trajectories/gen_0125_rank_001_idx_000_finish_0.npz
126,1,0,0,1,28.06999969482422,75.71428571428571,trajectories/gen_0126_rank_001_idx_000_finish_0.npz
127,1,0,0,1,28.06999969482422,75.71428571428571,trajectories/gen_0127_rank_001_idx_000_finish_0.npz
128,1,0,0,1,28.06999969482422,75.71428571428571,trajectories/gen_0128_rank_001_idx_000_finish_0.npz
129,1,0,0,1,28.06999969482422,75.71428571428571,trajectories/gen_0129_rank_001_idx_000_finish_0.npz
130,1,15,0,1,26.450000762939453,77.20476422991072,trajectories/gen_0130_rank_001_idx_015_finish_0.npz
131,1,0,0,1,26.450000762939453,77.20476422991072,trajectories/gen_0131_rank_001_idx_000_finish_0.npz
132,1,0,0,1,26.450000762939453,77.20476422991072,trajectories/gen_0132_rank_001_idx_000_finish_0.npz
133,1,0,0,1,26.450000762939453,77.20476422991072,trajectories/gen_0133_rank_001_idx_000_finish_0.npz
134,1,0,0,1,26.450000762939453,77.20476422991072,trajectories/gen_0134_rank_001_idx_000_finish_0.npz
135,1,0,0,1,26.450000762939453,77.20476422991072,trajectories/gen_0135_rank_001_idx_000_finish_0.npz
136,1,0,0,1,26.450000762939453,77.20476422991072,trajectories/gen_0136_rank_001_idx_000_finish_0.npz
