generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max,front0_size,best_rank,best_crowding,best_priority_score,best_scalar_fitness,best_obj_finished,best_obj_progress,best_obj_neg_time,mean_obj_finished,mean_obj_progress,mean_obj_neg_time
88,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,137.65999999999914,12588.139999999941,13766,1258814,4.890541500004474,471.1205062000081,6.369047619047618,7.60101596514384,7.60101596514384,7.562270521881428,2.8679166666666487,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,6.369047619047618,3.699585531728651,8.571428571428571,10.28571428571431,14.285714285714285,1.8823569161551341,4.303256443568639,4.786796569824219,7.821897779192243,7.60101596514384,3.24876713754754,9.233108248029437,12.001368113926492,14.732611519949776,1.8823569161551341,4.303256443568639,4.786796569824219,7.821897779192243,7.60101596514384,3.24876713754754,9.233108248029437,12.001368113926492,14.732611519949776,1.7100000000000013,1.8100000000000014,2.254999999999996,2.8849999999999825,2.8679166666666487,0.8359175555772198,3.1074999999999777,3.8329999999999624,5.009999999999938,5.135300849447958,34.451217242330316,39.69475632160902,74.85964622721076,66.27659574408092,30.213613742500232,80.24946635589004,102.59530012086047,125.61105676740408,1.8222517808542853,4.2761219923513965,4.758056956344043,7.783471355946332,7.562270521881428,3.2465184246004117,9.193452288458705,11.957345074071428,14.683985908893007,1822251.7808542852,4276121.992351396,4758056.956344044,7783471.355946332,7562270.521881429,3246518.4246004117,9193452.288458705,11957345.074071428,14683985.908893008,171.0,181.0,225.5,288.5,286.7916666666667,83.59175555772364,310.75,383.3,501.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.07601015965143838,-0.09559722222222163
89,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,135.65999999999923,12723.799999999941,13566,1272380,4.865469500015024,476.14585940004326,6.428571428571428,7.979036966959636,7.979036966959636,7.940704062489014,2.826249999999984,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,6.428571428571428,3.474885599839624,8.571428571428571,9.428571428571441,14.285714285714285,1.8795612880161832,5.197463444301061,5.50121579851423,7.906419209071569,7.979036966959636,2.964012294301514,9.37737124306815,11.995087214878637,14.732611519949776,1.8795612880161832,5.197463444301061,5.50121579851423,7.906419209071569,7.979036966959636,2.964012294301514,9.37737124306815,11.995087214878637,14.732611519949776,1.9600000000000015,2.0400000000000005,2.1774999999999975,2.819999999999984,2.826249999999984,0.6975869868099935,2.99999999999998,3.812999999999963,5.009999999999938,5.133454917558993,44.5018518537283,47.356903586536646,74.42019294202328,70.40447062205583,26.88671799324672,82.00592733174562,104.92984507307422,125.61105676740408,1.8194561545612662,5.167278942449206,5.470168258420852,7.868494571942257,7.940704062489014,2.961299341039893,9.337914921482149,11.950662284976325,14.683985908893007,1819456.1545612663,5167278.9424492065,5470168.258420853,7868494.571942258,7940704.062489014,2961299.341039893,9337914.92148215,11950662.284976324,14683985.908893008,196.0,204.0,217.75,282.0,282.625,69.75869868100084,300.0,381.3,501.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.07979036966959635,-0.09420833333333278
90,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,126.06999999999941,12849.86999999994,12607,1284987,4.389342200011015,480.6767170000239,6.369047619047618,7.943725813002813,7.943725813002813,7.907391490769027,2.626458333333321,1.0,100.0,0.0,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,6.369047619047618,3.4621168140990157,8.571428571428571,9.428571428571441,14.285714285714285,4.414373125348773,4.851967402866909,5.256368092128208,7.927116666521345,7.943725813002813,2.9042776608728698,9.282734053475515,11.772331237792983,14.732611519949776,4.414373125348773,4.851967402866909,5.256368092128208,7.927116666521345,7.943725813002813,2.9042776608728698,9.282734053475515,11.772331237792983,14.732611519949776,1.7500000000000013,1.8910000000000016,2.0275000000000007,2.804999999999984,2.626458333333321,0.6049741371308425,2.949999999999981,3.3759999999999746,3.849999999999962,35.711599081754684,40.30616795346141,44.972708739340305,75.29934491589665,69.73890045316269,25.70951046076831,81.58720072545111,102.26423792913569,125.61105676740408,4.386837413749691,4.823017096698956,5.22609829437526,7.888991367176429,7.907391490769027,2.8982943275735873,9.243127047149258,11.728408655239198,14.683985908893007,4386837.413749691,4823017.096698956,5226098.294375259,7888991.367176428,7907391.490769028,2898294.3275735877,9243127.047149258,11728408.655239198,14683985.908893008,175.0,189.1,202.75,280.5,262.6458333333333,60.49741371308548,295.0,337.60000000000025,385.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.07943725813002814,-0.08754861111111067
91,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,134.5299999999992,12984.39999999994,13453,1298440,4.351984700013418,485.15565840003546,5.714285714285714,7.201253289268131,7.201253289268131,7.1631632578020925,2.802708333333317,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.714285714285714,3.5951592548908327,8.571428571428571,8.571428571428571,14.285714285714285,1.87957763671875,4.238559177943638,4.919958114624023,7.082271575927734,7.201253289268131,3.100737178339401,8.797110148838588,10.333645956856866,14.732611519949776,1.87957763671875,4.238559177943638,4.919958114624023,7.082271575927734,7.201253289268131,3.100737178339401,8.797110148838588,10.333645956856866,14.732611519949776,1.6000000000000012,1.8910000000000016,2.0400000000000005,2.7499999999999853,2.802708333333317,0.8737007963812276,3.0174999999999796,3.835999999999962,5.009999999999938,5.135152227550861,33.660837300866845,41.278838412836194,65.3889899328351,62.94813270566677,29.330358139617136,79.17594418115914,88.97822141051296,125.61105676740408,1.8194725013052855,4.211685517106337,4.890716835785611,7.04630531861746,7.1631632578020925,3.099429341586304,8.757532550153664,10.291837318078096,14.683985908893007,1819472.5013052854,4211685.5171063375,4890716.835785611,7046305.318617459,7163163.257802092,3099429.3415863034,8757532.550153665,10291837.318078097,14683985.908893008,160.0,189.1,204.0,275.0,280.2708333333333,87.37007963812454,301.75,383.6,501.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.07201253289268131,-0.09342361111111057
92,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,130.86999999999932,13115.269999999939,13087,1311527,3.5855026000062935,488.83695520000765,6.666666666666667,8.196331149055844,8.196331149055844,8.158993943415577,2.726458333333319,1.0,100.0,0.0,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,6.666666666666667,3.367175148507369,8.571428571428571,10.28571428571431,14.285714285714285,4.354525974818638,4.9893935067313055,5.623727525983538,8.019933700561523,8.196331149055844,2.77859006125458,9.558110918317523,11.614762987409335,14.732611519949776,4.354525974818638,4.9893935067313055,5.623727525983538,8.019933700561523,8.196331149055844,2.77859006125458,9.558110918317523,11.614762987409335,14.732611519949776,1.7300000000000013,1.9440000000000015,2.254999999999996,2.8299999999999836,2.726458333333319,0.5680063438001455,2.99249999999998,3.5159999999999707,3.849999999999962,35.07926034927368,42.09217528551817,48.891797138378024,76.58499080687761,72.62230693253998,24.219927708559304,82.91826753877103,100.29366583824172,126.14014852046967,4.327190895558289,4.95991141455602,5.5923036341864,7.978857101238988,8.158993943415577,2.7731082986633706,9.51835331906786,11.571322693743497,14.683985908893007,4327190.895558288,4959911.41455602,5592303.634186399,7978857.101238988,8158993.9434155775,2773108.2986633703,9518353.319067858,11571322.693743497,14683985.908893008,173.0,194.4,225.5,283.0,272.6458333333333,56.80063438001571,299.25,351.6000000000002,385.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.08196331149055844,-0.09088194444444396
93,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,126.1599999999994,13241.429999999938,12616,1324143,4.423502899997402,493.3885317000095,6.428571428571428,7.927846000308082,7.927846000308082,7.891492893146565,2.628333333333321,1.0,100.0,0.0,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,6.428571428571428,3.2732683535398857,8.571428571428571,8.571428571428571,14.285714285714285,4.192368643624442,4.684112548828125,5.337321417672294,7.708026341029576,7.927846000308082,2.8052198675084146,9.614979880196708,10.825044359479634,14.732611519949776,4.192368643624442,4.684112548828125,5.337321417672294,7.708026341029576,7.927846000308082,2.8052198675084146,9.614979880196708,10.825044359479634,14.732611519949776,1.6800000000000013,1.8380000000000014,2.055,2.764999999999985,2.628333333333321,0.589828129392121,2.9824999999999804,3.1869999999999763,3.849999999999962,33.18269643932581,38.552960676699875,45.939505038782954,73.58124779909849,69.77382818454255,24.743454984274834,83.35679654031992,92.80910875201226,125.61105676740408,4.165535460928003,4.655693995867449,5.306725478167255,7.670403045417594,7.891492893146565,2.7994068889334485,9.574745046124688,10.783081550370884,14.683985908893007,4165535.4609280024,4655693.995867449,5306725.478167255,7670403.045417594,7891492.893146564,2799406.888933448,9574745.04612469,10783081.550370883,14683985.908893008,168.0,183.8,205.5,276.5,262.8333333333333,58.982812939213254,298.25,318.70000000000005,385.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.07927846000308082,-0.08761111111111068
94,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,129.1999999999993,13370.629999999937,12920,1337063,4.750445000012405,498.2675210000016,6.25,7.715208473659697,7.715208473659697,7.67822374208799,2.691666666666652,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,6.25,3.38344559312436,8.571428571428571,8.571428571428571,14.285714285714285,1.8834413800920757,4.71757561819894,5.3852707999093195,7.189818790980747,7.715208473659697,2.8783392593541532,9.031815528869629,10.992755617414206,14.732611519949776,1.8834413800920757,4.71757561819894,5.3852707999093195,7.189818790980747,7.715208473659697,2.8783392593541532,9.031815528869629,10.992755617414206,14.732611519949776,1.6700000000000013,1.8500000000000014,2.0899999999999994,2.7399999999999856,2.691666666666652,0.6860100015467729,2.9899999999999802,3.6839999999999664,5.009999999999938,5.135551667553955,38.84648602381348,46.65064825490117,69.73344608023763,68.06490504009737,26.014556856850323,80.03719469718635,96.22341508865357,125.61105676740408,1.8233362445404089,4.689066771253486,5.354474149261065,7.153049057534668,7.67822374208799,2.873870481946364,8.992811196886155,10.950069393999117,14.683985908893007,1823336.244540409,4689066.771253486,5354474.149261065,7153049.057534667,7678223.74208799,2873870.4819463636,8992811.196886156,10950069.393999116,14683985.908893008,167.0,185.0,209.0,274.0,269.1666666666667,68.60100015467866,299.0,368.4000000000001,501.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.07715208473659697,-0.08972222222222176
95,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,129.21999999999935,13499.849999999937,12922,1349985,4.705506400030572,503.0848871000344,6.666666666666667,8.087557894842965,8.087557894842965,8.050565720232605,2.69208333333332,1.0,100.0,0.0,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,6.666666666666667,3.367175148507369,8.571428571428571,10.28571428571431,14.285714285714285,3.90190669468471,4.838193620954241,5.635866437639509,7.561650957380023,8.087557894842965,2.8699964808688945,9.479310853140694,12.100890840802888,14.732611519949776,3.90190669468471,4.838193620954241,5.635866437639509,7.561650957380023,8.087557894842965,2.8699964808688945,9.479310853140694,12.100890840802888,14.732611519949776,1.7300000000000013,1.9240000000000015,2.247499999999996,2.7349999999999857,2.69208333333332,0.5616529115526268,2.962499999999981,3.4179999999999735,3.849999999999962,30.177899409085512,40.34315849915147,49.80346776545048,72.46680949255824,71.34127702695939,24.804907838628374,82.37955679558218,103.25892596766366,126.13991028815508,3.865876516785301,4.809233277795743,5.604191634171743,7.524278685760639,8.050565720232605,2.8645593234750093,9.439628511147635,12.05681758187692,14.683985908893007,3865876.516785301,4809233.277795742,5604191.634171743,7524278.68576064,8050565.720232603,2864559.323475009,9439628.511147637,12056817.58187692,14683985.908893008,173.0,192.4,224.75,273.5,269.2083333333333,56.165291155263816,296.25,341.80000000000024,385.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.08087557894842966,-0.08973611111111064
96,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,129.23999999999933,13629.089999999936,12924,1362909,4.613377200032119,507.81812250002986,5.476190476190477,7.103085517883301,7.103085517883301,7.066098246712357,2.692499999999986,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.476190476190477,3.634366076779463,6.428571428571429,9.428571428571441,14.285714285714285,1.8767929077148435,4.232685089111328,4.915426799229213,7.142857142857142,7.103085517883301,3.194532863694353,8.560421807425362,11.09922899518696,14.732611519949776,1.8767929077148435,4.232685089111328,4.915426799229213,7.142857142857142,7.103085517883301,3.194532863694353,8.560421807425362,11.09922899518696,14.732611519949776,1.470000000000001,1.7870000000000015,1.9750000000000014,2.709999999999986,2.692499999999986,0.8660747177158775,2.957499999999981,3.8229999999999627,5.009999999999938,5.133107704095892,33.58535614237189,41.0270463488996,68.25419909507036,62.271170943188736,29.96446300395952,78.44874498993158,96.10827413126843,125.61105676740408,1.8166877726712107,4.205831503755186,4.8862607721828635,7.106438888658047,7.066098246712357,3.191514403623631,8.520764911598915,11.05684351977614,14.683985908893007,1816687.7726712108,4205831.503755186,4886260.772182863,7106438.888658048,7066098.246712357,3191514.403623631,8520764.911598913,11056843.51977614,14683985.908893008,147.0,178.7,197.5,271.0,269.25,86.60747177158947,295.75,382.3,501.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.07103085517883301,-0.08974999999999951
97,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,129.4199999999993,13758.509999999937,12942,1375851,4.292262099974323,512.2274136000196,6.726190476190477,8.179529507954916,8.179529507954916,8.142495266651439,2.6962499999999854,1.0,100.0,0.0,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,6.726190476190477,3.272727093783636,8.571428571428571,8.571428571428571,14.285714285714285,3.7531716482979913,4.611693246023996,5.566186904907227,8.452587127685547,8.179529507954916,2.8446211490657145,9.821032115391322,11.00708307538714,14.732611519949776,3.7531716482979913,4.611693246023996,5.566186904907227,8.452587127685547,8.179529507954916,2.8446211490657145,9.821032115391322,11.00708307538714,14.732611519949776,1.5200000000000011,1.8270000000000015,2.162499999999998,2.8449999999999833,2.6962499999999854,0.5846958789262333,2.99249999999998,3.2239999999999758,3.849999999999962,28.728612080216408,37.73535115867853,48.61915637180209,77.2400899156928,71.74130347580649,25.110309339134435,83.80919571965933,94.26213490962984,125.61105676740408,3.727942919685911,4.583485510672837,5.534838285750855,8.414110104046198,8.142495266651439,2.8389958294261994,9.780922853091399,10.96474881325223,14.683985908893007,3727942.919685911,4583485.510672837,5534838.285750855,8414110.1040462,8142495.26665144,2838995.829426199,9780922.853091398,10964748.81325223,14683985.908893008,152.0,182.7,216.25,284.5,269.625,58.46958789262443,299.25,322.40000000000003,385.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.08179529507954915,-0.08987499999999952
98,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,136.64999999999918,13895.159999999936,13665,1389516,3.9736956999986432,516.299887000001,6.547619047619047,8.01616594904945,8.01616594904945,7.977627174181649,2.846874999999983,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,6.547619047619047,3.9104923108706764,8.571428571428571,14.285714285714285,14.285714285714285,1.8823678152901784,4.575335366385324,5.330283301217215,7.394249779837471,8.01616594904945,3.3573778852171654,9.752251761300222,14.338521684919087,14.732611519949776,1.8823678152901784,4.575335366385324,5.330283301217215,7.394249779837471,8.01616594904945,3.3573778852171654,9.752251761300222,14.338521684919087,14.732611519949776,1.6200000000000012,1.9840000000000015,2.0799999999999996,2.804999999999984,2.846874999999983,0.8574772986547828,3.047499999999979,3.849999999999962,5.009999999999938,5.135347727242333,37.455874380469325,46.11542274989188,71.57997678220272,70.02486780161507,30.520742441587398,84.32313363440335,124.17439262121916,127.77097598463297,1.822262679758079,4.547267910510943,5.299637185794466,7.35657819986069,7.977627174181649,3.3530099744311572,9.712017088883218,14.28721504064099,14.683985908893007,1822262.679758079,4547267.910510943,5299637.185794465,7356578.19986069,7977627.1741816485,3353009.974431157,9712017.088883217,14287215.040640991,14683985.908893008,162.0,198.4,208.0,280.5,284.6875,85.74772986548001,304.75,385.0,501.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.08016165949049449,-0.09489583333333275
99,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,128.14999999999935,14023.309999999936,12815,1402331,4.663422500016168,521.0780345000094,6.607142857142857,8.046778951372419,8.046778951372419,8.010010080436428,2.669791666666653,1.0,100.0,0.0,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,6.607142857142857,3.2553592652084085,8.571428571428571,8.571428571428571,14.285714285714285,4.323719569614956,5.011148725237166,5.56647573198591,8.083508355276926,8.046778951372419,2.670394458562779,9.481853757585798,10.061264855521067,14.732611519949776,4.323719569614956,5.011148725237166,5.56647573198591,8.083508355276926,8.046778951372419,2.670394458562779,9.481853757585798,10.061264855521067,14.732611519949776,1.7200000000000013,1.9500000000000015,2.1324999999999985,2.8449999999999833,2.669791666666653,0.5583438665051101,3.00249999999998,3.1239999999999783,3.849999999999962,34.76461850851774,42.13820847347379,48.19851414114237,77.23992387205362,70.95426932380845,23.48663760767968,83.70251622982323,87.02522404044866,125.61105676740408,4.296484804996448,4.981606587028692,5.535102022988686,8.04493089584689,8.010010080436428,2.664919534191515,9.441870055895,10.021040064246975,14.683985908893007,4296484.804996448,4981606.587028692,5535102.022988685,8044930.89584689,8010010.080436428,2664919.534191515,9441870.055895,10021040.064246975,14683985.908893008,172.0,195.0,213.25,284.5,266.9791666666667,55.834386650512144,300.25,312.4000000000001,385.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.0804677895137242,-0.0889930555555551
100,0.013449278186616457,14.285714285714285,14.732611519949776,14.732611519949776,3.849999999999962,0,1,125.61105676740408,385,14.683985908893007,"[0.0, 0.14732611519949776, -0.12833333333333205]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,130.4899999999993,14153.799999999936,13049,1415380,4.555297999992035,525.7455615000217,6.011904761904762,7.478140876406715,7.478140876406715,7.440889868021816,2.718541666666652,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,6.011904761904762,3.5108957388234825,8.571428571428571,8.571428571428571,14.285714285714285,1.8816866193498885,4.766438620431083,5.10150636945452,7.142857142857142,7.478140876406715,2.939168734719349,9.042331150599889,10.246917997087753,14.732611519949776,1.8816866193498885,4.766438620431083,5.10150636945452,7.142857142857142,7.478140876406715,2.939168734719349,9.042331150599889,10.246917997087753,14.732611519949776,1.7200000000000013,1.9100000000000015,1.9975000000000014,2.814999999999984,2.718541666666652,0.7483537197946788,2.9824999999999804,3.812999999999963,5.009999999999938,5.135099139457452,39.27504366636276,42.89486652612686,68.06363039836287,65.5917182321238,27.172519198636213,79.88598652370274,88.97247077599171,125.61105676740408,1.821581483451431,4.737799345458734,5.0717884745879935,7.106940940592633,7.440889868021816,2.9360369093787044,9.002674019336538,10.205989971224016,14.683985908893007,1821581.483451431,4737799.345458734,5071788.474587994,7106940.940592633,7440889.868021816,2936036.9093787046,9002674.01933654,10205989.971224016,14683985.908893008,172.0,191.0,199.75,281.5,271.8541666666667,74.8353719794694,298.25,381.3,501.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,inf,0.013449278186616457,14683985.908893008,0.0,0.14732611519949776,-0.12833333333333205,0.0,0.07478140876406715,-0.09061805555555506
