candidate_id,architecture,activation,parameter_count,best_val_loss,best_epoch,val_loss_epoch_10,val_loss_epoch_20,val_loss_epoch_50,val_loss_epoch_80,val_loss_epoch_100,val_loss_epoch_120,improvement_80_to_120_pct,improvement_100_to_120_pct,epoch_within_20pct_of_best,epoch_within_10pct_of_best,epoch_within_5pct_of_best
c021_arch_32x16_act_relu_relu,32x16,"relu,relu",1699,0.06591299218622267,119,0.11420052258689269,0.0991807525579849,0.073746128727233,0.0688868125025399,0.06731358258889775,0.06602378238008308,4.156136738582966,1.916106912169311,37,56,77
c033_arch_32x16x8_act_relu_relu_relu,32x16x8,"relu,relu,relu",1811,0.0667879880847007,119,0.14361533537152987,0.10513491016502297,0.07946633315202742,0.06999258962448712,0.06874152461777384,0.06706307219918821,4.185467977418588,2.44168634303414,49,62,78
c022_arch_32x16_act_relu_tanh,32x16,"relu,tanh",1699,0.0669091884880506,119,0.12319130662243369,0.10047880049501912,0.07567981502384656,0.07114803419820862,0.06890277299658767,0.06697634478276508,5.863393785163174,2.7958645639965702,37,63,89
c018_arch_24x12_act_relu_tanh,24x12,"relu,tanh",1179,0.06895263592832149,120,0.1329392533503002,0.1045593232695932,0.07804655528931487,0.07304339729651581,0.07062265417850969,0.06895263592832149,5.600453318988014,2.3647061550065356,39,61,85
c034_arch_32x16x8_act_tanh_tanh_tanh,32x16x8,"tanh,tanh,tanh",1811,0.0690810352874013,120,0.14789401941436456,0.1185819229838773,0.07920666003994661,0.07309801284368579,0.0706120633764982,0.0690810352874013,5.49533072106143,2.168224543919038,42,63,84
c017_arch_24x12_act_relu_relu,24x12,"relu,relu",1179,0.06983946788994992,119,0.12565704775594352,0.10352643359940362,0.083636535646222,0.07341244426890618,0.07137282927335133,0.07005242146050696,4.576911778187943,1.8500146712516203,50,67,82
c023_arch_32x16_act_tanh_tanh,32x16,"tanh,tanh",1699,0.0705138835887879,120,0.11912069335335591,0.09758434542103968,0.07913675340917321,0.07551718508589002,0.0732717954444389,0.0705138835887879,6.625381350498658,3.7639474219548594,31,62,93
c019_arch_24x12_act_tanh_tanh,24x12,"tanh,tanh",1179,0.07068562802002122,120,0.13348056420170595,0.10419793770493976,0.08086395637916363,0.07646313581535404,0.07350522558055413,0.07068562802002122,7.555938863512675,3.8359144377332974,38,71,97
c010_arch_32_act_relu,32,relu,1219,0.07111377779275678,120,0.12329390741916273,0.10470013391946337,0.08241659964694352,0.0756522887419833,0.07315968694245975,0.07111377779275678,5.999172033916107,2.796497955646096,45,65,87
c013_arch_16x8_act_relu_relu,16x8,"relu,relu",723,0.07185953329211771,119,0.16872331408104815,0.11011147754070266,0.08993099386421087,0.07923058359074887,0.07452117159432921,0.07187280429399877,9.286539317639477,3.5538454960790915,61,81,98
c007_arch_24_act_relu,24,relu,915,0.07237178077078982,120,0.1386837436747081,0.10671150750367543,0.08603733753846218,0.07866197369126769,0.07531627896829389,0.07237178077078982,7.996484991802529,3.9095109820064615,49,75,96
c015_arch_16x8_act_tanh_tanh,16x8,"tanh,tanh",723,0.07332517831644798,120,0.15972194071192838,0.11834067396365339,0.0843294309724934,0.07837759530891215,0.07546160999204511,0.07332517831644798,6.446251601048636,2.831150403261132,43,64,89
c014_arch_16x8_act_relu_tanh,16x8,"relu,tanh",723,0.0733921117209163,120,0.1638533897048796,0.11353839016033154,0.08404541892842005,0.07697649032624085,0.07504604167126011,0.0733921117209163,4.656458861833376,2.203886991920069,44,58,79
c011_arch_32_act_tanh,32,tanh,1219,0.0751940884446764,120,0.1273284166568242,0.10150936206943051,0.08521022300684862,0.08033579477186382,0.07766559538749683,0.0751940884446764,6.400268201477004,3.1822416740505823,35,64,90
c008_arch_24_act_tanh,24,tanh,915,0.07640912389147016,120,0.1361268331171685,0.10205512918184685,0.08491258771682142,0.08065212332981686,0.07854950728420176,0.07640912389147016,5.260865136799292,2.7248845559112636,32,55,85
c005_arch_16_act_tanh,16,tanh,611,0.07752358149973854,120,0.17072746763408986,0.10976040136459497,0.08724734872349017,0.0819808718295338,0.07974472252467123,0.07752358149973854,5.436988202642551,2.7853141306567584,37,58,85
c004_arch_16_act_relu,16,relu,611,0.07816920527592397,120,0.15676575719344066,0.11228015562967165,0.09508622918043991,0.08441627068422099,0.08042753841896087,0.07816920527592397,7.400309629485578,2.807910309616661,54,75,91
c040_arch_128x64_act_sigmoid_sigmoid,128x64,"sigmoid,sigmoid",12931,0.07861152539559108,120,0.1184174914793385,0.10795243657256692,0.09852354603015513,0.08194340533134489,0.0801109212220297,0.07861152539559108,4.066074533125744,1.8716497121322673,56,64,77
c032_arch_64x32_act_sigmoid_sigmoid,64x32,"sigmoid,sigmoid",4419,0.08115609725643903,120,0.20194934143844856,0.11127215827103147,0.10369437548293661,0.09835042529457247,0.08870621843355798,0.08115609725643903,17.482718541006975,8.511377567936888,84,100,107
c002_arch_8_act_tanh,8,tanh,307,0.08131646495164922,120,0.21795763386604558,0.13534601259997897,0.09425006763071925,0.08539822820878025,0.08294290316123554,0.08131646495164922,4.779681432209572,1.96091304692413,45,62,81
c001_arch_8_act_relu,8,relu,307,0.08705196684018136,120,0.2602699205161327,0.12570254252714047,0.10040163498685425,0.0935657624039318,0.09003037332165502,0.08705196684018136,6.961729799870381,3.308224071039433,39,69,92
c028_arch_48x24_act_sigmoid_sigmoid,48x24,"sigmoid,sigmoid",2931,0.0880278763007033,120,0.21577384761352963,0.11290166287143096,0.10503216331413294,0.10102303082534765,0.09606339112486842,0.0880278763007033,12.863556377664864,8.364804458880823,46,98,111
c012_arch_32_act_sigmoid,32,sigmoid,1219,0.09045176189217828,120,0.21388123673691367,0.12542618933820135,0.10532169644977313,0.0992726386979505,0.0949977512975208,0.09045176189217828,8.885506541848702,4.785365277863332,38,79,101
c009_arch_24_act_sigmoid,24,sigmoid,915,0.09507677892521833,120,0.23125393875046185,0.13226407340359436,0.10622364834436815,0.1009740694962081,0.09809404059072559,0.09507677892521833,5.840401006330869,3.075886819767239,31,58,88
c024_arch_32x16_act_sigmoid_sigmoid,32x16,"sigmoid,sigmoid",1699,0.09759381023295832,120,0.3452640688425929,0.1353665706910005,0.10648977079511589,0.10275506882004194,0.1004740238151271,0.09759381023295832,5.022874926124265,2.866625096520859,25,45,83
c036_arch_32x16x8_act_sigmoid_sigmoid_sigmoid,32x16x8,"sigmoid,sigmoid,sigmoid",1811,0.09842240297815202,118,0.39028866388429306,0.1733764514620736,0.1059356705150259,0.10184146030340258,0.09995976895050002,0.09846472133175403,3.3156820037621992,1.4956493341699604,28,41,67
c006_arch_16_act_sigmoid,16,sigmoid,611,0.09998273359003329,120,0.3222089016946953,0.20324249283442689,0.11366351894234224,0.1056725378042757,0.10263258349689074,0.09998273359003329,5.384373586996591,2.581879766222316,41,60,85
c020_arch_24x12_act_sigmoid_sigmoid,24x12,"sigmoid,sigmoid",1179,0.10000085320579652,120,0.33700932663631916,0.13601081186367192,0.10689761375586046,0.10345541531428336,0.10171362214499931,0.10000085320579652,3.339179585710766,1.6839130325740697,25,37,65
c003_arch_8_act_sigmoid,8,sigmoid,307,0.10032289233528727,120,0.3423374644035484,0.2228786372846388,0.11556927945830585,0.10572021476256077,0.102677384854944,0.10032289233528727,5.10528893589127,2.2930974751480178,45,62,83
c016_arch_16x8_act_sigmoid_sigmoid,16x8,"sigmoid,sigmoid",723,0.10117024483958931,120,0.39071328515043835,0.3073706186142695,0.11120136882536845,0.10532947025025258,0.10309553593616719,0.10117024483958931,3.9487765397294363,1.867482504547963,38,50,74
