run_label,run_short,episodes,max_dense_progress,max_progress,last100_mean_dense,last100_mean_reward,finish_count,crash_count,timeout_count,first_finish_episode,best_finish_time,best_dense_episode,best_dense_time,source_csv
PPO | delta_finished_progress_time | gas_steer,20260501_171735_tm2d_ppo_AI_Training__5_delta_finished_progress_time_gas_steer,907,100.0,100.0,59.139138039894426,0.9116372700000003,31,875,1,851,19.85873820695879,851,21.531118417881377,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_rl\ai_training5_batch_20260501_171723_20min\20260501_171735_tm2d_ppo_AI_Training__5_delta_finished_progress_time_gas_steer\episode_metrics.csv
SAC | delta_finished_progress_time | gas_brake_steer,20260501_171735_tm2d_sac_AI_Training__5_delta_finished_progress_time_gas_brake_steer,981,1.9461713518415176,0.0,1.7524824414934428,0.01796978,0,981,0,-1,,668,5.008188069625369,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_rl\ai_training5_batch_20260501_171723_20min\20260501_171735_tm2d_sac_AI_Training__5_delta_finished_progress_time_gas_brake_steer\episode_metrics.csv
SAC | delta_finished_progress_time | gas_steer,20260501_171735_tm2d_sac_AI_Training__5_delta_finished_progress_time_gas_steer,294,8.558047158377512,5.714285714285714,3.562729508536202,0.036052200000000006,0,214,80,-1,,64,45.012054830645,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_rl\ai_training5_batch_20260501_171723_20min\20260501_171735_tm2d_sac_AI_Training__5_delta_finished_progress_time_gas_steer\episode_metrics.csv
SAC | terminal_finished_progress_time | gas_steer,20260501_171735_tm2d_sac_AI_Training__5_terminal_finished_progress_time_gas_steer,265,8.28408922467913,5.714285714285714,3.5391908918108252,0.03581821,0,174,91,-1,,44,45.00816131077485,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_rl\ai_training5_batch_20260501_171723_20min\20260501_171735_tm2d_sac_AI_Training__5_terminal_finished_progress_time_gas_steer\episode_metrics.csv
