generation,rank,original_index,cached,evaluation_context,mirrored,evaluate_both_mirrors,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,physics_tick_mean,physics_hz_mean,physics_delay_norm_mean,terminated,truncated
1,1,31,0,both=0;mirror=0,0,0,1,1,7891618845639.347,"[0.0, 7.891624995640346, -6.149999999999913, -1.0]",7.891624995640346,5.714285714285714,7.891624995640346,6.149999999999913,0,1,0,73.75641227886081,7891618.845639347,615,1.0,100.0,0.0,1,0
1,2,26,0,both=0;mirror=0,0,0,1,1,7762195016984.213,"[0.0, 7.762197766985213, -2.7499999999999853, -1.0]",7.762197766985213,5.714285714285714,7.762197766985213,2.7499999999999853,0,1,0,73.12598914653063,7762195.016984213,275,1.0,100.0,0.0,1,0
1,3,13,0,both=0;mirror=0,0,0,0,1,7576851980766.299,"[0.0, 7.576855250767299, -3.2699999999999743, -1.0]",7.576855250767299,5.714285714285714,7.576855250767299,3.2699999999999743,0,1,0,72.14084989577532,7576851.980766299,327,1.0,100.0,0.0,1,0
1,4,12,0,both=0;mirror=0,0,0,0,1,7142854572856.143,"[0.0, 7.142857142857142, -2.569999999999989, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.569999999999989,0,1,0,65.58708294481039,7142854.572856142,257,1.0,100.0,0.0,1,0
1,5,9,0,both=0;mirror=0,0,0,0,1,7101563239739.513,"[0.0, 7.101565769740513, -2.52999999999999, -1.0]",7.101565769740513,5.714285714285714,7.101565769740513,2.52999999999999,0,1,0,63.849244356155396,7101563.239739513,253,1.0,100.0,0.0,1,0
1,6,44,0,both=0;mirror=0,0,0,0,1,6875526138048.665,"[0.0, 6.875528608049665, -2.4699999999999913, -1.0]",6.875528608049665,5.714285714285714,6.875528608049665,2.4699999999999913,0,1,0,61.546181723475456,6875526.138048665,247,1.0,100.0,0.0,1,0
1,7,35,0,both=0;mirror=0,0,0,0,1,6810730770208.264,"[0.0, 6.810733250209264, -2.479999999999991, -1.0]",6.810733250209264,5.714285714285714,6.810733250209264,2.479999999999991,0,1,0,60.86264845728874,6810730.770208264,248,1.0,100.0,0.0,1,0
1,8,21,0,both=0;mirror=0,0,0,0,1,6583134262206.031,"[0.0, 6.583137512207031, -3.2499999999999747, -1.0]",6.583137512207031,5.714285714285714,6.583137512207031,3.2499999999999747,0,1,0,58.577558137476444,6583134.262206031,325,1.0,100.0,0.0,1,0
1,9,10,0,both=0;mirror=0,0,0,0,1,6581096883952.684,"[0.0, 6.581099373953683, -2.489999999999991, -1.0]",6.581099373953683,5.714285714285714,6.581099373953683,2.489999999999991,0,1,0,58.52709326893091,6581096.883952684,249,1.0,100.0,0.0,1,0
1,10,45,0,both=0;mirror=0,0,0,0,1,6564012589770.206,"[0.0, 6.564014979771206, -2.389999999999993, -1.0]",6.564014979771206,5.714285714285714,6.564014979771206,2.389999999999993,0,1,0,58.39036165177822,6564012.589770206,239,1.0,100.0,0.0,1,0
1,11,47,0,both=0;mirror=0,0,0,0,1,5954534387641.3,"[0.0, 5.9545407976422995, -6.409999999999908, -1.0]",5.9545407976422995,5.714285714285714,5.9545407976422995,6.409999999999908,0,1,0,50.736715906095924,5954534.3876412995,641,1.0,100.0,0.0,1,0
1,12,22,0,both=0;mirror=0,0,0,0,1,3074144375448.2188,"[0.0, 3.0741500854492188, -5.709999999999923, -1.0]",3.0741500854492188,2.857142857142857,3.0741500854492188,5.709999999999923,0,1,0,18.434883082605666,3074144.3754482185,571,1.0,100.0,0.0,1,0
1,13,18,0,both=0;mirror=0,0,0,0,1,3073844649234.491,"[0.0, 3.0738503592354913, -5.709999999999923, -1.0]",3.0738503592354913,2.857142857142857,3.0738503592354913,5.709999999999923,0,1,0,18.434814189415192,3073844.6492344914,571,1.0,100.0,0.0,1,0
1,14,14,0,both=0;mirror=0,0,0,0,1,3073817401396.8794,"[0.0, 3.0738231113978793, -5.709999999999923, -1.0]",3.0738231113978793,2.857142857142857,3.0738231113978793,5.709999999999923,0,1,0,18.43523780166288,3073817.4013968795,571,1.0,100.0,0.0,1,0
1,15,4,0,both=0;mirror=0,0,0,0,0,3073599418695.9863,"[0.0, 3.0736051286969865, -5.709999999999923, -1.0]",3.0736051286969865,2.857142857142857,3.0736051286969865,5.709999999999923,0,1,0,18.43511428250349,3073599.4186959863,571,1.0,100.0,0.0,1,0
1,16,39,0,both=0;mirror=0,0,0,0,0,3073419582967.75,"[0.0, 3.07342529296875, -5.709999999999923, -1.0]",3.07342529296875,2.857142857142857,3.07342529296875,5.709999999999923,0,1,0,18.435532898583915,3073419.58296775,571,1.0,100.0,0.0,1,0
1,17,34,0,both=0;mirror=0,0,0,0,0,3071266993796.433,"[0.0, 3.071272713797433, -5.7199999999999225, -1.0]",3.071272713797433,2.857142857142857,3.071272713797433,5.7199999999999225,0,1,0,18.43472484513768,3071266.9937964333,572,1.0,100.0,0.0,1,0
1,18,0,0,both=0;mirror=0,0,0,0,0,3070547650883.4863,"[0.0, 3.0705533708844865, -5.7199999999999225, -1.0]",3.0705533708844865,2.857142857142857,3.0705533708844865,5.7199999999999225,0,1,0,18.434120273421286,3070547.6508834865,572,1.0,100.0,0.0,1,0
1,19,30,0,both=0;mirror=0,0,0,0,0,3070471356938.174,"[0.0, 3.070477076939174, -5.7199999999999225, -1.0]",3.070477076939174,2.857142857142857,3.070477076939174,5.7199999999999225,0,1,0,18.43413584370137,3070471.356938174,572,1.0,100.0,0.0,1,0
1,20,32,0,both=0;mirror=0,0,0,0,0,3061049034692.08,"[0.0, 3.0610547746930803, -5.739999999999922, -1.0]",3.0610547746930803,2.857142857142857,3.0610547746930803,5.739999999999922,0,1,0,18.436750612097967,3061049.03469208,574,1.0,100.0,0.0,1,0
