timestamp_utc,generation,individual_index,finished,crashes,timeout,progress,block_progress,ranking_progress,distance,time,reward,fitness,ranking_key,selection_mode,selection_rank,selection_crowding,selection_objectives,selection_objective_names,evaluation_steps,evaluation_terminated,evaluation_truncated,evaluation_valid
2026-05-05T22:44:48Z,1,0,0,1,0,39.743589743589745,38.46153846153847,39.743589743589745,563.1481323242188,10.680000305175781,39743579063588.44,39743579063588.44,"[0.0, 39.743589743589745, -10.680000305175781, -1.0]",lexicographic,0,0.0,"[0.0, 39.743589743589745, -10.680000305175781, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1120,1,0,1
2026-05-05T22:44:48Z,1,1,0,1,0,39.1171137491862,38.46153846153847,39.1171137491862,562.0859985351562,10.720000267028809,39117103029184.94,39117103029184.94,"[0.0, 39.1171137491862, -10.720000267028809, -1.0]",lexicographic,1,0.0,"[0.0, 39.1171137491862, -10.720000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",965,1,0,1
2026-05-05T22:44:48Z,1,2,0,1,0,38.91248458471054,38.46153846153847,38.91248458471054,559.2597045898438,10.630000114440918,38912473954709.42,38912473954709.42,"[0.0, 38.91248458471054, -10.630000114440918, -1.0]",lexicographic,2,0.0,"[0.0, 38.91248458471054, -10.630000114440918, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1113,1,0,1
2026-05-05T22:44:48Z,1,3,0,1,0,38.67592444786659,38.46153846153847,38.67592444786659,557.0960083007812,10.59000015258789,38675913857865.44,38675913857865.44,"[0.0, 38.67592444786659, -10.59000015258789, -1.0]",lexicographic,3,0.0,"[0.0, 38.67592444786659, -10.59000015258789, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1106,1,0,1
2026-05-05T22:44:48Z,1,4,0,1,0,38.553834572816505,38.46153846153847,38.553834572816505,569.2041015625,10.729999542236328,38553823842815.97,38553823842815.97,"[0.0, 38.553834572816505, -10.729999542236328, -1.0]",lexicographic,4,0.0,"[0.0, 38.553834572816505, -10.729999542236328, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1126,1,0,1
2026-05-05T22:44:48Z,1,5,0,1,0,38.45280378292769,35.8974358974359,38.45280378292769,556.6246337890625,10.619999885559082,38452793162926.805,38452793162926.805,"[0.0, 38.45280378292769, -10.619999885559082, -1.0]",lexicographic,5,0.0,"[0.0, 38.45280378292769, -10.619999885559082, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",920,1,0,1
2026-05-05T22:44:48Z,1,6,0,1,0,37.570537664951416,35.8974358974359,37.570537664951416,558.0625,10.649999618530273,37570527014950.8,37570527014950.8,"[0.0, 37.570537664951416, -10.649999618530273, -1.0]",lexicographic,6,0.0,"[0.0, 37.570537664951416, -10.649999618530273, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1117,1,0,1
2026-05-05T22:44:48Z,1,7,0,1,0,30.68929924908848,28.205128205128204,30.68929924908848,393.3414611816406,8.619999885559082,30689290629087.594,30689290629087.594,"[0.0, 30.68929924908848, -8.619999885559082, -1.0]",lexicographic,7,0.0,"[0.0, 30.68929924908848, -8.619999885559082, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",826,1,0,1
2026-05-05T22:44:48Z,1,8,0,1,0,25.64102564102564,23.076923076923077,25.64102564102564,282.7654724121094,7.099999904632568,25641018541024.734,25641018541024.734,"[0.0, 25.64102564102564, -7.099999904632568, -1.0]",lexicographic,8,0.0,"[0.0, 25.64102564102564, -7.099999904632568, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",742,1,0,1
2026-05-05T22:44:48Z,1,9,0,1,0,14.671203417655748,12.82051282051282,14.671203417655748,145.15927124023438,4.96999979019165,14671198447654.957,14671198447654.957,"[0.0, 14.671203417655748, -4.96999979019165, -1.0]",lexicographic,9,0.0,"[0.0, 14.671203417655748, -4.96999979019165, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",468,1,0,1
