generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_term,best_reward,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time
1,-1000005016669.7557,0.0,0.37664685930524555,0.0,5.016666666666654,-1,376645859300.22894,0.0,0.30245678765433176,0.0,302455787649.3151,5.016666666666654
2,-1000005016669.3632,0.0,0.34652165004185265,0.0,5.016666666666654,-1,346520650036.83606,0.0,0.2832401366460891,0.0,283239136641.07245,5.016666666666654
3,-1000005016669.3632,0.0,0.3479439871651786,0.0,5.016666666666654,-1,347942987160.162,0.0,0.26222978319440565,0.0,262228783189.389,5.016666666666654
4,-1000005016669.0907,0.0,0.3282492501395089,0.0,5.016666666666654,-1,328248250134.4923,0.0,0.244225093296596,0.0,244224093291.57935,5.016666666666654
5,-1000005016669.0721,0.0,0.2981839861188616,0.0,5.016666666666654,-1,298182986113.8449,0.0,0.21780808766682944,0.0,217807087661.81274,5.016666666666654
6,-1000005016669.0349,0.0,0.24330139160156247,0.0,5.016666666666654,-1,243300391596.5458,0.0,0.20307529540289015,0.0,203074295397.87344,5.016666666666654
7,-1000005016668.9175,0.0,0.25890895298549105,0.0,5.016666666666654,-1,258907952980.47437,0.0,0.18831536883399602,0.0,188314368828.97934,5.016666666666654
8,-1000005016668.8252,0.0,0.27108873639787945,0.0,5.016666666666654,-1,271087736392.8628,0.0,0.18304166339692615,0.0,183040663391.90945,5.016666666666654
9,-1000005016668.8252,0.0,0.22862025669642855,0.0,5.016666666666654,-1,228619256691.41187,0.0,0.16592582066853842,0.0,165924820663.52173,5.016666666666654
10,-1000005016668.7354,0.0,0.1958956037248884,0.0,5.016666666666654,-1,195894603719.87173,0.0,0.1453627858843122,0.0,145361785879.29553,5.016666666666654
11,-1000005016668.7354,0.0,0.20940508161272323,0.0,5.016666666666654,-1,209404081607.70657,0.0,0.13163714181809197,0.0,131636141813.07532,5.016666666666654
12,-1000005016668.7235,0.0,0.17790658133370535,0.0,5.016666666666654,-1,177905581328.68866,0.0,0.1189250037783668,0.0,118924003773.35014,5.016666666666654
13,-1000005016668.6967,0.0,0.18390110560825892,0.0,5.016666666666654,-1,183900105603.24225,0.0,0.11015108653477261,0.0,110150086529.75592,5.016666666666654
14,-1000005016668.6752,0.0,0.16328539167131698,0.0,5.016666666666654,-1,163284391666.30032,0.0,0.10105042230515253,0.0,101049422300.13586,5.016666666666654
15,-1000005016668.6506,0.0,0.1360811505998884,0.0,5.016666666666654,-1,136080150594.87173,0.0,0.08886802764165969,0.0,88867027636.64302,5.016666666666654
16,-1000005016668.6348,0.0,0.15209742954799108,0.0,5.016666666666654,-1,152096429542.9744,0.0,0.07774920690627325,0.0,77748206901.25658,5.016666666666654
17,-1000005016668.6348,0.0,0.10087149483816965,0.0,5.016666666666654,-1,100870494833.15297,0.0,0.0695890472048805,0.0,69588047199.86382,5.016666666666654
18,-1000005016668.6348,0.0,0.1229095458984375,0.0,5.016666666666654,-1,122908545893.42084,0.0,0.06754852476574126,0.0,67547524760.72459,5.016666666666654
19,-1000005016668.6288,0.0,0.11281694684709821,0.0,5.016666666666654,-1,112815946842.08154,0.0,0.07055271239507765,0.0,70551712390.06099,5.016666666666654
20,-1000005016668.5687,0.0,0.10663713727678571,0.0,5.016666666666654,-1,106636137271.76904,0.0,0.06484849112374443,0.0,64847491118.727745,5.016666666666654
21,-1000005016668.5687,0.0,0.1060976300920759,0.0,5.016666666666654,-1,106096630087.05923,0.0,0.06383555276053292,0.0,63834552755.51624,5.016666666666654
22,-1000005016668.5541,0.0,0.10013035365513392,0.0,5.016666666666654,-1,100129353650.11725,0.0,0.06092707316080729,0.0,60926073155.79062,5.016666666666654
23,-1000005016668.5541,0.0,0.10943821498325894,0.0,5.016666666666654,-1,109437214978.24228,0.0,0.07077444167364211,0.0,70773441668.62544,5.016666666666654
24,-1000005016668.5319,0.0,0.10860443115234375,0.0,5.016666666666654,-1,108603431147.32707,0.0,0.075943356468564,0.0,75942356463.54732,5.016666666666654
25,-1000005016668.5319,0.0,0.10554177420479911,0.0,5.016666666666654,-1,105540774199.78246,0.0,0.07132621038527716,0.0,71325210380.26048,5.016666666666654
26,-1000005016668.5319,0.0,0.09660993303571429,0.0,5.016666666666654,-1,96608933030.69762,0.0,0.07336786815098353,0.0,73366868145.96687,5.016666666666654
27,-1000005016668.498,0.0,0.10324750627790177,0.0,5.016666666666654,-1,103246506272.8851,0.0,0.07798240298316592,0.0,77981402978.14925,5.016666666666654
28,-1000005016668.4756,0.0,0.11148725237165179,0.0,5.016666666666654,-1,111486252366.63512,0.0,0.07244098754156204,0.0,72439987536.54536,5.016666666666654
29,-1000005016668.4366,0.0,0.10414668491908483,0.0,5.016666666666654,-1,104145684914.06816,0.0,0.0759494872320266,0.0,75948487227.00993,5.016666666666654
30,-1000005016668.4366,0.0,0.12899126325334823,0.0,5.016666666666654,-1,128990263248.33156,0.0,0.0772615841456822,0.0,77260584140.66553,5.016666666666654
31,-1000005016668.4209,0.0,0.11101858956473214,0.0,5.016666666666654,-1,111017589559.71547,0.0,0.07941484451293945,0.0,79413844507.92278,5.016666666666654
32,-1000005016668.4031,0.0,0.1061521257672991,0.0,5.016666666666654,-1,106151125762.28242,0.0,0.08004302070254371,0.0,80042020697.52705,5.016666666666654
33,-1000005016668.3837,0.0,0.10168892996651785,0.0,5.016666666666654,-1,101687929961.50119,0.0,0.07848115194411505,0.0,78480151939.09837,5.016666666666654
34,-1000005016668.3761,0.0,0.09401048932756696,0.0,5.016666666666654,-1,94009489322.5503,0.0,0.07675454730079288,0.0,76753547295.7762,5.016666666666654
35,-1000005016668.3525,0.0,0.10789053780691964,0.0,5.016666666666654,-1,107889537801.90295,0.0,0.07955823625837054,0.0,79557236253.35387,5.016666666666654
36,-1000005016668.3525,0.0,0.11033194405691965,0.0,5.016666666666654,-1,110330944051.90297,0.0,0.08192720867338635,0.0,81926208668.36967,5.016666666666654
37,-1000005016668.3525,0.0,0.0966644287109375,0.0,5.016666666666654,-1,96663428705.92084,0.0,0.07339307240077428,0.0,73392072395.7576,5.016666666666654
38,-1000005016668.3326,0.0,0.08991786411830358,0.0,5.016666666666654,-1,89916864113.2869,0.0,0.07434390840076265,0.0,74342908395.74597,5.016666666666654
39,-1000005016668.3326,0.0,0.10743277413504465,0.0,5.016666666666654,-1,107431774130.02798,0.0,0.07872729074387323,0.0,78726290738.85655,5.016666666666654
40,-1000005016668.2966,0.0,0.0930023193359375,0.0,5.016666666666654,-1,93001319330.92084,0.0,0.07347356705438524,0.0,73472567049.36855,5.016666666666654
41,-1000005016668.2966,0.0,0.09286063058035714,0.0,5.016666666666654,-1,92859630575.34047,0.0,0.07445028850010464,0.0,74449288495.08795,5.016666666666654
42,-1000005016668.2966,0.0,0.098724365234375,0.0,5.016666666666654,-1,98723365229.35834,0.0,0.07661240441458565,0.0,76611404409.56898,5.016666666666654
43,-1000005016668.2966,0.0,0.11614118303571429,0.0,5.016666666666654,-1,116140183030.69762,0.0,0.07816087631952195,0.0,78159876314.50528,5.016666666666654
44,-1000005016668.2966,0.0,0.10029384068080358,0.0,5.016666666666654,-1,100292840675.7869,0.0,0.07704303378150577,0.0,77042033776.48909,5.016666666666654
45,-1000005016668.2966,0.0,0.09827205113002231,0.0,5.016666666666654,-1,98271051125.00563,0.0,0.07827338718232654,0.0,78272387177.30988,5.016666666666654
46,-1000005016668.2905,0.0,0.10595594133649554,0.0,5.016666666666654,-1,105954941331.47887,0.0,0.07861614227294922,0.0,78615142267.93256,5.016666666666654
47,-1000005016668.2905,0.0,0.10966164725167411,0.0,5.016666666666654,-1,109660647246.65744,0.0,0.07883696329025995,0.0,78835963285.24327,5.016666666666654
48,-1000005016668.2905,0.0,0.13136727469308035,0.0,5.016666666666654,-1,131366274688.06367,0.0,0.08085296267554874,0.0,80851962670.53206,5.016666666666654
49,-1000005016668.2808,0.0,0.10407039097377231,0.0,5.016666666666654,-1,104069390968.75563,0.0,0.0774474371047247,0.0,77446437099.70802,5.016666666666654
50,-1000005016668.275,0.0,0.11110578264508929,0.0,5.016666666666654,-1,111104782640.0726,0.0,0.07744755063738142,0.0,77446550632.36475,5.016666666666654
51,-1000005016668.275,0.0,0.11371612548828126,0.0,5.016666666666654,-1,113715125483.26459,0.0,0.07956323169526601,0.0,79562231690.24933,5.016666666666654
52,-1000005016668.2589,0.0,0.14809199741908483,0.0,5.016666666666654,-1,148090997414.06815,0.0,0.07697411945887975,0.0,76973119453.86308,5.016666666666654
53,-1000005016668.2589,0.0,0.10210854666573661,0.0,5.016666666666654,-1,102107546660.71994,0.0,0.07728996730986096,0.0,77288967304.84428,5.016666666666654
54,-1000005016668.2589,0.0,0.09926932198660715,0.0,5.016666666666654,-1,99268321981.59048,0.0,0.07545743669782366,0.0,75456436692.80699,5.016666666666654
55,-1000005016668.2461,0.0,0.09163992745535714,0.0,5.016666666666654,-1,91638927450.34047,0.0,0.07508130300612677,0.0,75080303001.11009,5.016666666666654
56,-1000005016668.2461,0.0,0.10562351771763394,0.0,5.016666666666654,-1,105622517712.61726,0.0,0.0730758621579125,0.0,73074862152.89581,5.016666666666654
57,-1000005016668.2461,0.0,0.11702401297433035,0.0,5.016666666666654,-1,117023012969.31367,0.0,0.07811466852823894,0.0,78113668523.22226,5.016666666666654
58,-1000005016668.2461,0.0,0.10465894426618302,0.0,5.016666666666654,-1,104657944261.16635,0.0,0.07597389675322032,0.0,75972896748.20366,5.016666666666654
59,-1000005016668.2461,0.0,0.12948717389787945,0.0,5.016666666666654,-1,129486173892.86278,0.0,0.08076395307268415,0.0,80762953067.66748,5.016666666666654
60,-1000005016668.2461,0.0,0.10620662144252233,0.0,5.016666666666654,-1,106205621437.50565,0.0,0.07746026629493351,0.0,77459266289.91682,5.016666666666654
61,-1000005016668.2461,0.0,0.12755802699497767,0.0,5.016666666666654,-1,127557026989.96101,0.0,0.08076747258504231,0.0,80766472580.02565,5.016666666666654
62,-1000005016668.2461,0.0,0.09611947195870535,0.0,5.016666666666654,-1,96118471953.68867,0.0,0.0781378291902088,0.0,78136829185.19212,5.016666666666654
63,-1000005016668.2363,0.0,0.08324759347098214,0.0,5.016666666666654,-1,83246593465.96547,0.0,0.07670402526855469,0.0,76703025263.53802,5.016666666666654
64,-1000005016668.2363,0.0,0.10020119803292411,0.0,5.016666666666654,-1,100200198027.90744,0.0,0.07911386943998792,0.0,79112869434.97124,5.016666666666654
65,-1000005016668.2363,0.0,0.0991330827985491,0.0,5.016666666666654,-1,99132082793.53242,0.0,0.07796991439092726,0.0,77968914385.9106,5.016666666666654
66,-1000005016668.2363,0.0,0.0923919677734375,0.0,5.016666666666654,-1,92390967768.42084,0.0,0.07722139358520508,0.0,77220393580.1884,5.016666666666654
67,-1000005016668.2363,0.0,0.10643550327845983,0.0,5.016666666666654,-1,106434503273.44315,0.0,0.078474794115339,0.0,78473794110.32233,5.016666666666654
