path,frames,valid_deltas,status,dt_mean,dt_std,fps_mean,fps_std,tick_mean,tick_std
logs\supervised_data\20260502_153421_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0001.npz,2874,2575,ok,0.011227185888197816,0.005203533122359072,94.97959487832826,15.651482275541253,1.1227184466019418,0.5203512521192324
logs\supervised_data\20260502_153421_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0002.npz,2940,2509,ok,0.010550019745898703,0.002279851215738266,97.24991881523329,11.399236996438288,1.055001992825827,0.2279841521049538
logs\supervised_data\20260502_153421_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0003.npz,2715,2327,ok,0.010537172620055447,0.0022545855240875424,97.31413069263102,11.272934073061274,1.0537172324881823,0.22545884640437772
logs\supervised_data\20260502_153421_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0004.npz,2835,2422,ok,0.01060693673128116,0.0023876795497809727,96.9653230174073,11.938388839395577,1.060693641618497,0.23876750927540907
logs\supervised_data\20260502_153421_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0005.npz,2844,2430,ok,0.010580246631102061,0.0024412218143889716,97.14813417221998,11.638151334751017,1.0580246913580247,0.24412312089552055
logs\supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0001.npz,2766,2403,ok,0.010836454209899883,0.003174670928671029,96.12221317343473,13.67076833646933,1.083645443196005,0.3174671307004196
logs\supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0002.npz,2842,2434,ok,0.010546425762284017,0.0022727968299345114,97.2678444991939,11.364016895254709,1.0546425636811831,0.22728122209177568
logs\supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0008.npz,2576,2200,ok,0.010554545246572657,0.0022886502784283612,97.22726966514098,11.44325876234153,1.0554545454545454,0.22886532905395524
logs\supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0012.npz,2700,2320,ok,0.01062931037780925,0.0024283876136371087,96.85344600425591,12.141941042727808,1.0629310344827587,0.24283887535089696
logs\supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0014.npz,2620,2229,ok,0.010574248507819458,0.0023265192739226567,97.12874569346067,11.632611425346811,1.0574248541947062,0.2326526172546161
logs\supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0015.npz,2720,2334,ok,0.010544130608164917,0.002268294305755789,97.27932078748498,11.341501972852328,1.0544130248500427,0.22683087879896655
logs\supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0020.npz,2692,2303,ok,0.010551454392603517,0.002282659621870242,97.24276331259611,11.413257742497505,1.0551454624402952,0.2282639709032971
