generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,10,0,1,1,2571215.3866656814,"[0.0, 2.5712203979492188, -5.011283537442986]",2.5712203979492188,0.0,2.5712203979492188,5.011283537442986,0,1,0,12.90564754868683,2.253043665413156,236,1,0
1,2,1,0,1,1,2432006.1928999494,"[0.0, 2.432011195591518, -5.002691568385382]",2.432011195591518,0.0,2.432011195591518,5.002691568385382,0,1,0,11.258667558431625,2.1143799849003826,232,1,0
1,3,34,0,1,1,2386088.1391256102,"[0.0, 2.3860931396484375, -5.000522827089238]",2.3860931396484375,0.0,2.3860931396484375,5.000522827089238,0,1,0,10.787022616939794,2.0685996268173747,236,1,0
1,4,4,0,1,1,2363695.8554156814,"[0.0, 2.3637008666992188, -5.011283537442986]",2.3637008666992188,0.0,2.3637008666992188,5.011283537442986,0,1,0,10.52711269997235,2.045524134163156,236,1,0
1,5,42,0,0,1,2307407.283238333,"[0.0, 2.3074122837611606, -5.000522827089238]",2.3074122837611606,0.0,2.3074122837611606,5.000522827089238,0,1,0,9.897514044510899,1.9899187709300978,236,1,0
1,6,9,0,0,1,2303025.828781646,"[0.0, 2.3030308314732144, -5.002691568385382]",2.3030308314732144,0.0,2.3030308314732144,5.002691568385382,0,1,0,9.908359416382154,1.985399620782079,232,1,0
1,7,36,0,0,1,2284927.817208757,"[0.0, 2.2849328177315846, -5.000522827089238]",2.2849328177315846,0.0,2.2849328177315846,5.000522827089238,0,1,0,9.66409955022391,1.9674393049005219,236,1,0
1,8,19,0,0,1,2273124.049556885,"[0.0, 2.2731290544782365, -5.00492135145346]",2.2731290544782365,0.0,2.2731290544782365,5.00492135145346,0,1,0,9.508847022108966,1.9553562702589693,230,1,0
1,9,44,0,0,1,2264415.64505474,"[0.0, 2.2644206455775673, -5.000522827089238]",2.2644206455775673,0.0,2.2644206455775673,5.000522827089238,0,1,0,9.407341790763894,1.9469271327465045,236,1,0
1,10,22,0,0,1,2261134.998603584,"[0.0, 2.2611400059291293, -5.007325545401346]",2.2611400059291293,0.0,2.2611400059291293,5.007325545401346,0,1,0,9.378864708705805,1.9432145744750757,235,1,0
1,11,18,0,0,1,2242088.7601130703,"[0.0, 2.242093767438616, -5.007325545401346]",2.242093767438616,0.0,2.242093767438616,5.007325545401346,0,1,0,9.169500986579806,1.9241683359845623,235,1,0
1,12,2,0,0,1,2221865.411079744,"[0.0, 2.2218704223632812, -5.011283537442986]",2.2218704223632812,0.0,2.2218704223632812,5.011283537442986,0,1,0,8.9217121982947,1.9036936898272185,236,1,0
