mutation_sigma,runs,finish_run_rate,best_first_finish,median_first_finish,mean_last50_finish_rate,max_last50_finish_rate,mean_last50_progress,max_last50_progress,mean_crash_rate,mean_timeout_rate,mean_compromise,max_compromise
0.2,5,0.4,199.0,199.5,0.00024999999999998,0.0008333333333333,14.805418286439714,28.30392850144588,0.9934166666666666,0.00633333333333332,-0.8466958171356029,-0.7118565483188745
0.225,5,0.4,155.0,163.0,0.055916666666666635,0.1766666666666666,28.742868881476653,48.11126907574517,0.9263333333333333,0.01774999999999996,-0.5874254778519001,-0.1405539759092149
0.25,5,0.4,132.0,156.5,0.059333333333333314,0.27625,24.126093843419426,53.18277025293994,0.9126666666666667,0.02799999999999998,-0.619072394899139,0.1058902025293994
0.275,5,0.8,132.0,170.5,0.09816666666666665,0.2158333333333333,35.92106068395337,52.48077791761818,0.8599166666666667,0.041916666666666644,-0.41301855982713287,-0.0210255541571515
0.3,5,0.8,138.0,147.0,0.12966666666666665,0.2595833333333333,38.26114291657738,48.93882504177207,0.8416666666666666,0.02866666666666664,-0.3365552375008929,0.0410549170843872
0.325,5,0.6,154.0,156.0,0.07658333333333331,0.27375,30.04392041381085,57.43785744154831,0.9143333333333332,0.009083333333333322,-0.5395816291952249,0.1237535744154831
