grid,grid_x,grid_y,run_tag,run_dir,completed,expected_generations,final_generation,seed,ranking_key,population_size,elite_count,parent_count,parent_population_ratio_actual,elite_parent_ratio_actual,mutation_prob,mutation_sigma,fixed_fps,collision_mode,lidar_mode,binary_gas_brake,elite_cache_enabled,total_cached_evaluations,max_cached_evaluations,first_finish_generation,first_finish_generation_plot,best_finish_time,best_finish_time_plot,best_finish_generation,total_finish_individuals,total_crash_individuals,total_timeout_individuals,max_finish_count,max_best_dense_progress,max_mean_dense_progress,final_mean_dense_progress,final_std_dense_progress,last50_best_dense_progress,last50_mean_dense_progress,last50_finish_rate,last50_crash_rate,last50_timeout_rate,last50_penalized_mean_time,final_penalized_mean_time,cumulative_virtual_time_hours,cumulative_wall_minutes,compromise_score
mutation,0.075,0.3,prob_0075_sigma_0300,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0075_sigma_0300\20260504_064932_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.075,0.3,100.0,lidar,aabb_clearance,True,False,0,0,148.0,148.0,19.020000000000174,19.020000000000174,193.0,626,8839,135,19,100.0,63.42562057467009,54.80847455475055,40.38229093072475,100.0,48.93882504177207,0.25958333333333333,0.6970833333333334,0.043333333333333335,28.38133333333357,27.625833333333635,22.563369444444568,40.971163046666575,0.04105491708438727
mutation,0.075,0.325,prob_0075_sigma_0325,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0075_sigma_0325\20260504_073037_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.075,0.325,100.0,lidar,aabb_clearance,True,False,0,0,156.0,156.0,21.830000000000613,21.830000000000613,197.0,232,9339,29,15,100.0,54.89624478175889,54.89624478175889,37.160483574222354,100.0,41.964273082484944,0.09666666666666666,0.895,0.008333333333333333,29.57157500000012,28.295208333333658,19.876830555555546,33.018773340000195,-0.3807739358418173
mutation,0.1,0.2,prob_0100_sigma_0200,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0100_sigma_0200\20260504_080345_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.1,0.2,100.0,lidar,aabb_clearance,True,False,0,0,199.0,199.0,29.220000000001768,29.220000000001768,199.0,2,9572,26,1,100.0,51.560750381336696,41.11040996667485,28.522256946421415,100.0,28.30392850144588,0.0008333333333333334,0.9945833333333334,0.004583333333333333,29.99935,29.983750000000033,16.695069444444375,30.24358835166689,-0.7118565483188745
mutation,0.1,0.225,prob_0100_sigma_0225,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0100_sigma_0225\20260504_083406_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.1,0.225,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9585,15,0,64.05915941510881,29.13591876085,28.53086341631855,22.127588156520236,64.05915941510881,21.593244310685638,0.0,1.0,0.0,30.0,30.0,14.111258333333206,25.688595303333326,-0.7840675568931437
mutation,0.1,0.25,prob_0100_sigma_0250,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0100_sigma_0250\20260504_085955_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.1,0.25,100.0,lidar,aabb_clearance,True,False,0,0,132.0,132.0,18.80000000000014,18.80000000000014,200.0,765,8704,131,21,100.0,65.53937216015527,57.12412494314996,39.00942024128789,100.0,53.18277025293994,0.27625,0.695,0.02875,28.132558333333556,27.343750000000256,23.316347222222383,42.02013195999995,0.10589020252939942
mutation,0.1,0.275,prob_0100_sigma_0275,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0100_sigma_0275\20260504_094204_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.1,0.275,100.0,lidar,aabb_clearance,True,False,0,0,132.0,132.0,21.61000000000058,21.61000000000058,200.0,551,8872,177,16,100.0,58.908905045095445,55.97221532305357,39.59403692452963,100.0,46.27299090698202,0.2,0.7454166666666666,0.05458333333333333,29.02335416666689,28.084791666666998,20.782938888889113,38.24316124333321,-0.09633259093017973
mutation,0.1,0.3,prob_0100_sigma_0300,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0100_sigma_0300\20260504_102025_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.1,0.3,100.0,lidar,aabb_clearance,True,False,0,0,138.0,138.0,19.97000000000032,19.97000000000032,200.0,423,9058,119,11,100.0,54.55686099748328,38.08865484564362,37.20693097951067,100.0,42.61694905922084,0.15916666666666668,0.815,0.025833333333333333,28.981641666666807,28.46000000000015,22.09895000000013,40.07174223666758,-0.23612217607445818
mutation,0.1,0.325,prob_0100_sigma_0325,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0100_sigma_0325\20260504_110036_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.1,0.325,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9586,14,0,28.516229931605817,11.910767894391943,9.369920424237256,7.5854005636095,28.516229931605817,10.396962060339424,0.0,1.0,0.0,30.0,30.0,12.545194444444304,23.11600023333352,-0.8960303793966058
mutation,0.125,0.2,prob_0125_sigma_0200,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0125_sigma_0200\20260504_112351_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.125,0.2,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9585,15,0,14.96049063546317,9.03193405696324,8.474830729620798,3.032283744604052,14.96049063546317,8.13463258516221,0.0,1.0,0.0,30.0,30.0,9.995191666666578,18.401249366666885,-0.918653674148378
mutation,0.125,0.225,prob_0125_sigma_0225,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0125_sigma_0225\20260504_114222_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.125,0.225,100.0,lidar,aabb_clearance,True,False,0,0,155.0,155.0,21.520000000000564,21.520000000000564,199.0,424,9069,107,18,100.0,60.665746632693136,48.21566376879706,39.580750426024906,100.0,48.11126907574517,0.17666666666666667,0.79,0.03333333333333333,29.1005125000002,28.405000000000303,22.06691111111124,39.94863344166661,-0.14055397590921495
