label,first_finish_generation,best_finish_time,total_finish_individuals,last50_finish_rate,last50_mean_dense_progress,last50_crash_rate
"32x16 relu,relu",183,24.310000000001,69,0.02875,33.06594808202239,0.9375
"32x16 relu,tanh",173,22.75000000000076,101,0.042083333333333334,40.776718898366596,0.9379166666666666
"48x24 relu,relu",154,23.140000000000818,193,0.08041666666666666,34.76564228925249,0.8891666666666667
"48x24 relu,tanh",128,19.07000000000018,557,0.19208333333333333,43.43168626408078,0.7633333333333333
