#{"t_start": 1777980725.4014556, "env_id": "None"}
r,l,t,episode_metrics
-0.631159,461,18.216676,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.0388412475585938, 'block_progress': 0.0, 'time': 5.009999999999945, 'distance': 7.04909637090168, 'reward': -1.003191644577753, 'reward_score': -0.6311587524413877, 'fitness': 1978734.1984622234}"
-0.285607,472,18.802005,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.3843928745814735, 'block_progress': 0.0, 'time': 5.009999999999941, 'distance': 11.015395329828607, 'reward': -1.0022270711263015, 'reward_score': -0.28560712541850686, 'fitness': 2324281.859186144}"
-0.479317,467,19.398622,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.1906825474330356, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 8.77441250908305, 'reward': -1.0035676647367933, 'reward_score': -0.479317452566945, 'fitness': 2130573.773020527}"
-0.142353,464,19.981694,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.530980791364397, 'block_progress': 0.0, 'time': 5.0199999999999445, 'distance': 12.564864508633036, 'reward': -1.0056911940801712, 'reward_score': -0.14235254196891756, 'fitness': 2470768.2264998886}"
-0.57796,471,21.217113,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.0920399257114957, 'block_progress': 0.0, 'time': 5.009999999999944, 'distance': 7.55390665892628, 'reward': -1.00351316906157, 'reward_score': -0.5779600742884856, 'fitness': 2031932.3718048371}"
-0.21727,466,21.854596,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.452730451311384, 'block_progress': 0.0, 'time': 5.00999999999994, 'distance': 11.701453189889435, 'reward': -1.0032570393880207, 'reward_score': -0.21726954868859605, 'fitness': 2392618.749858195}"
-0.59695,476,22.466443,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.0763833182198663, 'block_progress': 0.0, 'time': 5.019999999999941, 'distance': 7.56768689485034, 'reward': -1.0068628510974698, 'reward_score': -0.5969500151134473, 'fitness': 2016175.7505329722}"
-0.421852,466,23.049807,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.248148236955915, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 9.415385552274529, 'reward': -1.0049391537620909, 'reward_score': -0.4218517630440657, 'fitness': 2188038.8215703634}"
-0.249902,465,23.636251,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.420098440987723, 'block_progress': 0.0, 'time': 5.009999999999945, 'distance': 11.363930149673251, 'reward': -1.0033006359281995, 'reward_score': -0.2499015590122584, 'fitness': 2359987.077057574}"
-0.493535,477,24.232849,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.1764646257672995, 'block_progress': 0.0, 'time': 5.009999999999941, 'distance': 8.6442014509812, 'reward': -1.0031262497674847, 'reward_score': -0.4935353742326809, 'fitness': 2116355.981565849}"
-0.052064,468,25.361387,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.6212692260742188, 'block_progress': 0.0, 'time': 5.019999999999943, 'distance': 13.429602314397926, 'reward': -1.0065467761811757, 'reward_score': -0.05206410725909549, 'fitness': 2561055.796471905}"
-0.448418,469,26.062262,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.221581595284598, 'block_progress': 0.0, 'time': 5.009999999999944, 'distance': 9.095365428722289, 'reward': -1.0032788376581103, 'reward_score': -0.4484184047153832, 'fitness': 2161472.4999191696}"
-0.533257,473,26.674562,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.136742728097098, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 8.193981957330834, 'reward': -1.003344232468378, 'reward_score': -0.5332572719028825, 'fitness': 2076634.534115141}"
-0.131221,474,27.279005,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.5387791224888394, 'block_progress': 0.0, 'time': 5.009999999999941, 'distance': 12.741289807410794, 'reward': -1.003316984630766, 'reward_score': -0.13122087751114098, 'fitness': 2478666.3811990325}"
-0.367776,471,27.875492,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.3022242954799106, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 10.204921682860004, 'reward': -1.006775658017113, 'reward_score': -0.36777570452007, 'fitness': 2242114.090558228}"
-0.716488,464,28.457391,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.9535119192940846, 'block_progress': 0.0, 'time': 5.009999999999945, 'distance': 6.090828709478956, 'reward': -1.0060726638067337, 'reward_score': -0.7164880807058969, 'fitness': 1893405.8284653756}"
-0.450053,463,29.054768,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.2199467250279015, 'block_progress': 0.0, 'time': 5.009999999999944, 'distance': 9.120978938059125, 'reward': -1.0029246157691594, 'reward_score': -0.4500532749720798, 'fitness': 2159837.604048964}"
-0.576783,472,30.298219,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.093217032296317, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 7.564482935733395, 'reward': -1.003126249767485, 'reward_score': -0.5767829677036638, 'fitness': 2033109.467813382}"
-0.433475,665,31.279362,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.8931917463030135, 'block_progress': 2.857142857142857, 'time': 6.979999999999899, 'distance': 16.666214710268832, 'reward': -1.0031044514973955, 'reward_score': -0.43347492036361945, 'fitness': 2813375.0800883044}"
-0.067652,474,31.898959,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.6023483276367188, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 13.31653520566033, 'reward': -1.003398728143601, 'reward_score': -0.06765167236326186, 'fitness': 2542235.0111015136}"
0.076506,471,32.489101,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.7465057373046875, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 14.878180964893545, 'reward': -1.0030608549572169, 'reward_score': 0.07650573730470667, 'fitness': 2686390.859123723}"
-0.218223,468,33.074459,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.451776776994978, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 11.660415741687757, 'reward': -1.0034150768461678, 'reward_score': -0.21822322300500274, 'fitness': 2391665.116579237}"
