timestamp_utc,episode,finished,crashes,timeout,progress,block_progress,time,distance,fitness,reward_score,episode_reward,timesteps
2026-05-05T11:32:07Z,1,0,1,0,2.0681871686662947,0.0,5.009999999999941,7.545333958318224,2008079.6233323372,-0.6018128313336857,-0.601813,483
2026-05-05T11:32:09Z,2,0,1,0,2.212824140276228,0.0,5.009999999999943,9.003631025232607,2152715.1366452035,-0.45717585972375296,-0.457176,955
2026-05-05T11:32:10Z,3,0,1,0,2.16193607875279,0.0,5.009999999999943,8.435480628570076,2101827.643272162,-0.5080639212471909,-0.508064,1426
2026-05-05T11:32:10Z,4,0,1,0,2.2225679670061385,0.0,5.009999999999945,9.15165750082815,2162458.815348638,-0.44743203299384304,-0.447432,1889
2026-05-05T11:32:11Z,5,0,1,0,2.014399937220982,0.0,5.009999999999942,6.9205553578503896,1954293.016665625,-0.6556000627789984,-0.6556,2362
2026-05-05T11:32:11Z,6,0,1,0,2.072802952357701,0.0,5.009999999999943,7.682413726375671,2012695.2699439751,-0.5971970476422799,-0.597197,2833
2026-05-05T11:32:13Z,7,0,1,0,1.9852610996791296,0.0,5.009999999999943,6.594798634105246,1925154.504880496,-0.6847389003208513,-0.684739,3307
2026-05-05T11:32:13Z,8,0,1,0,2.4555751255580356,0.0,5.009999999999943,11.965394077531528,2395463.1601639586,-0.21442487444194525,-0.214425,3778
2026-05-05T11:32:14Z,9,0,1,0,2.307226998465402,0.0,5.009999999999944,10.095847902761307,2247116.9026174997,-0.36277300153457936,-0.362773,4248
2026-05-05T11:32:15Z,10,0,1,0,2.2317940848214284,0.0,5.009999999999943,9.305236174230231,2171684.7795852544,-0.43820591517855245,-0.438206,4721
2026-05-05T11:32:15Z,11,0,1,0,2.0805195399693077,0.0,5.009999999999942,7.486362141484278,2020412.0536071667,-0.5894804600306729,-0.58948,5196
2026-05-05T11:32:16Z,12,0,1,0,2.05895015171596,0.0,5.009999999999943,7.377874725636502,1998842.7738412349,-0.6110498482840208,-0.61105,5667
2026-05-05T11:32:17Z,13,0,1,0,2.3975862775530135,0.0,5.009999999999942,11.124373921426013,2337475.1531790923,-0.27241372244696715,-0.272414,6139
2026-05-05T11:32:18Z,14,0,1,0,2.398747035435268,0.0,5.009999999999942,11.236851217283402,2338635.798584051,-0.2712529645647128,-0.271253,6606
2026-05-05T11:32:18Z,15,0,1,0,2.358109610421317,0.0,5.019999999999942,10.53877381424536,2297899.071647503,-0.31522372291199696,-0.315224,7078
2026-05-05T11:32:19Z,16,0,1,0,2.02308109828404,0.0,5.009999999999943,6.858217282882833,1962974.2400667574,-0.6469189017159409,-0.646919,7552
2026-05-05T11:32:19Z,17,0,1,0,2.3419788905552457,0.0,5.009999999999941,10.373196871514665,2281868.517358375,-0.3280211094447347,-0.328021,8025
