variant,finished,crashes,timeout,progress,block_progress,time,distance,reward,steps,perturb_start_step,perturb_end_step,perturb_duration_steps,perturb_steer,perturb_gas,perturb_brake
baseline,1,16,0,100.0,100.0,30.590000000001982,1419.044110134244,1078.9016666666664,3059,-1,-1,0,-1.0,,
perturbed,1,15,0,100.0,100.0,30.670000000001995,1433.8429287523031,1079.888333333333,3067,345,394,50,-1.0,,
