variant,finished,crashes,timeout,progress,block_progress,time,distance,reward,steps,perturb_start_step,perturb_end_step,perturb_duration_steps,perturb_steer,perturb_gas,perturb_brake
baseline,1,16,0,100.0,100.0,30.590000000001982,1419.044110134244,1078.9016666666664,3059,-1,-1,0,,0.0,0.0
perturbed,1,17,0,100.0,100.0,31.900000000002187,1424.622935399413,1077.683333333333,3190,439,488,50,,0.0,0.0
