attempt_index,saved_attempts,event,agent_probability,mix_mode,frames,finish_time,dense_progress,discrete_progress,distance,train_loss,train_frames,train_attempt_files,model_path
2,0,discard_during_attempt,0.0,blend,261,4.400000095367432,1.7170442853655135,0.0,3.2806098461151123,,,,logs/imitation_runs\20260502_221444_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
3,1,saved_and_trained,0.0,blend,1456,23.719999313354492,100.0,100.0,1188.8927001953125,0.04459315811080051,111264,22,logs/imitation_runs\20260502_221444_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
