generation,rank,original_index,cached,evaluation_context,mirrored,evaluate_both_mirrors,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,physics_tick_mean,physics_hz_mean,physics_delay_norm_mean,terminated,truncated,front_rank,crowding,front0,priority_score,obj_finished,obj_progress
1,1,38,0,,0,0,1,1,8003499.246271021,"[0.0, 0.08041373661586217]",8.041373661586217,5.714285714285714,8.041373661586217,2.7799999999999847,0,1,0,74.41531519591808,8.003499246271021,278,1.0,100.0,0.0,1,0,0,inf,1,0.008041373661586217,0.0,0.08041373661586217
1,2,33,0,,0,0,1,1,7641501.274406703,"[0.0, 0.07679574148995535]",7.679574148995536,5.714285714285714,7.679574148995536,2.7999999999999843,0,1,0,72.87458883225918,7.6415012744067035,280,1.0,100.0,0.0,1,0,1,inf,0,0.007679574148995536,0.0,0.07679574148995535
1,3,5,0,,0,0,1,1,7511030.56807044,"[0.0, 0.07549002511160714]",7.549002511160714,5.714285714285714,7.549002511160714,2.7899999999999845,0,1,0,71.94309027493,7.5110305680704395,279,1.0,100.0,0.0,1,0,2,inf,0,0.007549002511160714,0.0,0.07549002511160714
1,4,16,0,,0,0,1,1,7386466.12040056,"[0.0, 0.07423537118094307]",7.423537118094307,5.714285714285714,7.423537118094307,2.6999999999999864,0,1,0,70.99769374728203,7.38646612040056,270,1.0,100.0,0.0,1,0,3,inf,0,0.007423537118094308,0.0,0.07423537118094307
1,5,23,0,,0,0,0,1,7106891.77443789,"[0.0, 0.07142857142857142]",7.142857142857142,5.714285714285714,7.142857142857142,2.5899999999999888,0,1,0,65.36841925233603,7.106891774437891,259,1.0,100.0,0.0,1,0,4,inf,0,0.007142857142857143,0.0,0.07142857142857142
1,6,31,0,,0,0,0,1,6685229.27362147,"[0.0, 0.06719589233398438]",6.7195892333984375,5.714285714285714,6.7195892333984375,2.429999999999992,0,1,0,59.9597769677639,6.68522927362147,243,1.0,100.0,0.0,1,0,5,inf,0,0.0067195892333984375,0.0,0.06719589233398438
1,7,9,0,,0,0,0,1,6606836.3977485765,"[0.0, 0.06640995570591518]",6.640995570591518,5.714285714285714,6.640995570591518,2.4099999999999926,0,1,0,59.17284294217825,6.606836397748577,241,1.0,100.0,0.0,1,0,6,inf,0,0.006640995570591519,0.0,0.06640995570591518
1,8,25,0,,0,0,0,1,6491132.625758381,"[0.0, 0.06524990626743861]",6.524990626743861,5.714285714285714,6.524990626743861,2.3799999999999932,0,1,0,58.000985480844975,6.491132625758381,238,1.0,100.0,0.0,1,0,7,inf,0,0.006524990626743861,0.0,0.06524990626743861
1,9,30,0,,0,0,0,1,6302937.832582708,"[0.0, 0.0633629390171596]",6.33629390171596,5.714285714285714,6.33629390171596,2.3299999999999943,0,1,0,56.06913325190544,6.302937832582709,233,1.0,100.0,0.0,1,0,8,inf,0,0.00633629390171596,0.0,0.0633629390171596
1,10,0,0,,0,0,0,1,5779128.195680827,"[0.0, 0.05852377755301339]",5.852377755301339,5.714285714285714,5.852377755301339,6.31999999999991,0,1,0,49.55962051381357,5.779128195680827,632,1.0,100.0,0.0,1,0,9,inf,0,0.0058523777553013395,0.0,0.05852377755301339
1,11,27,0,,0,0,0,1,5778806.188146787,"[0.0, 0.0585235595703125]",5.85235595703125,5.714285714285714,5.85235595703125,6.349999999999909,0,1,0,49.76888446439989,5.7788061881467865,635,1.0,100.0,0.0,1,0,10,inf,0,0.00585235595703125,0.0,0.0585235595703125
1,12,13,0,,0,0,0,1,4346726.492498454,"[0.0, 0.04428362165178571]",4.428362165178571,2.857142857142857,4.428362165178571,7.159999999999892,0,1,0,35.672680118266726,4.346726492498454,716,1.0,100.0,0.0,1,0,11,inf,0,0.004428362165178571,0.0,0.04428362165178571
1,13,4,0,,0,0,0,1,3007282.3306149766,"[0.0, 0.030744007655552456]",3.0744007655552457,2.857142857142857,3.0744007655552457,5.709999999999923,0,1,0,18.434940270031802,3.0072823306149767,571,1.0,100.0,0.0,1,0,12,inf,0,0.0030744007655552456,0.0,0.030744007655552456
1,14,26,0,,0,0,0,1,3007227.8353006435,"[0.0, 0.03074346269880022]",3.074346269880022,2.857142857142857,3.074346269880022,5.709999999999923,0,1,0,18.434579379332718,3.0072278353006436,571,1.0,100.0,0.0,1,0,13,inf,0,0.0030743462698800223,0.0,0.03074346269880022
1,15,7,0,,0,0,0,1,3006889.961860388,"[0.0, 0.030740083966936383]",3.0740083966936385,2.857142857142857,3.0740083966936385,5.709999999999923,0,1,0,18.43483325143461,3.006889961860388,571,1.0,100.0,0.0,1,0,14,inf,0,0.0030740083966936385,0.0,0.030740083966936383
1,16,44,0,,0,0,0,1,2994061.40517256,"[0.0, 0.030614798409598215]",3.0614798409598216,2.857142857142857,3.0614798409598216,5.739999999999922,0,1,0,18.43578726308624,2.99406140517256,574,1.0,100.0,0.0,1,0,15,inf,0,0.0030614798409598215,0.0,0.030614798409598215
1,17,40,0,,0,0,0,0,2992827.8935414003,"[0.0, 0.030603463309151785]",3.0603463309151784,2.857142857142857,3.0603463309151784,5.749999999999922,0,1,0,18.437373778659094,2.9928278935414,575,1.0,100.0,0.0,1,0,16,inf,0,0.0030603463309151788,0.0,0.030603463309151785
1,18,46,0,,0,0,0,0,2987910.4757477497,"[0.0, 0.03055528913225446]",3.055528913225446,2.857142857142857,3.055528913225446,5.759999999999922,0,1,0,18.43747769746551,2.9879104757477495,576,1.0,100.0,0.0,1,0,17,inf,0,0.0030555289132254463,0.0,0.03055528913225446
1,19,28,0,,0,0,0,0,2987757.8871656563,"[0.0, 0.030553763253348215]",3.0553763253348216,2.857142857142857,3.0553763253348216,5.759999999999922,0,1,0,18.438169166598527,2.9877578871656563,576,1.0,100.0,0.0,1,0,18,inf,0,0.003055376325334822,0.0,0.030553763253348215
1,20,22,0,,0,0,0,0,2982769.6251312396,"[0.0, 0.030504880632672992]",3.050488063267299,2.857142857142857,3.050488063267299,5.769999999999921,0,1,0,18.438136060118268,2.9827696251312394,577,1.0,100.0,0.0,1,0,19,inf,0,0.0030504880632672995,0.0,0.030504880632672992
1,21,37,0,,0,0,0,0,2974191.731071478,"[0.0, 0.030422101702008934]",3.0422101702008932,2.857142857142857,3.0422101702008932,5.799999999999921,0,1,0,18.439129415863135,2.9741917310714783,580,1.0,100.0,0.0,1,0,20,inf,0,0.0030422101702008934,0.0,0.030422101702008934
1,22,41,0,,0,0,0,0,2969824.7194778253,"[0.0, 0.030379431588309153]",3.0379431588309154,2.857142857142857,3.0379431588309154,5.809999999999921,0,1,0,18.439353091307567,2.9698247194778253,581,1.0,100.0,0.0,1,0,21,inf,0,0.0030379431588309154,0.0,0.030379431588309153
1,23,15,0,,0,0,0,0,2966354.336265145,"[0.0, 0.030338723318917415]",3.0338723318917413,2.857142857142857,3.0338723318917413,5.749999999999922,0,1,0,17.99562659696676,2.966354336265145,575,1.0,100.0,0.0,1,0,22,inf,0,0.0030338723318917415,0.0,0.030338723318917415
1,24,6,0,,0,0,0,0,1823635.971887725,"[0.0, 0.018837411063058036]",1.8837411063058036,0.0,1.8837411063058036,5.009999999999938,0,1,0,5.13441807939671,1.8236359718877249,501,1.0,100.0,0.0,1,0,23,inf,0,0.0018837411063058038,0.0,0.018837411063058036
1,25,47,0,,0,0,0,0,1823635.9718665588,"[0.0, 0.018837411063058036]",1.8837411063058036,0.0,1.8837411063058036,5.009999999999938,0,1,0,5.134439245564863,1.8236359718665587,501,1.0,100.0,0.0,1,0,23,inf,0,0.0018837411063058038,0.0,0.018837411063058036
1,26,12,0,,0,0,0,0,1823635.9718562164,"[0.0, 0.018837411063058036]",1.8837411063058036,0.0,1.8837411063058036,5.009999999999938,0,1,0,5.134449587785639,1.8236359718562165,501,1.0,100.0,0.0,1,0,23,0.0,0,0.0018837411063058038,0.0,0.018837411063058036
1,27,42,0,,0,0,0,0,1823635.9718756285,"[0.0, 0.018837411063058036]",1.8837411063058036,0.0,1.8837411063058036,5.009999999999938,0,1,0,5.13443017587997,1.8236359718756285,501,1.0,100.0,0.0,1,0,23,0.0,0,0.0018837411063058038,0.0,0.018837411063058036
1,28,34,0,,0,0,0,0,1823603.2743330665,"[0.0, 0.018837084089006695]",1.8837084089006695,0.0,1.8837084089006695,5.009999999999938,0,1,0,5.134567603759933,1.8236032743330666,501,1.0,100.0,0.0,1,0,24,inf,0,0.0018837084089006696,0.0,0.018837084089006695
1,29,1,0,,0,0,0,0,1823597.824748849,"[0.0, 0.018837029593331472]",1.8837029593331471,0.0,1.8837029593331471,5.009999999999938,0,1,0,5.134584298793925,1.8235978247488491,501,1.0,100.0,0.0,1,0,25,inf,0,0.0018837029593331473,0.0,0.018837029593331472
1,30,21,0,,0,0,0,0,1823581.4760079957,"[0.0, 0.018836866106305805]",1.8836866106305805,0.0,1.8836866106305805,5.009999999999938,0,1,0,5.134622585595935,1.8235814760079956,501,1.0,100.0,0.0,1,0,26,inf,0,0.0018836866106305807,0.0,0.018836866106305805
1,31,3,0,,0,0,0,0,1823576.0263791317,"[0.0, 0.01883681161063058]",1.883681161063058,0.0,1.883681161063058,5.009999999999938,0,1,0,5.134683926706202,1.8235760263791316,501,1.0,100.0,0.0,1,0,27,inf,0,0.001883681161063058,0.0,0.01883681161063058
1,32,45,0,,0,0,0,0,1823576.0264528717,"[0.0, 0.01883681161063058]",1.883681161063058,0.0,1.883681161063058,5.009999999999938,0,1,0,5.134610186840291,1.8235760264528718,501,1.0,100.0,0.0,1,0,27,inf,0,0.001883681161063058,0.0,0.01883681161063058
1,33,35,0,,0,0,0,0,1823554.2279180945,"[0.0, 0.018836593627929686]",1.8836593627929685,0.0,1.8836593627929685,5.009999999999938,0,1,0,5.134874874711386,1.8235542279180945,501,1.0,100.0,0.0,1,0,28,inf,0,0.0018836593627929686,0.0,0.018836593627929686
1,34,11,0,,0,0,0,0,1823548.7782201506,"[0.0, 0.018836539132254464]",1.8836539132254464,0.0,1.8836539132254464,5.009999999999938,0,1,0,5.135005296455347,1.8235487782201507,501,1.0,100.0,0.0,1,0,29,inf,0,0.0018836539132254465,0.0,0.018836539132254464
1,35,24,0,,0,0,0,0,1823461.5847442753,"[0.0, 0.018835667201450895]",1.8835667201450894,0.0,1.8835667201450894,5.009999999999938,0,1,0,5.135400814775494,1.8234615847442752,501,1.0,100.0,0.0,1,0,30,inf,0,0.0018835667201450895,0.0,0.018835667201450895
1,36,43,0,,0,0,0,0,1822279.0257584066,"[0.0, 0.018823841639927456]",1.8823841639927457,0.0,1.8823841639927457,5.009999999999938,0,1,0,5.138234339712653,1.8222790257584067,501,1.0,100.0,0.0,1,0,31,inf,0,0.0018823841639927456,0.0,0.018823841639927456
1,37,29,0,,0,0,0,0,1488812.7364065994,"[0.0, 0.015489142281668526]",1.5489142281668526,0.0,1.5489142281668526,5.009999999999938,0,1,0,1.49176025390625,1.4888127364065995,501,1.0,100.0,0.0,1,0,32,inf,0,0.0015489142281668528,0.0,0.015489142281668526
1,38,32,0,,0,0,0,0,1071442.1392524473,"[0.0, 0.011315482003348214]",1.1315482003348214,0.0,1.1315482003348214,5.009999999999938,0,1,0,6.061082374770194,1.0714421392524474,501,1.0,100.0,0.0,1,0,33,inf,0,0.0011315482003348214,0.0,0.011315482003348214
1,39,19,0,,0,0,0,0,347938.4558685043,"[0.0, 0.004080527169363839]",0.40805271693638395,0.0,0.40805271693638395,5.009999999999938,0,1,0,14.261067880317569,0.3479384558685043,501,1.0,100.0,0.0,1,0,34,inf,0,0.00040805271693638396,0.0,0.004080527169363839
