variant,finished,crashes,timeout,progress,block_progress,time,distance,reward,steps,perturb_start_step,perturb_end_step,perturb_duration_steps,perturb_steer,perturb_gas,perturb_brake
baseline,1,19,0,100.0,100.0,33.850000000001835,1434.8162244483829,1075.3583333333331,3385,-1,-1,0,-1.0,,
perturbed,1,22,0,100.0,100.0,35.27000000000155,1438.920596189797,1072.1216666666664,3527,0,79,80,-1.0,,
