variant,finished,crashes,timeout,progress,block_progress,time,distance,reward,steps,perturb_start_step,perturb_end_step,perturb_duration_steps,perturb_steer,perturb_gas,perturb_brake
baseline,1,19,0,100.0,100.0,33.850000000001835,1434.8162244483829,1075.3583333333331,3385,-1,-1,0,,0.0,0.0
perturbed,1,19,0,100.0,100.0,35.13000000000158,1434.8100270107388,1075.1449999999998,3513,103,222,120,,0.0,0.0
