variant,finished,crashes,timeout,progress,block_progress,time,distance,reward,steps,perturb_start_step,perturb_end_step,perturb_duration_steps,perturb_steer,perturb_gas,perturb_brake
baseline,1,19,0,100.0,100.0,33.850000000001835,1434.8162244483829,1075.3583333333331,3385,-1,-1,0,-1.0,,
perturbed,1,21,0,100.0,100.0,34.93000000000162,1446.9919463768601,1073.178333333333,3493,103,262,160,-1.0,,
