timestamp_utc,generation,individual_index,finished,crashes,timeout,progress,discrete_progress,dense_progress,ranking_progress,distance,time,reward,fitness,ranking_key,selection_mode,selection_rank,selection_crowding,selection_objectives,selection_objective_names,evaluation_steps,evaluation_terminated,evaluation_truncated,evaluation_valid
2026-05-02T22:44:36Z,1,0,0,1,0,5.714285714285714,5.714285714285714,8.06196757725307,8.06196757725307,75.35150909423828,3.490000009536743,8061966577249.579,8061966577249.579,"[0.0, 8.06196757725307, -1.0, -3.490000009536743]",lexicographic,0,0.0,"[0.0, 8.06196757725307, -1.0, -3.490000009536743]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",401,1,0,1
2026-05-02T22:44:36Z,1,1,0,1,0,5.714285714285714,5.714285714285714,7.308406829833984,7.308406829833984,70.69365692138672,3.9700000286102295,7308405829830.015,7308405829830.015,"[0.0, 7.308406829833984, -1.0, -3.9700000286102295]",lexicographic,1,0.0,"[0.0, 7.308406829833984, -1.0, -3.9700000286102295]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",441,1,0,1
2026-05-02T22:44:36Z,1,2,0,1,0,5.714285714285714,5.714285714285714,7.257780347551618,7.257780347551618,70.84967803955078,3.7899999618530273,7257779347547.828,7257779347547.828,"[0.0, 7.257780347551618, -1.0, -3.7899999618530273]",lexicographic,2,0.0,"[0.0, 7.257780347551618, -1.0, -3.7899999618530273]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",420,1,0,1
2026-05-02T22:44:36Z,1,3,0,1,0,5.714285714285714,5.714285714285714,7.249554225376674,7.249554225376674,70.09374237060547,9.029999732971191,7249553225367.644,7249553225367.644,"[0.0, 7.249554225376674, -1.0, -9.029999732971191]",lexicographic,3,0.0,"[0.0, 7.249554225376674, -1.0, -9.029999732971191]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1021,1,0,1
2026-05-02T22:44:36Z,1,4,0,1,0,5.714285714285714,5.714285714285714,7.240824018205916,7.240824018205916,70.19087982177734,4.96999979019165,7240823018200.946,7240823018200.946,"[0.0, 7.240824018205916, -1.0, -4.96999979019165]",lexicographic,4,0.0,"[0.0, 7.240824018205916, -1.0, -4.96999979019165]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",568,1,0,1
2026-05-02T22:44:36Z,1,5,0,1,0,5.714285714285714,5.714285714285714,7.221107482910156,7.221107482910156,70.22737121582031,3.3399999141693115,7221106482906.816,7221106482906.816,"[0.0, 7.221107482910156, -1.0, -3.3399999141693115]",lexicographic,5,0.0,"[0.0, 7.221107482910156, -1.0, -3.3399999141693115]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",378,1,0,1
2026-05-02T22:44:36Z,1,6,0,1,0,5.714285714285714,5.714285714285714,7.21039090837751,7.21039090837751,70.10250091552734,3.3299999237060547,7210389908374.181,7210389908374.181,"[0.0, 7.21039090837751, -1.0, -3.3299999237060547]",lexicographic,6,0.0,"[0.0, 7.21039090837751, -1.0, -3.3299999237060547]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",378,1,0,1
2026-05-02T22:44:36Z,1,7,0,1,0,5.714285714285714,5.714285714285714,7.2102846418108255,7.2102846418108255,70.11009979248047,3.309999942779541,7210283641807.516,7210283641807.516,"[0.0, 7.2102846418108255, -1.0, -3.309999942779541]",lexicographic,7,0.0,"[0.0, 7.2102846418108255, -1.0, -3.309999942779541]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",380,1,0,1
2026-05-02T22:44:36Z,1,8,0,1,0,5.714285714285714,5.714285714285714,7.208949497767857,7.208949497767857,70.0935287475586,5.010000228881836,7208948497762.847,7208948497762.847,"[0.0, 7.208949497767857, -1.0, -5.010000228881836]",lexicographic,8,0.0,"[0.0, 7.208949497767857, -1.0, -5.010000228881836]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",563,1,0,1
2026-05-02T22:44:36Z,1,9,0,1,0,5.714285714285714,5.714285714285714,7.154791695731026,7.154791695731026,69.34168243408203,5.5,7154790695725.526,7154790695725.526,"[0.0, 7.154791695731026, -1.0, -5.5]",lexicographic,9,0.0,"[0.0, 7.154791695731026, -1.0, -5.5]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",609,1,0,1
