timestamp_utc,generation,individual_index,finished,crashes,timeout,progress,block_progress,ranking_progress,distance,time,reward,fitness,ranking_key,selection_mode,selection_rank,selection_crowding,selection_objectives,selection_objective_names,evaluation_steps,evaluation_terminated,evaluation_truncated,evaluation_valid
2026-05-07T22:10:11Z,1,0,1,0,0,100.0,100.0,100.0,918.4171142578125,19.68000030517578,1.00009999998032e+18,1.00009999998032e+18,"[1.0, 100.0, -19.68000030517578, -0.0]",lexicographic,0,0.0,"[1.0, 100.0, -19.68000030517578, -0.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1495,1,0,1
2026-05-07T22:10:11Z,1,1,1,0,0,100.0,100.0,100.0,952.1383666992188,20.280000686645508,1.00009999997972e+18,1.00009999997972e+18,"[1.0, 100.0, -20.280000686645508, -0.0]",lexicographic,1,0.0,"[1.0, 100.0, -20.280000686645508, -0.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1610,1,0,1
2026-05-07T22:10:11Z,1,2,1,0,0,100.0,100.0,100.0,953.666259765625,20.510000228881836,1.00009999997949e+18,1.00009999997949e+18,"[1.0, 100.0, -20.510000228881836, -0.0]",lexicographic,2,0.0,"[1.0, 100.0, -20.510000228881836, -0.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1382,1,0,1
2026-05-07T22:10:11Z,1,3,1,0,0,100.0,100.0,100.0,924.100341796875,21.6200008392334,1.00009999997838e+18,1.00009999997838e+18,"[1.0, 100.0, -21.6200008392334, -0.0]",lexicographic,3,0.0,"[1.0, 100.0, -21.6200008392334, -0.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1728,1,0,1
2026-05-07T22:10:11Z,1,4,1,0,0,100.0,100.0,100.0,939.5228881835938,21.65999984741211,1.00009999997834e+18,1.00009999997834e+18,"[1.0, 100.0, -21.65999984741211, -0.0]",lexicographic,4,0.0,"[1.0, 100.0, -21.65999984741211, -0.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1425,1,0,1
2026-05-07T22:10:11Z,1,5,1,0,0,100.0,100.0,100.0,955.1043090820312,22.06999969482422,1.00009999997793e+18,1.00009999997793e+18,"[1.0, 100.0, -22.06999969482422, -0.0]",lexicographic,5,0.0,"[1.0, 100.0, -22.06999969482422, -0.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1754,1,0,1
2026-05-07T22:10:11Z,1,6,1,0,0,100.0,100.0,100.0,937.8324584960938,22.270000457763672,1.00009999997773e+18,1.00009999997773e+18,"[1.0, 100.0, -22.270000457763672, -0.0]",lexicographic,6,0.0,"[1.0, 100.0, -22.270000457763672, -0.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1738,1,0,1
2026-05-07T22:10:11Z,1,7,1,0,0,100.0,100.0,100.0,911.5208740234375,22.969999313354492,1.00009999997703e+18,1.00009999997703e+18,"[1.0, 100.0, -22.969999313354492, -0.0]",lexicographic,7,0.0,"[1.0, 100.0, -22.969999313354492, -0.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1149,1,0,1
2026-05-07T22:10:11Z,1,8,1,0,0,100.0,100.0,100.0,953.4453735351562,23.1299991607666,1.00009999997687e+18,1.00009999997687e+18,"[1.0, 100.0, -23.1299991607666, -0.0]",lexicographic,8,0.0,"[1.0, 100.0, -23.1299991607666, -0.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1425,1,0,1
2026-05-07T22:10:11Z,1,9,1,0,0,100.0,100.0,100.0,950.3943481445312,23.270000457763672,1.00009999997673e+18,1.00009999997673e+18,"[1.0, 100.0, -23.270000457763672, -0.0]",lexicographic,9,0.0,"[1.0, 100.0, -23.270000457763672, -0.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1778,1,0,1
