attempt_index,saved_attempts,event,agent_probability,mix_mode,frames,finish_time,dense_progress,discrete_progress,distance,train_loss,train_frames,train_attempt_files,train_seconds,model_path
2,1,saved_and_trained,0.0,blend,1532,23.540000915527344,100.0,100.0,1193.62548828125,0.03959554543910366,3032,1,5.267096800002037,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
3,2,saved_and_trained,0.006122448979591836,blend,1463,23.489999771118164,100.0,100.0,1200.3004150390625,0.04195921837031298,5926,2,3.0330942000000505,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
4,3,saved_and_trained,0.012244897959183673,blend,1353,21.8700008392334,100.0,100.0,1144.2650146484375,0.03912542282375908,8562,3,3.708585400003358,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
5,4,saved_and_trained,0.01836734693877551,blend,1378,23.170000076293945,100.0,100.0,1177.6485595703125,0.03985085405462177,11280,4,5.982427100010682,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
6,5,saved_and_trained,0.024489795918367346,blend,1204,22.030000686645508,100.0,100.0,1172.3402099609375,0.03724620941096146,13648,5,5.399625599995488,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
7,5,discard_during_attempt,0.030612244897959183,blend,448,7.829999923706055,31.607563458926496,31.428571428571427,297.05975341796875,,,,,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
8,6,saved_and_trained,0.030612244897959183,blend,1445,22.049999237060547,100.0,100.0,1136.0185546875,0.036846675449912464,16540,6,8.659870399991632,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
9,7,saved_and_trained,0.03673469387755102,blend,1461,22.3700008392334,100.0,100.0,1186.295166015625,0.03458055009905891,19380,7,8.309284000002663,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
10,8,saved_and_trained,0.04285714285714285,blend,1438,22.950000762939453,100.0,100.0,1186.0050048828125,0.03410238883905597,22176,8,11.318534599995473,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
11,9,saved_and_trained,0.04897959183673469,blend,1483,23.40999984741211,100.0,100.0,1193.91748046875,0.0351251617675458,25172,9,12.684292400008417,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
12,10,saved_and_trained,0.05510204081632653,blend,1578,23.899999618530273,100.0,100.0,1174.8306884765625,0.03541517193792158,28264,10,14.244838200000231,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
13,11,saved_and_trained,0.061224489795918366,blend,1399,22.420000076293945,100.0,100.0,1171.2783203125,0.0342978687976253,31038,11,12.012678800005233,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
14,12,saved_and_trained,0.0673469387755102,blend,2019,23.06999969482422,100.0,100.0,1163.7935791015625,0.03443694906660489,35000,12,12.338964399998076,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
15,13,saved_and_trained,0.07346938775510203,blend,2010,22.829999923706055,100.0,100.0,1164.901611328125,0.03393801831070912,38948,13,13.489192499997444,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
16,14,saved_and_trained,0.07959183673469387,blend,1891,23.190000534057617,100.0,100.0,1220.2630615234375,0.03351264673433522,42744,14,15.347738600001321,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
17,15,saved_and_trained,0.0857142857142857,blend,1925,21.920000076293945,100.0,100.0,1153.85498046875,0.03407875706820639,46554,15,16.69676449999679,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
18,16,saved_and_trained,0.09183673469387756,blend,2027,23.18000030517578,100.0,100.0,1176.0323486328125,0.03476244996517199,50482,16,17.585375200011185,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
19,17,saved_and_trained,0.09795918367346938,blend,1945,22.450000762939453,100.0,100.0,1160.6026611328125,0.034905900716565776,54402,17,19.685735400009435,logs/imitation_runs\20260502_222627_map_AI Training #5_v2d_asphalt_imitation\latest_model.pt
