candidate_index,candidate_id,architecture,activation,requested_activation,hidden_dims,hidden_activations,parameter_count,epochs,best_epoch,final_train_loss,final_train_eval_loss,best_val_loss,best_val_steer_mae,best_val_gas_accuracy,best_val_brake_accuracy,best_val_gas_bce,best_val_brake_bce,best_val_gas_mae,best_val_brake_mae,train_samples,val_samples,wall_seconds,random_seed
1,arch_8_act_tanh,8,tanh,tanh,[8],"[""tanh""]",307,2,2,0.3474932913845604,0.30621435841268557,0.3091654125378044,0.627492972468996,0.7738073310001842,0.8719837907533616,0.6647241732586284,0.5772727872153237,0.4851471104659655,0.4352630261097808,43898,10858,8.73113810000359,52952
2,arch_16x8_act_tanh_tanh,16x8,"tanh,tanh",tanh,"[16, 8]","[""tanh"", ""tanh""]",723,2,2,0.27568022131816666,0.20211753049096767,0.20418448288108262,0.4590245554473084,0.6621845643764966,0.6967213114754098,0.6284761005485227,0.6269240380211811,0.45953561667250675,0.46083398812997184,43898,10858,14.4899207999988,52953
3,arch_16x8_act_relu_tanh,16x8,"relu,tanh","relu,tanh","[16, 8]","[""relu"", ""tanh""]",723,2,2,0.284612636970596,0.2020522766013836,0.19993855870490268,0.46229391050593455,0.8639712654264137,0.874194142567692,0.601704576217924,0.5934099586305532,0.44914080341737517,0.4453325564963621,43898,10858,4.3755234999989625,52954
