generation,rank,original_index,finished,crashes,time,dense_progress,path_file
30,1,0,0,1,14.609999656677246,44.31818181818182,trajectories/gen_0030_rank_001_idx_000_finish_0.npz
30,2,1,0,1,13.789999961853027,38.370704650878906,trajectories/gen_0030_rank_002_idx_001_finish_0.npz
31,1,0,0,1,14.609999656677246,44.31818181818182,trajectories/gen_0031_rank_001_idx_000_finish_0.npz
31,2,1,0,1,13.789999961853027,38.370704650878906,trajectories/gen_0031_rank_002_idx_001_finish_0.npz
32,1,0,0,1,14.609999656677246,44.31818181818182,trajectories/gen_0032_rank_001_idx_000_finish_0.npz
32,2,1,0,1,13.789999961853027,38.370704650878906,trajectories/gen_0032_rank_002_idx_001_finish_0.npz
33,1,0,0,1,14.609999656677246,44.31818181818182,trajectories/gen_0033_rank_001_idx_000_finish_0.npz
33,2,1,0,1,13.789999961853027,38.370704650878906,trajectories/gen_0033_rank_002_idx_001_finish_0.npz
34,1,0,0,1,14.609999656677246,44.31818181818182,trajectories/gen_0034_rank_001_idx_000_finish_0.npz
34,2,1,0,1,13.789999961853027,38.370704650878906,trajectories/gen_0034_rank_002_idx_001_finish_0.npz
35,1,0,0,1,14.609999656677246,44.31818181818182,trajectories/gen_0035_rank_001_idx_000_finish_0.npz
35,2,1,0,1,13.789999961853027,38.370704650878906,trajectories/gen_0035_rank_002_idx_001_finish_0.npz
36,1,22,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0036_rank_001_idx_022_finish_0.npz
36,2,0,0,1,14.609999656677246,44.31818181818182,trajectories/gen_0036_rank_002_idx_000_finish_0.npz
37,1,0,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0037_rank_001_idx_000_finish_0.npz
37,2,35,0,1,21.690000534057617,57.298196414216996,trajectories/gen_0037_rank_002_idx_035_finish_0.npz
38,1,0,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0038_rank_001_idx_000_finish_0.npz
38,2,4,0,1,26.829999923706055,75.0,trajectories/gen_0038_rank_002_idx_004_finish_0.npz
39,1,0,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0039_rank_001_idx_000_finish_0.npz
39,2,1,0,1,26.829999923706055,75.0,trajectories/gen_0039_rank_002_idx_001_finish_0.npz
40,1,0,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0040_rank_001_idx_000_finish_0.npz
40,2,1,0,1,26.829999923706055,75.0,trajectories/gen_0040_rank_002_idx_001_finish_0.npz
41,1,0,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0041_rank_001_idx_000_finish_0.npz
41,2,1,0,1,26.829999923706055,75.0,trajectories/gen_0041_rank_002_idx_001_finish_0.npz
