candidate_id,architecture,activation,parameter_count,best_val_loss,loss_increase_pct,best_val_steer_mae,best_val_gas_accuracy,best_val_brake_accuracy,best_epoch,params_saved_vs_best_pct,score_loss_times_log_params
c002_arch_8_act_tanh,8,tanh,307,0.08131646495164922,44.4988008835788,0.26505567206711067,0.9149014551482778,0.9461226745256953,120,97.62586033562755,0.6718443459207458
c005_arch_16_act_tanh,16,tanh,611,0.07752358149973854,37.75887298560458,0.2603368978733998,0.9218088045680605,0.9534905139067968,120,95.27492073312196,0.7174829616147509
c013_arch_16x8_act_relu_relu,16x8,"relu,relu",723,0.07185953329211771,27.693898141522986,0.2350686017618058,0.9153619451095966,0.9487935163013447,119,94.40878509009357,0.6825112002809901
c018_arch_24x12_act_relu_tanh,24x12,"relu,tanh",1179,0.06895263592832149,22.528361449661773,0.2337496285500898,0.9216246085835329,0.9627003131331737,120,90.88237568633517,0.7035477400994297
c021_arch_32x16_act_relu_relu,32x16,"relu,relu",1699,0.06591299218622267,17.126935353388184,0.2218441417762249,0.924755940320501,0.9609504512801621,119,86.86103162941767,0.7072773943067191
c035_arch_32x16x8_act_relu_relu_tanh,32x16x8,"relu,relu,tanh",1811,0.06443736249871578,14.504751512517334,0.22229145560876773,0.923558666421072,0.96334499907902,119,85.9948959863893,0.6973779198019636
c025_arch_48x24_act_relu_relu,48x24,"relu,relu",2931,0.06059922946681852,7.684415421043411,0.21606429573097025,0.9397679130594953,0.966568428808252,119,77.33353955610548,0.697932067145756
c029_arch_64x32_act_relu_relu,64x32,"relu,relu",4419,0.058384078548118806,3.748107420952773,0.20573946098570756,0.9445570086572113,0.9667526247927796,120,65.82630887015699,0.7070022453115329
c038_arch_128x64_act_relu_tanh,128x64,"relu,tanh",12931,0.05627483719893638,0.0,0.1992847711742638,0.949069810278136,0.9731073862589795,118,0.0,0.7686324653394191
