candidate_id,architecture,activation,parameter_count,best_val_loss,loss_increase_pct,best_val_steer_mae,best_val_gas_accuracy,best_val_brake_accuracy,best_epoch,params_saved_vs_best_pct,score_loss_times_log_params
c038_arch_128x64_act_relu_tanh,128x64,"relu,tanh",12931,0.05627483719893638,0.0,0.1992847711742638,0.949069810278136,0.9731073862589795,118,0.0,0.7686324653394191
c037_arch_128x64_act_relu_relu,128x64,"relu,relu",12931,0.05777606567538428,2.6676727133672973,0.20121511900967318,0.9455700865721127,0.9666605268005157,114,0.0,0.7891370638833611
c029_arch_64x32_act_relu_relu,64x32,"relu,relu",4419,0.058384078548118806,3.748107420952773,0.20573946098570756,0.9445570086572113,0.9667526247927796,120,65.82630887015699,0.7070022453115329
c030_arch_64x32_act_relu_tanh,64x32,"relu,tanh",4419,0.05880697305678092,4.499588064365634,0.2089101749574047,0.9477804383864432,0.9706207404678578,120,65.82630887015699,0.7121232881469972
c025_arch_48x24_act_relu_relu,48x24,"relu,relu",2931,0.06059922946681852,7.684415421043411,0.21606429573097025,0.9397679130594953,0.966568428808252,119,77.33353955610548,0.697932067145756
c026_arch_48x24_act_relu_tanh,48x24,"relu,tanh",2931,0.06177375618238699,9.771541344511503,0.21626660889256483,0.9378338552219562,0.9664763308159882,120,77.33353955610548,0.7114592995169773
c039_arch_128x64_act_tanh_tanh,128x64,"tanh,tanh",12931,0.062402528311132965,10.888865107747293,0.21859596745703053,0.9423466568428808,0.9650948609320317,117,0.0,0.852327817664581
c035_arch_32x16x8_act_relu_relu_tanh,32x16x8,"relu,relu,tanh",1811,0.06443736249871578,14.504751512517334,0.22229145560876773,0.923558666421072,0.96334499907902,119,85.9948959863893,0.6973779198019636
c031_arch_64x32_act_tanh_tanh,64x32,"tanh,tanh",4419,0.06530993136198707,16.055300402044438,0.2256965517756205,0.9399521090440228,0.962976607109965,117,65.82630887015699,0.7908708891587831
c027_arch_48x24_act_tanh_tanh,48x24,"tanh,tanh",2931,0.06558728392918173,16.548154013000605,0.22540699735182296,0.9376496592374286,0.9615951372260084,120,77.33353955610548,0.7553803745348621
c021_arch_32x16_act_relu_relu,32x16,"relu,relu",1699,0.06591299218622267,17.126935353388184,0.2218441417762249,0.924755940320501,0.9609504512801621,119,86.86103162941767,0.7072773943067191
c033_arch_32x16x8_act_relu_relu_relu,32x16x8,"relu,relu,relu",1811,0.0667879880847007,18.681797067842986,0.2177906384189653,0.9192300607846748,0.954595689813962,119,85.9948959863893,0.7228177317033292
