run_label,run_short,episodes,max_dense_progress,max_progress,last100_mean_dense,last100_mean_reward,finish_count,crash_count,timeout_count,first_finish_episode,best_finish_time,best_dense_episode,best_dense_time,source_csv
PPO | delta_finished_progress_time | gas_steer,20260501_182025_tm2d_ppo_AI_Training__5_delta_finished_progress_time_gas_steer,3244,100.0,100.0,81.13771487354269,1.55924862,446,2532,266,2168,19.22431288165212,2168,34.53676135562506,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_rl\ai_training5_ppo_sac_td3_20260501_182013_2h\20260501_182025_tm2d_ppo_AI_Training__5_delta_finished_progress_time_gas_steer\episode_metrics.csv
SAC | delta_finished_progress_time | gas_steer,20260501_182025_tm2d_sac_AI_Training__5_delta_finished_progress_time_gas_steer,1913,7.963041578020369,5.714285714285714,3.5886047908238004,0.036324010000000004,0,1277,636,-1,,977,45.00890554783372,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_rl\ai_training5_ppo_sac_td3_20260501_182013_2h\20260501_182025_tm2d_sac_AI_Training__5_delta_finished_progress_time_gas_steer\episode_metrics.csv
TD3 | delta_finished_progress_time | gas_steer,20260501_182025_tm2d_td3_AI_Training__5_delta_finished_progress_time_gas_steer,8421,100.0,100.0,38.827396205471224,0.39715597,1,8365,55,469,21.26752830039084,469,21.26752830039084,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_rl\ai_training5_ppo_sac_td3_20260501_182013_2h\20260501_182025_tm2d_td3_AI_Training__5_delta_finished_progress_time_gas_steer\episode_metrics.csv
