reward_mode,rollouts,finish_rate,crash_rate,timeout_rate,mean_dense_progress,min_dense_progress,best_dense_progress,mean_finish_time,best_finish_time,worst_finish_time
terminal_fitness,12,1.0,0.0,0.0,100.0,100.0,100.0,16.42443600421994,16.40998959929837,16.460308278214246
moo_trackmania_racing,12,0.9166666666666666,0.08333333333333333,0.0,98.38553950900125,80.62647410801479,100.0,16.021216724133627,15.998802501026049,16.052058947081804
terminal_lexicographic,12,0.9166666666666666,0.08333333333333333,0.0,95.09283258801413,41.11399105616978,100.0,16.01847220650235,16.00017558663916,16.06451400282785
terminal_lexicographic_no_distance,12,0.6666666666666666,0.3333333333333333,0.0,89.34168565840947,64.25318036760602,100.0,16.00237507862483,15.982879142830813,16.038354425850397
terminal_lexicographic_progress20,12,0.16666666666666666,0.8333333333333334,0.0,66.2874520392645,29.640881674630304,100.0,16.039645413837672,16.038354425850397,16.040936401824947
terminal_progress_time_efficiency,12,0.0,1.0,0.0,35.4165039743696,24.140153612409318,67.14876174926758,,,
