term,progress,dense_progress,time,distance,reward,steps,reward_mode,seed,source_policy
1,100.0,100.0,16.01754983105597,1060.1712839752436,2.0184015556628214,752,terminal_lexicographic,11,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic\20260430_150452_tm2d_ga_AI_Training_5\best_policy.pt
-1,65.71428571428571,65.71428571428571,11.392036104539278,622.4603613764048,0.6711652275663599,509,terminal_lexicographic_no_distance,0,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\best_policy.pt
-1,77.14285714285715,77.87024361746651,13.390952929263165,803.2380661442876,0.794330399323327,621,terminal_lexicographic_no_distance,1,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\best_policy.pt
1,100.0,100.0,16.014097398014822,1059.238972388208,2.0184037476838,739,terminal_lexicographic_no_distance,2,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\best_policy.pt
1,100.0,100.0,16.009204481690823,1058.7960805147886,2.0184068542973392,748,terminal_lexicographic_no_distance,3,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\best_policy.pt
-1,62.857142857142854,64.25318036760602,11.369877549593802,620.5556038841605,0.6562514374766356,506,terminal_lexicographic_no_distance,4,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\best_policy.pt
1,100.0,100.0,15.994487057690527,1057.2486694306135,2.01841619869353,755,terminal_lexicographic_no_distance,5,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\best_policy.pt
-1,62.857142857142854,64.26251820155554,11.361364806851212,619.7870938703418,0.6563502830084139,512,terminal_lexicographic_no_distance,6,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\best_policy.pt
1,100.0,100.0,15.982879142830813,1056.1093632951379,2.0184235687982026,737,terminal_lexicographic_no_distance,7,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\best_policy.pt
1,100.0,100.0,16.008214166290404,1058.6835654079914,2.018407483069022,747,terminal_lexicographic_no_distance,8,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\best_policy.pt
1,100.0,100.0,15.98583555555038,1056.4334889501333,2.0184216917107616,741,terminal_lexicographic_no_distance,9,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\best_policy.pt
1,100.0,100.0,16.038354425850397,1061.6808465868235,2.0183883463962853,739,terminal_lexicographic_no_distance,10,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\best_policy.pt
1,100.0,100.0,15.985928401080473,1056.3763105124235,2.0184216327612186,750,terminal_lexicographic_no_distance,11,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\best_policy.pt
-1,57.14285714285714,57.36449377877372,10.578818629341635,552.9343594610691,0.5861817863248494,472,terminal_lexicographic_progress20,0,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\best_policy.pt
-1,57.14285714285714,58.09233937944684,10.736122355022324,566.1060702353716,0.5935612909919789,500,terminal_lexicographic_progress20,1,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\best_policy.pt
-1,71.42857142857143,72.68412453787667,12.973180329602648,764.1956377029419,0.7416211904548002,600,terminal_lexicographic_progress20,2,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\best_policy.pt
-1,88.57142857142857,89.9131965637207,15.025497329979002,960.4035567641258,0.9162437329417744,702,terminal_lexicographic_progress20,3,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\best_policy.pt
-1,28.57142857142857,29.640881674630304,6.742099620990594,266.00557854771614,0.30360880340188406,294,terminal_lexicographic_progress20,4,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\best_policy.pt
-1,57.14285714285714,57.50080381120954,10.61929877908936,556.2483268901706,0.5875598981488916,498,terminal_lexicographic_progress20,5,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\best_policy.pt
-1,57.14285714285714,57.882026944841655,10.749055573717223,567.2234774976969,0.5914076604844063,485,terminal_lexicographic_progress20,6,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\best_policy.pt
-1,57.14285714285714,57.42788451058524,10.601899886768546,554.8271077126265,0.5868211315863997,484,terminal_lexicographic_progress20,7,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\best_policy.pt
-1,57.14285714285714,57.476521900721956,10.628382847224941,557.0078187137842,0.5873084634900431,493,terminal_lexicographic_progress20,8,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\best_policy.pt
-1,57.14285714285714,57.46715136936733,10.601900709133236,554.8375654444098,0.5872223757810814,488,terminal_lexicographic_progress20,9,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\best_policy.pt
1,100.0,100.0,16.038354425850397,1061.4951853603125,2.0183883463962853,739,terminal_lexicographic_progress20,10,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\best_policy.pt
1,100.0,100.0,16.040936401824947,1061.7398160547018,2.0183867070464605,754,terminal_lexicographic_progress20,11,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\best_policy.pt
-1,22.857142857142858,24.507266453334264,5.989069034399211,218.86349462717772,0.2511428313890036,266,terminal_progress_time_efficiency,0,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\best_policy.pt
-1,65.71428571428571,66.25318118504116,11.684342664067106,647.0810395926237,0.6765462136394674,543,terminal_progress_time_efficiency,1,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\best_policy.pt
-1,22.857142857142858,24.59759439740862,6.014029228206219,220.32946770638227,0.2520645858549358,282,terminal_progress_time_efficiency,2,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\best_policy.pt
-1,22.857142857142858,24.140153612409318,5.890131971114311,212.94121499359608,0.24739593753347958,269,terminal_progress_time_efficiency,3,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\best_policy.pt
-1,22.857142857142858,24.625622885567804,6.0197659241284525,220.70208763331175,0.2523509116769071,265,terminal_progress_time_efficiency,4,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\best_policy.pt
