run_label,run_dir,objective_subset,generations,population_size,first_generation_with_any_finish,first_generation_where_best_finished,best_finish_time,best_finish_generation,median_best_finish_time_last50,max_finish_count,final_finish_count,final_crash_count,final_timeout_count,final_finish_rate,final_crash_rate,final_timeout_rate,max_best_dense_progress,final_best_dense_progress,final_mean_dense_progress,final_median_dense_progress,final_p90_dense_progress,final_front0_size,mean_front0_size,cumulative_virtual_time_hours,cumulative_wall_minutes,validation_episodes,validation_finish_count,validation_finish_rate,validation_crash_rate,validation_timeout_rate,validation_mean_dense_progress,validation_max_dense_progress,validation_best_finish_time,validation_mean_finish_time
"MOO | finished,progress,neg_time,neg_crashes",Experiments\runs\moo_finished_progress_time_crashes_g300_p48_corners_variable_fps\20260501_213146_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"finished,progress,neg_time,neg_crashes",300,48,142,142,16.622837564290275,260,16.799483518021553,5,1,47,0,0.020833333333333332,0.9791666666666666,0.0,100.0,100.0,27.68770969190149,18.400590079171316,70.62037441560263,35,31.486666666666668,18.893822932031014,58.79475404499996,30,0,0.0,1.0,0.0,63.19705837483577,80.29625468029266,,
"MOO | finished,progress,neg_time",Experiments\runs\moo_finished_progress_time_g300_p48_corners_variable_fps\20260501_213043_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"finished,progress,neg_time",300,48,-1,-1,,-1,,0,0,48,0,0.0,1.0,0.0,22.023470742361887,16.04233877999442,6.8135614054543625,5.201143537248884,14.41136714390346,34,34.32,11.051961421500948,42.3433529683333,30,0,0.0,1.0,0.0,16.89080301920573,22.243848528180806,,
"MOO | finished,progress,neg_time,neg_crashes,neg_distance",Experiments\runs\moo_lexicographic_primitives_g300_p48_corners_variable_fps\20260501_211822_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"finished,progress,neg_time,neg_crashes,neg_distance",300,48,101,101,16.30806026721781,298,16.602337126499904,15,7,41,0,0.14583333333333334,0.8541666666666666,0.0,100.0,100.0,41.00766706185345,42.07422148306126,100.0,29,38.0,33.556443129228015,84.01185342833335,30,9,0.3,0.7,0.0,78.00000000000001,100.0,16.316853270556592,16.33041404224448
