generation,rank,original_index,cached,evaluation_context,mirrored,evaluate_both_mirrors,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,physics_tick_mean,physics_hz_mean,physics_delay_norm_mean,terminated,truncated
1,1,21,0,both=0;mirror=0,0,0,1,1,8571399331425.571,"[0.0, 8.571428571428571, -29.24000000000177, -3.0]",8.571428571428571,5.714285714285714,8.571428571428571,29.24000000000177,0,3,0,2226.565349837765,8571399.331425572,2924,1.0,100.0,0.0,1,0
1,2,39,0,both=0;mirror=0,0,0,1,1,8571398571426.571,"[0.0, 8.571428571428571, -30.00000000000189, -2.0]",8.571428571428571,5.714285714285714,8.571428571428571,30.00000000000189,0,2,0,2313.9139570109546,8571398.57142657,3000,1.0,100.0,0.0,0,1
1,3,33,0,both=0;mirror=0,0,0,0,1,7142852472854.143,"[0.0, 7.142857142857142, -4.669999999999945, -3.0]",7.142857142857142,5.714285714285714,7.142857142857142,4.669999999999945,0,3,0,77.9734464189969,7142852.472854143,467,1.0,100.0,0.0,1,0
1,4,17,0,both=0;mirror=0,0,0,0,1,7142848952855.143,"[0.0, 7.142857142857142, -8.18999999999987, -2.0]",7.142857142857142,5.714285714285714,7.142857142857142,8.18999999999987,0,2,0,83.92667863654788,7142848.952855143,819,1.0,100.0,0.0,1,0
1,5,12,0,both=0;mirror=0,0,0,0,1,7142842662855.143,"[0.0, 7.142857142857142, -14.479999999999736, -2.0]",7.142857142857142,5.714285714285714,7.142857142857142,14.479999999999736,0,2,0,107.56180180177034,7142842.662855143,1448,1.0,100.0,0.0,1,0
1,6,28,0,both=0;mirror=0,0,0,0,1,7142837132855.143,"[0.0, 7.142857142857142, -20.01000000000033, -2.0]",7.142857142857142,5.714285714285714,7.142857142857142,20.01000000000033,0,2,0,209.45338436391467,7142837.1328551425,2001,1.0,100.0,0.0,1,0
1,7,8,0,both=0;mirror=0,0,0,0,1,7142827142855.143,"[0.0, 7.142857142857142, -30.00000000000189, -2.0]",7.142857142857142,5.714285714285714,7.142857142857142,30.00000000000189,0,2,0,2292.939092393033,7142827.142855142,3000,1.0,100.0,0.0,0,1
1,8,46,0,both=0;mirror=0,0,0,0,1,7142827142855.143,"[0.0, 7.142857142857142, -30.00000000000189, -2.0]",7.142857142857142,5.714285714285714,7.142857142857142,30.00000000000189,0,2,0,2303.11737402156,7142827.142855142,3000,1.0,100.0,0.0,0,1
1,9,5,0,both=0;mirror=0,0,0,0,1,6624450803160.271,"[0.0, 6.624456133161272, -5.329999999999931, -1.0]",6.624456133161272,5.714285714285714,6.624456133161272,5.329999999999931,0,1,0,62.42173581334646,6624450.803160272,533,1.0,100.0,0.0,1,0
1,10,41,0,both=0;mirror=0,0,0,0,1,6508712218121.21,"[0.0, 6.50871821812221, -5.9999999999999165, -1.0]",6.50871821812221,5.714285714285714,6.50871821812221,5.9999999999999165,0,1,0,59.29959081285779,6508712.21812121,600,1.0,100.0,0.0,1,0
1,11,19,0,both=0;mirror=0,0,0,0,1,6145105643896.879,"[0.0, 6.145112173897879, -6.529999999999905, -1.0]",6.145112173897879,5.714285714285714,6.145112173897879,6.529999999999905,0,1,0,53.696064003990614,6145105.643896879,653,1.0,100.0,0.0,1,0
1,12,4,0,both=0;mirror=0,0,0,0,1,5714255714283.715,"[0.0, 5.714285714285714, -30.00000000000189, -2.0]",5.714285714285714,5.714285714285714,5.714285714285714,30.00000000000189,0,2,0,2305.9641281068325,5714255.714283715,3000,1.0,100.0,0.0,0,1
1,13,11,0,both=0;mirror=0,0,0,0,1,5714255714283.715,"[0.0, 5.714285714285714, -30.00000000000189, -2.0]",5.714285714285714,5.714285714285714,5.714285714285714,30.00000000000189,0,2,0,2312.3079651799053,5714255.714283715,3000,1.0,100.0,0.0,0,1
1,14,44,0,both=0;mirror=0,0,0,0,1,4022919190651.902,"[0.0, 4.022925240652902, -6.0499999999999154, -1.0]",4.022925240652902,2.857142857142857,4.022925240652902,6.0499999999999154,0,1,0,29.176050421898253,4022919.190651902,605,1.0,100.0,0.0,1,0
1,15,25,0,both=0;mirror=0,0,0,0,0,3129021330397.995,"[0.0, 3.129027230398995, -5.899999999999919, -1.0]",3.129027230398995,2.857142857142857,3.129027230398995,5.899999999999919,0,1,0,19.313339848071337,3129021.330397995,590,1.0,100.0,0.0,1,0
1,16,10,0,both=0;mirror=0,0,0,0,0,3074395055554.2456,"[0.0, 3.0744007655552457, -5.709999999999923, -1.0]",3.0744007655552457,2.857142857142857,3.0744007655552457,5.709999999999923,0,1,0,18.43482479295926,3074395.0555542456,571,1.0,100.0,0.0,1,0
1,17,45,0,both=0;mirror=0,0,0,0,0,3074329660743.978,"[0.0, 3.074335370744978, -5.709999999999923, -1.0]",3.074335370744978,2.857142857142857,3.074335370744978,5.709999999999923,0,1,0,18.434587190800812,3074329.660743978,571,1.0,100.0,0.0,1,0
1,18,13,0,both=0;mirror=0,0,0,0,0,3074187971988.397,"[0.0, 3.074193681989397, -5.709999999999923, -1.0]",3.074193681989397,2.857142857142857,3.074193681989397,5.709999999999923,0,1,0,18.434472084016306,3074187.971988397,571,1.0,100.0,0.0,1,0
1,19,22,0,both=0;mirror=0,0,0,0,0,3073801052694.3125,"[0.0, 3.0738067626953125, -5.709999999999923, -1.0]",3.0738067626953125,2.857142857142857,3.0738067626953125,5.709999999999923,0,1,0,18.435119684931124,3073801.0526943123,571,1.0,100.0,0.0,1,0
1,20,9,0,both=0;mirror=0,0,0,0,0,3068765642303.6875,"[0.0, 3.0687713623046875, -5.7199999999999225, -1.0]",3.0687713623046875,2.857142857142857,3.0687713623046875,5.7199999999999225,0,1,0,18.434347241221985,3068765.6423036875,572,1.0,100.0,0.0,1,0
1,21,43,0,both=0;mirror=0,0,0,0,0,3068580357007.9287,"[0.0, 3.068586077008929, -5.7199999999999225, -1.0]",3.068586077008929,2.857142857142857,3.068586077008929,5.7199999999999225,0,1,0,18.434730945657066,3068580.3570079287,572,1.0,100.0,0.0,1,0
1,22,15,0,both=0;mirror=0,0,0,0,0,3068493163927.5713,"[0.0, 3.068498883928571, -5.7199999999999225, -1.0]",3.068498883928571,2.857142857142857,3.068498883928571,5.7199999999999225,0,1,0,18.434898652172706,3068493.1639275714,572,1.0,100.0,0.0,1,0
1,23,30,0,both=0;mirror=0,0,0,0,0,3048929156522.4375,"[0.0, 3.0489349365234375, -5.779999999999921, -1.0]",3.0489349365234375,2.857142857142857,3.0489349365234375,5.779999999999921,0,1,0,18.438511314314383,3048929.1565224375,578,1.0,100.0,0.0,1,0
1,24,0,0,both=0;mirror=0,0,0,0,0,1883725197169.7588,"[0.0, 1.883730207170759, -5.009999999999938, -1.0]",1.883730207170759,0.0,1.883730207170759,5.009999999999938,0,1,0,5.134590110334102,1883725.1971697588,501,1.0,100.0,0.0,1,0
1,25,20,0,both=0;mirror=0,0,0,0,0,1883725197169.7588,"[0.0, 1.883730207170759, -5.009999999999938, -1.0]",1.883730207170759,0.0,1.883730207170759,5.009999999999938,0,1,0,5.13457786856452,1883725.1971697588,501,1.0,100.0,0.0,1,0
1,26,32,0,both=0;mirror=0,0,0,0,0,1883725197169.7588,"[0.0, 1.883730207170759, -5.009999999999938, -1.0]",1.883730207170759,0.0,1.883730207170759,5.009999999999938,0,1,0,5.134602527657989,1883725.1971697588,501,1.0,100.0,0.0,1,0
1,27,1,0,both=0;mirror=0,0,0,0,0,1883703398899.6694,"[0.0, 1.8837084089006695, -5.009999999999938, -1.0]",1.8837084089006695,0.0,1.8837084089006695,5.009999999999938,0,1,0,5.134538386773784,1883703.3988996695,501,1.0,100.0,0.0,1,0
1,28,6,0,both=0;mirror=0,0,0,0,0,1883697949332.1472,"[0.0, 1.8837029593331471, -5.009999999999938, -1.0]",1.8837029593331471,0.0,1.8837029593331471,5.009999999999938,0,1,0,5.134547048219247,1883697.9493321471,501,1.0,100.0,0.0,1,0
1,29,37,0,both=0;mirror=0,0,0,0,0,1883697949332.1472,"[0.0, 1.8837029593331471, -5.009999999999938, -1.0]",1.8837029593331471,0.0,1.8837029593331471,5.009999999999938,0,1,0,5.134622883415432,1883697.9493321471,501,1.0,100.0,0.0,1,0
1,30,26,0,both=0;mirror=0,0,0,0,0,1883687050197.1028,"[0.0, 1.8836920601981029, -5.009999999999938, -1.0]",1.8836920601981029,0.0,1.8836920601981029,5.009999999999938,0,1,0,5.134587804277544,1883687.0501971028,501,1.0,100.0,0.0,1,0
1,31,42,0,both=0;mirror=0,0,0,0,0,1883676151062.0579,"[0.0, 1.883681161063058, -5.009999999999938, -1.0]",1.883681161063058,0.0,1.883681161063058,5.009999999999938,0,1,0,5.134776092265383,1883676.1510620578,501,1.0,100.0,0.0,1,0
