timestamp_utc,generation,cached_evaluations,evaluated_count,population_size,dist_avg,dist_best_gen,dist_best_global,time_avg,time_best_gen,time_best_global,finish_count,crash_count,timeout_count,finish_rate,crash_rate,timeout_rate,best_finished,best_crashes,best_progress,best_dense_progress,best_ranking_progress,best_ranking_key,mean_discrete_progress,mean_dense_progress,mean_ranking_progress,std_dense_progress,std_ranking_progress,best_distance,best_time,best_reward,best_fitness,selection_mode,front0_size,best_selection_rank,best_selection_crowding,best_selection_objectives,selection_objective_names,virtual_time_sum,virtual_distance_sum,evaluation_steps_sum
2026-05-01T23:42:43Z,1,0,64,64,3.78896164894104,8.954345158168248,8.954345158168248,25.0,25.0,25.0,0,64,0,0.0,1.0,0.0,0,1,8.571428571428571,8.954345158168248,8.954345158168248,"[0.0, 8.954345158168248, -3.7300000190734863, -1.0]",2.5,3.78896164894104,3.78896164894104,2.932492733001709,2.932492733001709,78.59138488769531,3.7300000190734863,8954341428167.229,0.006455522981711797,pareto,35,0,inf,"[0.0, 0.08954345158168248, -0.14920000076293946, -1.0, -0.06822168827056885]","[""finished"", ""progress"", ""neg_time"", ""neg_crashes"", ""neg_distance""]",237.35000610351562,2073.75927734375,25829
2026-05-01T23:48:24Z,2,8,56,64,5.260956764221191,13.598055158342634,13.598055158342634,25.0,25.0,25.0,0,64,0,0.0,1.0,0.0,0,1,11.428571428571429,13.598055158342634,13.598055158342634,"[0.0, 13.598055158342634, -16.75, -1.0]",3.7946431636810303,5.260956764221191,5.260956764221191,3.074641704559326,3.074641704559326,122.29409790039062,16.75,13598038408341.633,0.005887439351233226,pareto,47,0,inf,"[0.0, 0.13598055158342634, -0.67, -1.0, -0.10615807109408909]","[""finished"", ""progress"", ""neg_time"", ""neg_crashes"", ""neg_distance""]",286.28997802734375,3134.8369140625,31289
2026-05-01T23:53:46Z,3,8,56,64,5.631865978240967,13.598055158342634,13.598055158342634,25.0,25.0,25.0,0,64,0,0.0,1.0,0.0,0,1,11.428571428571429,13.598055158342634,13.598055158342634,"[0.0, 13.598055158342634, -16.75, -1.0]",4.107142925262451,5.631865978240967,5.631865978240967,3.067455768585205,3.067455768585205,122.29409790039062,16.75,13598038408341.633,0.005887439351233226,pareto,44,0,inf,"[0.0, 0.13598055158342634, -0.67, -1.0, -0.10615807109408909]","[""finished"", ""progress"", ""neg_time"", ""neg_crashes"", ""neg_distance""]",287.4599914550781,3376.166748046875,31291
2026-05-01T23:58:57Z,4,8,56,64,5.924354553222656,13.598055158342634,13.598055158342634,25.0,25.0,25.0,0,64,0,0.0,1.0,0.0,0,1,11.428571428571429,13.598055158342634,13.598055158342634,"[0.0, 13.598055158342634, -16.75, -1.0]",4.4642863273620605,5.924354553222656,5.924354553222656,3.1297671794891357,3.1297671794891357,122.29409790039062,16.75,13598038408341.633,0.005887439351233226,pareto,50,0,inf,"[0.0, 0.13598055158342634, -0.67, -1.0, -0.10615807109408909]","[""finished"", ""progress"", ""neg_time"", ""neg_crashes"", ""neg_distance""]",290.96002197265625,3455.4150390625,31753
2026-05-02T00:04:04Z,5,8,56,64,6.035186767578125,13.598055158342634,13.598055158342634,25.0,25.0,25.0,0,64,0,0.0,1.0,0.0,0,1,11.428571428571429,13.598055158342634,13.598055158342634,"[0.0, 13.598055158342634, -16.75, -1.0]",4.598215103149414,6.035186767578125,6.035186767578125,2.998924732208252,2.998924732208252,122.29409790039062,16.75,13598038408341.633,0.005887439351233226,pareto,51,0,inf,"[0.0, 0.13598055158342634, -0.67, -1.0, -0.10615807109408909]","[""finished"", ""progress"", ""neg_time"", ""neg_crashes"", ""neg_distance""]",291.0299987792969,3507.7412109375,31881
2026-05-02T00:10:00Z,6,8,56,64,6.061418056488037,13.598055158342634,13.598055158342634,25.0,25.0,25.0,0,64,0,0.0,1.0,0.0,0,1,11.428571428571429,13.598055158342634,13.598055158342634,"[0.0, 13.598055158342634, -16.75, -1.0]",4.687500476837158,6.061418056488037,6.061418056488037,2.947432279586792,2.947432279586792,122.29409790039062,16.75,13598038408341.633,0.005887439351233226,pareto,52,0,inf,"[0.0, 0.13598055158342634, -0.67, -1.0, -0.10615807109408909]","[""finished"", ""progress"", ""neg_time"", ""neg_crashes"", ""neg_distance""]",339.8699951171875,3636.19482421875,37123
2026-05-02T00:15:23Z,7,8,56,64,5.885432243347168,13.598055158342634,13.598055158342634,25.0,25.0,25.0,0,64,0,0.0,1.0,0.0,0,1,11.428571428571429,13.598055158342634,13.598055158342634,"[0.0, 13.598055158342634, -16.75, -1.0]",4.419643402099609,5.885432243347168,5.885432243347168,3.0860164165496826,3.0860164165496826,122.29409790039062,16.75,13598038408341.633,0.005887439351233226,pareto,52,0,inf,"[0.0, 0.13598055158342634, -0.67, -1.0, -0.10615807109408909]","[""finished"", ""progress"", ""neg_time"", ""neg_crashes"", ""neg_distance""]",299.30999755859375,3402.9365234375,32771
2026-05-02T00:20:34Z,8,8,56,64,5.847996234893799,13.598055158342634,13.598055158342634,25.0,25.0,25.0,0,64,0,0.0,1.0,0.0,0,1,11.428571428571429,13.598055158342634,13.598055158342634,"[0.0, 13.598055158342634, -16.75, -1.0]",4.375000476837158,5.847996234893799,5.847996234893799,2.942228078842163,2.942228078842163,122.29409790039062,16.75,13598038408341.633,0.005887439351233226,pareto,50,0,inf,"[0.0, 0.13598055158342634, -0.67, -1.0, -0.10615807109408909]","[""finished"", ""progress"", ""neg_time"", ""neg_crashes"", ""neg_distance""]",297.30999755859375,3373.93701171875,32619
2026-05-02T00:25:54Z,9,8,56,64,6.768396377563477,13.598055158342634,13.598055158342634,25.0,25.0,25.0,0,64,0,0.0,1.0,0.0,0,1,11.428571428571429,13.598055158342634,13.598055158342634,"[0.0, 13.598055158342634, -16.75, -1.0]",5.267857551574707,6.768396377563477,6.768396377563477,2.484222173690796,2.484222173690796,122.29409790039062,16.75,13598038408341.633,0.005887439351233226,pareto,54,0,inf,"[0.0, 0.13598055158342634, -0.67, -1.0, -0.10615807109408909]","[""finished"", ""progress"", ""neg_time"", ""neg_crashes"", ""neg_distance""]",307.280029296875,3961.44482421875,33733
2026-05-02T00:31:02Z,10,8,56,64,6.456870079040527,13.598055158342634,13.598055158342634,25.0,25.0,25.0,0,64,0,0.0,1.0,0.0,0,1,11.428571428571429,13.598055158342634,13.598055158342634,"[0.0, 13.598055158342634, -16.75, -1.0]",4.910715103149414,6.456870079040527,6.456870079040527,2.8437230587005615,2.8437230587005615,122.29409790039062,16.75,13598038408341.633,0.005887439351233226,pareto,57,0,inf,"[0.0, 0.13598055158342634, -0.67, -1.0, -0.10615807109408909]","[""finished"", ""progress"", ""neg_time"", ""neg_crashes"", ""neg_distance""]",301.32000732421875,3726.162109375,32556
