variant,finished,crashes,timeout,progress,block_progress,time,distance,reward,steps,perturb_start_step,perturb_end_step,perturb_duration_steps,perturb_steer
baseline,1,19,0,100.0,100.0,33.850000000001835,1434.817281536758,1075.3583333333331,3385,-1,-1,0,0.0
hard_left_perturbation,1,20,0,100.0,100.0,33.43000000000192,1437.5842719599605,1074.428333333333,3343,103,262,160,1.0
