variant,finished,crashes,timeout,progress,block_progress,time,distance,reward,steps,perturb_start_step,perturb_end_step,perturb_duration_steps,perturb_steer
baseline,1,19,0,100.0,100.0,33.850000000001835,1434.817281536758,1075.3583333333331,3385,-1,-1,0,0.0
hard_right_perturbation,1,21,0,100.0,100.0,34.93000000000162,1446.9932431951165,1073.178333333333,3493,103,262,160,-1.0
