variant,finished,crashes,timeout,progress,block_progress,time,distance,reward,steps,perturb_start_step,perturb_end_step,perturb_duration_steps,perturb_steer
baseline,1,19,0,100.0,100.0,33.850000000001835,1434.817281536758,1075.3583333333331,3385,-1,-1,0,0.0
hard_right_perturbation,1,19,0,100.0,100.0,34.29000000000175,1472.065334327519,1075.2849999999996,3429,214,373,160,-1.0
