generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,24,0,1,1,8618008209392.136,"[0.0, 8.618014199393135, -5.989999999999917, -1.0]",8.618014199393135,8.571428571428571,8.618014199393135,5.989999999999917,0,1,0,77.31371950171888,8618008.209392136,599,1,0
1,2,47,0,0,1,8506597606182.035,"[0.0, 8.506600516183035, -2.909999999999982, -1.0]",8.506600516183035,5.714285714285714,8.506600516183035,2.909999999999982,0,1,0,77.23693487048149,8506597.606182035,291,1,0
1,3,8,0,0,1,7735042536804.246,"[0.0, 7.735045296805246, -2.759999999999985, -1.0]",7.735045296805246,5.714285714285714,7.735045296805246,2.759999999999985,0,1,0,73.55502774566412,7735042.536804246,276,1,0
1,4,32,0,0,1,7654209101745.651,"[0.0, 7.654211861746651, -2.759999999999985, -1.0]",7.654211861746651,5.714285714285714,7.654211861746651,2.759999999999985,0,1,0,73.5548352599144,7654209.101745651,276,1,0
1,5,12,0,0,1,7648484341063.453,"[0.0, 7.648487091064453, -2.7499999999999853, -1.0]",7.648487091064453,5.714285714285714,7.648487091064453,2.7499999999999853,0,1,0,73.12577007710934,7648484.341063453,275,1,0
1,6,36,0,0,1,7142854532856.143,"[0.0, 7.142857142857142, -2.6099999999999883, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.6099999999999883,0,1,0,67.23319322615862,7142854.532856142,261,1,0
1,7,45,0,0,1,7142854492856.143,"[0.0, 7.142857142857142, -2.6499999999999875, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.6499999999999875,0,1,0,68.38517197221518,7142854.492856143,265,1,0
1,8,9,0,0,1,6281441674602.795,"[0.0, 6.281444004603795, -2.3299999999999943, -1.0]",6.281444004603795,5.714285714285714,6.281444004603795,2.3299999999999943,0,1,0,55.61997601389885,6281441.674602794,233,1,0
1,9,35,0,0,1,5922943244714.402,"[0.0, 5.922949654715402, -6.409999999999908, -1.0]",5.922949654715402,5.714285714285714,5.922949654715402,6.409999999999908,0,1,0,50.58758695448341,5922943.244714403,641,1,0
1,10,21,0,0,1,5853999526421.99,"[0.0, 5.85400172642299, -2.199999999999997, -1.0]",5.85400172642299,5.714285714285714,5.85400172642299,2.199999999999997,0,1,0,51.17498027533293,5853999.52642199,220,1,0
1,11,17,0,0,1,5641602692239.513,"[0.0, 5.641604832240513, -2.1399999999999983, -1.0]",5.641604832240513,2.857142857142857,5.641604832240513,2.1399999999999983,0,1,0,48.97946930676699,5641602.692239513,214,1,0
1,12,41,0,0,1,4075535175079.915,"[0.0, 4.075540815080915, -5.639999999999924, -1.0]",4.075540815080915,2.857142857142857,4.075540815080915,5.639999999999924,0,1,0,29.69859155692393,4075535.175079915,564,1,0
1,13,44,0,0,1,3074514946039.7363,"[0.0, 3.0745206560407365, -5.709999999999923, -1.0]",3.0745206560407365,2.857142857142857,3.0745206560407365,5.709999999999923,0,1,0,18.43512644432485,3074514.9460397363,571,1,0
1,14,13,0,0,1,3074253366798.6655,"[0.0, 3.0742590767996654, -5.709999999999923, -1.0]",3.0742590767996654,2.857142857142857,3.0742590767996654,5.709999999999923,0,1,0,18.434687780070817,3074253.3667986654,571,1,0
1,15,39,0,0,0,3074155274583.2637,"[0.0, 3.0741609845842635, -5.709999999999923, -1.0]",3.0741609845842635,2.857142857142857,3.0741609845842635,5.709999999999923,0,1,0,18.434617458988214,3074155.274583264,571,1,0
1,16,11,0,0,0,3072667542649.67,"[0.0, 3.0726732526506697, -5.709999999999923, -1.0]",3.0726732526506697,2.857142857142857,3.0726732526506697,5.709999999999923,0,1,0,18.43467901229451,3072667.54264967,571,1,0
1,17,3,0,0,0,3071844657953.799,"[0.0, 3.071850367954799, -5.709999999999923, -1.0]",3.071850367954799,2.857142857142857,3.071850367954799,5.709999999999923,0,1,0,18.435442163885455,3071844.657953799,571,1,0
1,18,16,0,0,0,3071741106170.875,"[0.0, 3.071746826171875, -5.7199999999999225, -1.0]",3.071746826171875,2.857142857142857,3.071746826171875,5.7199999999999225,0,1,0,18.43446472636424,3071741.106170875,572,1,0
1,19,29,0,0,0,3070809230124.5576,"[0.0, 3.0708149501255577, -5.7199999999999225, -1.0]",3.0708149501255577,2.857142857142857,3.0708149501255577,5.7199999999999225,0,1,0,18.434495929112018,3070809.2301245574,572,1,0
1,20,1,0,0,0,3070405962127.9062,"[0.0, 3.0704116821289062, -5.7199999999999225, -1.0]",3.0704116821289062,2.857142857142857,3.0704116821289062,5.7199999999999225,0,1,0,18.43449039589177,3070405.9621279063,572,1,0
1,21,4,0,0,0,3068024491120.652,"[0.0, 3.068030221121652, -5.729999999999922, -1.0]",3.068030221121652,2.857142857142857,3.068030221121652,5.729999999999922,0,1,0,18.435502620588522,3068024.491120652,573,1,0
1,22,37,0,0,0,3066950926318.7544,"[0.0, 3.0669566563197543, -5.729999999999922, -1.0]",3.0669566563197543,2.857142857142857,3.0669566563197543,5.729999999999922,0,1,0,18.43481239159155,3066950.9263187544,573,1,0
1,23,31,0,0,0,3055539501927.0137,"[0.0, 3.0555452619280135, -5.759999999999922, -1.0]",3.0555452619280135,2.857142857142857,3.0555452619280135,5.759999999999922,0,1,0,18.43760787248175,3055539.5019270135,576,1,0
1,24,27,0,0,0,3028754847554.803,"[0.0, 3.0287606375558034, -5.789999999999921, -1.0]",3.0287606375558034,2.857142857142857,3.0287606375558034,5.789999999999921,0,1,0,17.949110184286837,3028754.8475548034,579,1,0
1,25,30,0,0,0,2857112857142.8574,"[0.0, 2.857142857142857, -30.00000000000189, -0.0]",2.857142857142857,0.0,2.857142857142857,30.00000000000189,0,0,1,293.60056587320287,2857112.8571428573,3000,0,1
1,26,38,0,0,0,2852260484209.38,"[0.0, 2.85226549421038, -5.009999999999938, -1.0]",2.85226549421038,0.0,2.85226549421038,5.009999999999938,0,1,0,16.398572772741318,2852260.48420938,501,1,0
1,27,20,0,0,0,2654786763741.6294,"[0.0, 2.6548167637416293, -30.00000000000189, -0.0]",2.6548167637416293,0.0,2.6548167637416293,30.00000000000189,0,0,1,293.60032085957937,2654786.763741629,3000,0,1
1,28,42,0,0,0,2593751607491.6294,"[0.0, 2.5937816074916293, -30.00000000000189, -0.0]",2.5937816074916293,0.0,2.5937816074916293,30.00000000000189,0,0,1,293.6011936553987,2593751.607491629,3000,0,1
1,29,19,0,0,0,2223186606405.25,"[0.0, 2.22320556640625, -18.960000000000164, -1.0]",2.22320556640625,0.0,2.22320556640625,18.960000000000164,0,1,0,179.21947937086225,2223186.60640525,1896,1,0
1,30,25,0,0,0,1883736096304.8037,"[0.0, 1.8837411063058036, -5.009999999999938, -1.0]",1.8837411063058036,0.0,1.8837411063058036,5.009999999999938,0,1,0,5.134433664148673,1883736.0963048036,501,1,0
1,31,33,0,0,0,1883736096304.8037,"[0.0, 1.8837411063058036, -5.009999999999938, -1.0]",1.8837411063058036,0.0,1.8837411063058036,5.009999999999938,0,1,0,5.1343994140625,1883736.0963048036,501,1,0
1,32,40,0,0,0,1883725197169.7588,"[0.0, 1.883730207170759, -5.009999999999938, -1.0]",1.883730207170759,0.0,1.883730207170759,5.009999999999938,0,1,0,5.134588922897819,1883725.1971697588,501,1,0
1,33,22,0,0,0,1883719747602.2366,"[0.0, 1.8837247576032365, -5.009999999999938, -1.0]",1.8837247576032365,0.0,1.8837247576032365,5.009999999999938,0,1,0,5.134647061640862,1883719.7476022365,501,1,0
1,34,10,0,0,0,1883605306684.2678,"[0.0, 1.8836103166852678, -5.009999999999938, -1.0]",1.8836103166852678,0.0,1.8836103166852678,5.009999999999938,0,1,0,5.135201381955994,1883605.3066842677,501,1,0
