step,time,x,y,z,speed,progress,dense_progress,physics_hz,physics_delay_norm,action
1.0,0.01,335.9996643066406,0.0,528.08154296875,8.152997970581055,1.43585205078125,1.43585205078125,100.0,0.0,[0.85381293 0.18976708 0.8331276 ]
2.0,0.02,335.99896240234375,0.0,528.1646118164062,8.30577564239502,1.4432689121791293,1.4432689121791293,100.0,0.0,[0.87369317 0.2462542  0.865243  ]
3.0,0.03,335.99786376953125,0.0,528.2492065429688,8.458333969116211,1.450822012765067,1.450822012765067,100.0,0.0,[0.87345076 0.24395338 0.8758221 ]
4.0,0.04,335.996337890625,0.0,528.3353271484375,8.610671043395996,1.4585113525390625,1.4585113525390625,100.0,0.0,[0.87280715 0.24073705 0.88466686]
5.0,0.05,335.994384765625,0.0,528.4229125976562,8.762791633605957,1.4663314819335938,1.4663314819335938,100.0,0.0,[0.87209743 0.23742454 0.89296967]
6.0,0.060000000000000005,335.9919738769531,0.0,528.5120239257812,8.914691925048828,1.474287850516183,1.474287850516183,100.0,0.0,[0.8714286  0.23475406 0.8995469 ]
7.0,0.07,335.9891052246094,0.0,528.6026611328125,9.066373825073242,1.4823804582868303,1.4823804582868303,100.0,0.0,[0.8721527  0.23594603 0.9068797 ]
8.0,0.08,335.9857482910156,0.0,528.6947631835938,9.217836380004883,1.4906038556780135,1.4906038556780135,100.0,0.0,[0.8724624  0.23643611 0.914199  ]
9.0,0.09,335.98187255859375,0.0,528.7883911132812,9.3690824508667,1.4989634922572543,1.4989634922572543,100.0,0.0,[0.8714271  0.23229194 0.9215604 ]
10.0,0.09999999999999999,335.97747802734375,0.0,528.8834838867188,9.520109176635742,1.5074539184570312,1.5074539184570312,100.0,0.0,[0.8703446  0.22817823 0.92836106]
11.0,0.10999999999999999,335.9725341796875,0.0,528.9800415039062,9.670919418334961,1.5160751342773438,1.5160751342773438,100.0,0.0,[0.8691972  0.22406664 0.93460685]
12.0,0.11999999999999998,335.9670104980469,0.0,529.078125,9.821514129638672,1.5248325892857142,1.5248325892857142,100.0,0.0,[0.86817634 0.22040111 0.94042945]
13.0,0.12999999999999998,335.9609069824219,0.0,529.1776733398438,9.971891403198242,1.5337208339146207,1.5337208339146207,100.0,0.0,[0.86889297 0.22073634 0.9464305 ]
14.0,0.13999999999999999,335.9541931152344,0.0,529.2786865234375,10.122052192687988,1.5427398681640625,1.5427398681640625,100.0,0.0,[0.8674219  0.21610327 0.9516523 ]
15.0,0.15,335.9468688964844,0.0,529.3811645507812,10.27199649810791,1.5518896920340401,1.5518896920340401,100.0,0.0,[0.8659938 0.2121757 0.9558122]
16.0,0.16,335.9388732910156,0.0,529.4850463867188,10.42172622680664,1.5611648559570312,1.5611648559570312,100.0,0.0,[0.864634   0.20963705 0.9587711 ]
17.0,0.17,335.93023681640625,0.0,529.5903930664062,10.571239471435547,1.5705708095005582,1.5705708095005582,100.0,0.0,[0.8629025  0.20587273 0.96247053]
18.0,0.18000000000000002,335.9208984375,0.0,529.6972045898438,10.720537185668945,1.5801075526646207,1.5801075526646207,100.0,0.0,[0.86108094 0.20135072 0.9661287 ]
