generation,finish_count,best_finish_time,mean_penalized_time,std_penalized_time,p10_penalized_time,p25_penalized_time,median_penalized_time,p75_penalized_time,p90_penalized_time,best_finish_time_so_far
110,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
111,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
112,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
113,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
114,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
115,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
116,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
117,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
118,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
119,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
120,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
121,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
122,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
123,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
124,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
125,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
126,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
127,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
128,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
129,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
130,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
131,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
132,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
133,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
134,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
135,0,,30.0,0.0,30.0,30.0,30.0,30.0,30.0,
136,1,29.590000000001822,29.991458333333373,0.0585587163781653,30.0,30.0,30.0,30.0,30.0,29.590000000001822
137,3,25.540000000001196,29.847916666666762,0.7195830920668657,30.0,30.0,30.0,30.0,30.0,25.540000000001196
138,5,25.540000000001196,29.68791666666682,1.0294516305885848,29.877000000000546,30.0,30.0,30.0,30.0,25.540000000001196
139,5,25.540000000001196,29.682291666666814,1.0307081699474772,29.796000000000536,30.0,30.0,30.0,30.0,25.540000000001196
140,7,25.540000000001196,29.581666666666877,1.1046555521464232,28.24900000000162,30.0,30.0,30.0,30.0,25.540000000001196
141,6,25.540000000001196,29.599791666666842,1.1362135391713573,28.552000000001666,30.0,30.0,30.0,30.0,25.540000000001196
142,8,25.280000000001152,29.40395833333356,1.3930433404107057,26.53800000000135,30.0,30.0,30.0,30.0,25.280000000001152
143,7,25.00000000000111,29.370833333333508,1.5316777747144656,25.908000000001252,30.0,30.0,30.0,30.0,25.00000000000111
144,8,24.66000000000105,29.284791666666873,1.6312788817149368,25.70800000000122,30.0,30.0,30.0,30.0,24.66000000000105
145,8,23.620000000000893,29.243750000000194,1.7865721659550398,25.462000000001183,30.0,30.0,30.0,30.0,23.620000000000893
146,11,23.620000000000893,29.170625000000303,1.771099477548781,26.099000000001283,30.0,30.0,30.0,30.0,23.620000000000893
147,12,23.620000000000893,29.088125000000332,1.8351301682369754,25.5870000000012,29.772500000000438,30.0,30.0,30.0,23.620000000000893
148,9,23.430000000000863,29.082708333333542,1.9957462467948301,24.70900000000106,30.0,30.0,30.0,30.0,23.430000000000863
149,15,23.430000000000863,28.82479166666708,2.044557806290187,24.855000000001088,28.540000000001665,30.0,30.0,30.0,23.430000000000863
150,13,23.430000000000863,28.78541666666699,2.1458515775919,24.782000000001077,28.65250000000168,30.0,30.0,30.0,23.430000000000863
151,14,22.91000000000078,28.499375000000313,2.4521847454952344,24.04700000000096,26.102500000001278,30.0,30.0,30.0,22.91000000000078
152,9,22.91000000000078,29.156458333333557,1.9748475569680102,26.09300000000128,30.0,30.0,30.0,30.0,22.91000000000078
153,13,22.91000000000078,28.69333333333364,2.304894550491833,24.089000000000965,27.852500000001555,30.0,30.0,30.0,22.91000000000078
154,9,22.3800000000007,28.995208333333533,2.2516188524250107,24.313000000001,30.0,30.0,30.0,30.0,22.3800000000007
155,13,22.3800000000007,28.924583333333675,2.169142455684749,25.090000000001123,29.08500000000175,30.0,30.0,30.0,22.3800000000007
156,10,22.3800000000007,28.907500000000226,2.256366455904637,25.218000000001147,30.0,30.0,30.0,30.0,22.3800000000007
157,12,22.3800000000007,28.84000000000029,2.360302770126138,24.221000000000988,29.97250000000047,30.0,30.0,30.0,22.3800000000007
158,12,21.87000000000062,28.83854166666696,2.399433083722569,24.73500000000107,29.882500000000455,30.0,30.0,30.0,21.87000000000062
159,10,21.87000000000062,28.997916666666907,2.361249632374272,24.466000000001024,30.0,30.0,30.0,30.0,21.87000000000062
160,15,21.87000000000062,28.21416666666698,2.8402896223601513,22.850000000000772,26.007500000001265,30.0,30.0,30.0,21.87000000000062
161,15,21.87000000000062,28.13145833333363,2.926947350043792,22.941000000000788,25.665000000001214,30.0,30.0,30.0,21.87000000000062
162,17,21.87000000000062,28.266041666667064,2.6982129422258847,23.472000000000868,26.642500000001366,30.0,30.0,30.0,21.87000000000062
163,13,21.7400000000006,28.482916666666938,2.732871626400889,23.309000000000843,28.46750000000165,30.0,30.0,30.0,21.7400000000006
164,12,21.7400000000006,28.682708333333597,2.5476261332716876,24.147000000000975,29.75250000000043,30.0,30.0,30.0,21.7400000000006
