#{"t_start": 1777979332.50897, "env_id": "None"}
r,l,t,episode_metrics
-0.097379,779,27.509317,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.4992871965680803, 'block_progress': 2.857142857142857, 'time': 7.789999999999878, 'distance': 23.63929467890557, 'reward': -1.0013932872953868, 'reward_score': -0.09737947009854553, 'fitness': 3411363.557273403}"
1.39638,870,28.91627,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 5.296380179268973, 'block_progress': 2.857142857142857, 'time': 8.699999999999859, 'distance': 44.949120490811765, 'reward': -1.0007393391927089, 'reward_score': 1.3963801792690198, 'fitness': 5199335.230148484}"
0.258544,583,29.827593,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.201877049037388, 'block_progress': 2.857142857142857, 'time': 5.82999999999992, 'distance': 19.97851953720965, 'reward': -1.003164396740142, 'reward_score': 0.2585437157040813, 'fitness': 3133557.070517852}"
0.257392,691,30.903988,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.560725620814732, 'block_progress': 2.857142857142857, 'time': 6.909999999999897, 'distance': 24.15312240498315, 'reward': -1.0036603073846728, 'reward_score': 0.25739228748143317, 'fitness': 3481601.467692328}"
-0.370988,1198,32.616115,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 4.622344970703125, 'block_progress': 2.857142857142857, 'time': 11.979999999999789, 'distance': 36.37158834996808, 'reward': -1.0025867425827752, 'reward_score': -0.370988362630138, 'fitness': 4492508.599114777}"
1.217591,979,34.199143,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 5.480924333844865, 'block_progress': 2.857142857142857, 'time': 9.789999999999836, 'distance': 46.08445907048008, 'reward': -1.0022815668015261, 'reward_score': 1.2175910005115869, 'fitness': 5372978.249385797}"
0.859885,1447,36.25829,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.683218819754464, 'block_progress': 5.714285714285714, 'time': 14.469999999999736, 'distance': 59.60613794904202, 'reward': -1.0017257109142488, 'reward_score': 0.8598854864212191, 'fitness': 6528459.213616518}"
0.152916,850,37.501386,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.986249651227679, 'block_progress': 2.857142857142857, 'time': 8.499999999999863, 'distance': 28.958522484404966, 'reward': -1.0031916445777531, 'reward_score': 0.15291631789439109, 'fitness': 3891220.6927051954}"
0.64462,1074,39.180006,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 5.224620274135044, 'block_progress': 2.857142857142857, 'time': 10.739999999999815, 'distance': 43.5789885343911, 'reward': -1.0018401518322175, 'reward_score': 0.6446202741351059, 'fitness': 5107176.695146511}"
0.148296,636,40.159664,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.268296377999442, 'block_progress': 2.857142857142857, 'time': 6.359999999999909, 'distance': 20.640715656249085, 'reward': -1.0028755696614589, 'reward_score': 0.14829637799947193, 'fitness': 3194675.7372837863}"
